place_id,user_id,score,comment
카페0732,아쿠아비테(AquaVitae),4.0,"주차장넓음
매장 들어서자 젤 처음 받은 인상은 청결함
1층은 매장이 넓다라는 생각은 안들지만 밖으로 보이는 야외가 꼭 앞마당 같아서 맘에듬 실제로 밖으로 이어짐…"
카페0732,Hyunjeong Lee,5.0,"간절곶 바다뷰가 너무 예쁜 카페
커피도 맛있어요
주차도 편하네요"
카페0732,채은이,5.0,에어컨 빵빵하고 멋진 간절곳 푸른언덕이랑 푸른 바다가 다 보이는 곳이예요.엘베도 있어서 유모차가 다니기 편하고 기저귀가는데도 있어요
카페0732,T.B All,5.0,울산 간절곶은 우리나라에서 가장 먼저 해가 뜨는 곳으로도 유명하지만 간절곶등대와 아름다운 카페로도 명성이 자자하다. 한여름 폭염에도 테라스에서는 선선하누바람이 불어와 마냥 신기하고 간절곶 등대공원과 아름다운 잔디밭과 공원이 바다와 어우러져 압도적인 전망을 선사한다.…
카페0732,jd L,4.0,뷰좋고 커피맛도 괜찮았습니다. 3층은 노키즈존이에요. 양옆으로 투썸이랑 스타벅스가 있어서 브랜드파워는 떨어지지만 비대면시대에 그나마 사람이 적어서 좋았습니다.
카페0732,J-TIVE STUDIO,5.0,"인테리어 뷰, 너무 좋아요, 인테리어 고급지고 외관도 좋습니다. 옥외 루프탑 감각적으로 잘 꾸며져있고 좋습니다. 말차라떼도 진한 차 향이 독특하고 밀크티는 너무 달지 않게 맛있습니다"
카페0732,young C,5.0,"다양하게 잘 되어 있어요
아무래도 간절곶이 바닷가라 댕댕이를 많이 데리고 오니깐 야외테라스는 애견동반 가능하게 되어 있어 좋고 3층은 노키즈존
전 1층이 젤 좋더라구요 일단은 문이 2개라
환기가 잘 되죠 근데 2층은 사람이 많으니깐 좀 답답해요.."
카페0732,EK L,3.0,"공간이 넓고, 쾌적합니다. 뷰도 멋있습니다.
특히, 건물안에 엘리베이터가 편하죠.
간단한 베이커리가 있어서 간편히 먹기 좋죠.…"
카페0732,Smin,3.0,"뷰도 좋고 자리도 편하고 테이블 간 간격도 넓어서 좋아요.
건물 앞 잔디밭 정원도 넓고 다 좋은데요..…"
카페0732,슈가,5.0,간절곶에 뷰가좋고 깔끔한 커피숍 주차장이 넓어서 좋았고 시설이 너무 깨끗하고 화장실도이쁨
카페0732,김보라,4.0,"뷰도좋고 자리도 넓직하니 좋다만 쇼파의자는 좀 더러움
음료랑 케이크맛은 굿 안달아서 좋다."
카페0732,최진호,2.0,"직원들 일에 쩔어 그런지 원래 그런지 엄청 불친절합니다. 해지기  전에 가세요 밤에 밖이 안봉더군요  2 3층은 8시에 마감입니다.(코로나)
커피라도 괜찮으면 추천하겠지만 별루다.."
카페0732,꿈파랑새,5.0,"빵이 맛있는 카페, 경관도 예쁘고 조용하고 깨끗한실내~  다 좋네요"
카페0732,Chris LEE,3.0,입구에서는 와~~ 합니다. 내부도 넓고 고급스러운데 왠지 또 가고싶진 않네요
카페0732,June sun Park,4.0,"간절곳의 공원과 바다를 앞마당으로 쓰고 있어서 2, 3층의 풍광이 환상적이네요~ 가격대야 주변카페처럼 조금 높지만, 커피향과 함께 쉬어가기에 좋았습니다. 지금은 3층이 공사중이라 약간 아쉬웠지만 어떤 모습으로 오픈할지 다음에 보러가고 싶습니다."
카페0732,박지훈,5.0,"강아지랑 산책도 할 수 있고 엄청 넓어서 좋네요.
바다도 볼 수 있다니 대박 좋음.!"
카페0732,Su,5.0,"제가 카페를 좋아하지는 않지만 대만족이었습니다.
버터 향이 진하게 나는 빵들과 맛있는 커피였습니다.
여유로우며 경치도 좋습니다.…"
카페0732,re vinci,3.0,"커피맛으로 가는 곳이 아닙니다. 풍경맛집!
커피가 너무 비싸긴하지만 책읽으면서 멋진 풍경보기에 너무 좋았습니다."
카페0732,굿셀러,5.0,팍 트인 공간. 수평선 . 모든 것을 품을것 같은 바다.표현할수 없을 만큼의 풍경을 느낄 수 있는 곳..
카페0732,mom Jelly,4.0,"편안한 애견동반카페입니다.
1층과 3층은 동반이 가능하고 애견이 싫으시면 2층을 이용하시면 됩니다."
카페0732,안미경,5.0,"건물에 비해 인테리어가 허술해보임.건물이 아깝다는 느낌.
화장실은 넓고 칸도 많고 시설 좋았습니다."
카페0732,HYA PARK,4.0,"뷰가 좋아 바다구경 제대로
커피는 그저그래도 용서가되었음"
카페0732,lovely누누네,2.0,"카운터 직원 불친절하고 손님도 없이 텅텅 비었는데 거의 모든 좌석 청소가 되어있지않아 너무 지저분해요. 에이드, 커피맛은 평범합니다."
카페0732,조성훈,5.0,다 좋은데 음료 가격이 너무 비싼것같아요..
카페0732,최승호,5.0,이제 2번 갔다왔는데 주차장도 넓고 매장도 넓고 매장 안도 시원하고 카페중에 젤 마음에 듬. 참고로 여름에 매장 문 열고 들어갔는데 안시원하면 바로 나옴.
카페0732,김재현,4.0,쾌적하고 빵도 맛있고 발코니 또한 좋았습니다.
카페0732,Siena Choi,3.0,애견동반 아님!!!!!! 강아지라떼(온도 차가움)를 팔지만 절대 애견동반 아닙니다 테라스나 루프탑에도 출입이 안됩니다!!!!! 1층 야외테이블에만 앉을 수 있는데 좌석상태가 상당히 청결하지않고 낡아서 앉고싶지 않아 음료만 가지고 나왔습니다 장소특성상 사계절내내 바람이 부는 곳이니 애견동반인 분들은 그냥 다른 장소를 추천드립니다 뷰값을 빼면 메뉴가격대가 높은편이며 실내가 널널해서 어린아이를 동반한 가족손님들이 많습니다
카페0732,양용웅,4.0,"간절곶 전망좋고 주변이 깨끗해서
마음이 평화로와 지네요"
카페0732,울산사람,4.0,크고 괜찮았습니다 2층으로 가는 계단이 미끄럽네요
카페0732,전형태,4.0,"분위기 좋고 고급지고 뷰좋고
하지만 가격이 좀 많이 무겁네요ㅎ
평균 6500원정도 보심 됩니다"
카페0732,외노,4.0,경치가 좋고 공간이 넓어요. 좋아요.
카페0732,이승렬,3.0,커피 맛은 그냥저냥 먹을만하나 시설이 노후된것 같음
카페0732,박홍은,3.0,"의자는 불편하고 2,3층은 추워요"
카페0732,김데이지,4.0,"뷰 좋아요
베이커리 비추, 음료도 그냥 그런집"
카페0732,youngcranee,5.0,뷰도좋고  앞에 넓은 마당도잇어서 좋고 2층도좋고 아뮤래도  당근케익도 맛잇고 다 좋네요
카페0732,김인규,5.0,"간절곶에 위치한 카페이고 방문시 상당히 넓고 쾌적한 공간이 인상깊었습니다.
가족단위로 방문하면 좋을듯 하고, 바로 앞에  넓게  펼쳐진 풀밭과 해안탐방로가  연인들의데이트 코스로도 일품입니다.  한번쯤 방문 해보시는것도  좋을듯 합니다.^^"
카페0732,bbui bbui,5.0,"동해안에서 가장 먼저 해가 뜨는 곳인 간절곶에 위치한 카페.

매우 넓은 주차장을 보유하고 있어서 주차걱정 필요없음.…"
카페0732,진주현,5.0,탁트인 뷰에 깨끗한 시설 좋아요:)
카페0732,김태연,4.0,"가격,커피맛 둘다만족"
카페0732,향기나는나무,5.0,"커피도 맛있고 경치도 너무 좋아요.
전기차 충전 시설도 있어서 좋습니다."
카페0732,조심운전,4.0,경치는 좋아요. 커피는 실망임..그냥 관광지 뷰 유명한곳 이라 생각합니다.
카페0732,장성길,5.0,"3층까지 이용가능한 커피숍~
전층이 바다가보이는 전망좋은 곳입니다
옆에는 스타벅스도 있지만 여기가 여러면에서
더이점이있내요"
카페0732,이수연,4.0,야외에 앉으면 뷰가 정말 좋아요!
카페0732,MJ Yang,5.0,간절곶 뷰가 멋진 카페
카페0732,최나욤,4.0,뷰 예뻐요 2층도 좋지만 1층 창가가 더 예쁜것같아요 주차장 많이넓어서 주차걱정 없어요
카페0732,Jason Kim,4.0,"간절곳 근처 카페중.  주차장이 제일 잘 정리돼어 편리해요.
커피. 빵.  그저 보통 수준.
카페 전반적 분위기는 보통 이상.
간절곳 카페중엔 그래도 제일 높은 등급."
카페0732,Phantom of the Harley,4.0,정원이 정말 좋아요
카페0732,강진규,3.0,"애완견이 있으신 분들에게 추천드려요~뷰도 괜찮고 3층으로 되있어요 ㅎ
엘리베이터도 있으니 걱정마세요!
커피맛은 보통입니다"
카페0732,Star Barken,5.0,"1년 반째 1주일에 한번 쉬는날 마다 꼭 갑니다
직원분들 친절하시고 음료도 맛있고 뷰도 좋고
편하고 아주아주 좋아요"
카페0732,STAR LEE,3.0,11월19일부터 휴업(내부공사.리모델링)
카페0732,MJ's OPEN MUSIC.,5.0,"반려견과 함께 할수 있는 카페 중
정말 최고의 카페
카페가 최고라기 보다는 바로 앞에 간절곶의…"
카페0732,김낭철,4.0,커피맛있어요
카페0732,송베로니카,5.0,멋진 바다뷰와 맛있는 빵 쾌적한 실내분위기가 좋아서 자주 이용하고 있어요
카페0732,Uneverkno W,4.0,예전에 가보고 다시가봤는데 리모델링한후 올라가는 계단이랑 2층이 깔끔하게 변해서 좋았다. 커피메뉴가 많지 않은게 조금 아쉬운 점
카페0732,youtube 돌콩소년 소풍TV (insta_mingun.chun),5.0,분위기 경치 친철 모두 좋았어요
카페0732,Jh Kim (zephy),4.0,"옥상에 올라가면 전망이 참 좋은 카페입니다
옥상서 시원한 바람 맞으며 마시는 커피도 맛있었네요"
카페0732,DaeSeong Lee,5.0,"뷰가 좋고 주차장이 넓어서 좋았으나
야외테라스에 빈백은 지저분해서
앉기 좀 그랬네요..그 외에는 깔끔해서 만족~"
카페0732,최하은,4.0,"무난무난한 카페에요
가격도 아메리카노 5000원, 스무디 종류 6500원정도
야외도 앉을곳이 조금 있고 간절곶 근처 가시면 이용하시기 좋은것 같애요
근처에 팬케이크집, 투썸, 스타벅스도 있습니다~"
카페0732,김현지,5.0,테라스도 넓고 내부도 공간이 여유있어요. 바로 간절곶 바다랑 이어져 있어서 좋았습니다.
카페0732,손영은,5.0,아메리카노가 고소하고 향이살아있습니다. 직원들도 친절합니다. 빵이 노출되어있는데 덮개가 있었으면 좋겠어요
카페0732,Marcus Kim,5.0,바다랑 햇살이 좋아서 루프탑서 멍때리고 갔네요
카페0732,정영선,5.0,간절곶 뷰가 장난아닙니당 카페도 깨끗하구요 빵도 맛있어용 그리고 산책할수도 있어서 너무 좋았어용
카페0732,오징어,4.0,강아지를 대리고 가서 즐길수 있지만 밖에서 즐겨야 된다 겨울에 나가서 먹으면 많이 춥다 커피맛 은 좋았다
카페0732,"Jong, sung Park",4.0,전망이 좋았어요.
카페0732,오호영,5.0,"주차가 편하고, 층별 특색있는 전망이 매럭적임.
실내 엘리베이터 있어 오르내리기 편함."
카페0732,GY K,5.0,"바다를 보면서 커피를 마실 수 있는게  좋았다
빵과 케이크도 여러종류있어서 굿"
카페0732,송은주,5.0,커피가 쌉쌀하니 맛났어요
카페0732,fireblast,5.0,평일이라 그런지 거의 전세내고 있었네요..  바다도 보고 커피도 마시고 날씨도 좋고 힐링했습니다
카페0732,이동기,3.0,빵 성의 없음. 데워주는거 없음. 커피 보통. 자리빨 장사. 간절곶만 보고 차타고 다른데 가겠음
카페0732,여자서미숙,4.0,"주차장 넓고  바다전망이  아름다운곳.
내부도 넓으며편안함.
커피,,굿~~~~"
카페0732,박미정,4.0,"넓은 공간과 멋진 풍경 ,호텔에 온듯한 분위기가 좋음
음료는 무난~"
카페0732,김슬기,5.0,매장이ㅈ넓어서 좋았고 화장실이 깨끗해서 좋았어요
카페0732,김충환,5.0,간절곶에 있는 카페입니다. 동해바다가 훤히 내려다 보이는 언덕에 있어 전망이 뛰어나고 주차장이 넓습니다.
카페0732,강인순,5.0,"커피맛도 좋고
바다가 보이는 전망이 멋져요"
카페0732,깐따삐야MF,5.0,그냥~!애견카페는아니지만~강쥐데리고~바다바람쐬러가기좋은곳~🐶목줄없이가면눈치보이는곳😅🤔…
카페0732,sunny won,2.0,"인테리어는 좋으나 가격대비 맛은 소소
양이 너무 적어요
그냥 경치가 좋아서 가는듯"
카페0732,輔晟,5.0,위치좋고  뷰좋은  간절곶 카페
카페0732,진은정,4.0,장소가 넓어서 편하게 있기 아주 좋아요. 커피맛도 좋아요.
카페0732,준June,4.0,넓은 좌석에 음료도 맛있어요
카페0732,yb Kim,4.0,총 3층이며...엘리베이터가 있어 편함. 3층은 개판임. 애완견카페인줄...뷰가 전체적으로는 좋음.
카페0732,KB Lee,3.0,간절곶이 몇년 사이에 많이 바뀌었네요... 예전 언덕자리 부분에 생긴것인데 괜찮네요.
카페0732,김기범,5.0,경치가 좋아요!
카페0732,이상섭,4.0,바다 및 잔디 광장 뷰 최고
카페0732,윤성화,4.0,"일출보기 딱 좋은 곳이더라구요
주변경관도 좋고 커피도 맛있네요"
카페0732,hwasun chun (써니),5.0,"커피도 맛있구요
창밖으로 보이는  바다뷰멋져요^^"
카페0732,미나리,3.0,조망과커피맛이 좋아여
카페0732,써니,4.0,"깔끔하고 음료맛이 좋네요~
바다 전망도 굿!"
카페0732,박창환,4.0,"외관 내관  모두 디자인 예쁨
음악 좋음
생각보다 바다경치는 잘안보임
테이블이 멀어서 괜찮음"
카페0732,김승록,4.0,경치좋고 분위기 좋네요~ 야외테라스 테이블도 청소좀 했으면 좀 더 좋을듯요~
카페0732,good ys,4.0,아낌없이  간절곶의 풍경을 바라보며 넓은 주차장 완비 그리고  신선한 캐잌과 커피
카페0732,Love Wise886,4.0,맛있어요😊…
카페0732,장시영,4.0,코코아가 맛이 좋아요
카페0732,김영호,4.0,조용하고 시원한편이었는데 커피나 디저트류는 쏘쏘였네요.
카페0732,BJ Lee,5.0,"간절곳 최고의 뷰
친절,청결,뷰 👍 👍…"
카페0732,크로아티아한달살기,5.0,맛있어요^^~!!!
카페0732,이동환,4.0,"간절곶앞..
바다가 훤히 보이는 뷰가좋은 카페.."
카페0732,치즈체다,4.0,"커피가 써요
간절곳에서 경치 제일좋은 카페"
카페0732,채학영,3.0,뷰는 좋은데 커피는 그닥...
카페0732,아라리요,4.0,분위기 만족 뷰 좋아요
카페0732,손병희,5.0,어제 맛봤던 에소프레소 콤빠냐 역시 훌륭했고 방문할때마다 만족하는 장소입
