place_id,user_id,score,comment
카페로로,김나니,4.0,"깔끔하고 분위기 좋았습니당! 11시부터 5시까지 영업하시는데 깨끗한 느낌의 카페. 디저트류가 다 넘 예뻐서 눈길이 먼저갔고, 메론케익은 메론이 안달아서 그런가 크림이랑 잘어울린다는 느낌보단 밍밍했고, 로로파블로바는 머랭이라 계란비린내가 살짝 났는데 그거는 제가 계란에 예민해서 느낀거 같고 칭구는 괜찮다고 했습니당!ㅎ.ㅎ사장님도 넘나 친절하셔서 담엔 꼭 파인애플빙수 먹으러 갈게요!"
카페로로,존버하면언젠가,5.0,와우. 네이버지도로 찾기는쉬웠어요 맛있는커피와케익 ㅡ보기도좋은음식이먹기도좋다 그말이맞는것같아요  맛있어요 👍 👍 👍…
카페로로,박군공작소,5.0,많이 조용합니다. 금요일 저녁임에도 붐비지 않고 편안해 앉아 디저트와 음료를 마실 수 있습니다. 대중 교통으로는 찾아오기 불편하나 건물 뒤 도로등에 주차가 가능하여 편하게 이용할 수 있습니다.
카페로로,Elaine HB,4.0,"케이크가 맛있어요. 딸기도 엄청 신선하고ㅎ 위치도 외지고 노키즈존, 현재 코로나로 매장 내 취식이 안되서 좀 어려운곳이지만 감안하고 케이크는 맛있습니다."
카페로로,다올아람,4.0,분위기 좋고 음료 디저트 맛있어요 2층 키즈존? 제한있어서 편합니다
카페로로,GOOCHEOL LEE,4.0,"인테리어가 이쁘고 편안한 쇼파가 있어서 좋았던 곳
음료와 디저트도 괜춘"
카페로로,Jada,5.0,"하와이빙수, 팥빙수,케잌,음료 모두 맛있어요"
카페로로,윤예준,5.0,수제 케이크가 재료를 좋은걸 사용하시는지 달지 않고도 너무 맛있고요! 카페 홀도 예쁘게 잘 꾸며져 있어서 좋아요~
카페로로,긍정쏠,3.0,"아아 4500원 따아 4000원 케이크 7500원

딸기케이크는 맛있다. 커피는 맛이없다. 추출을 잘 못하는건지 씁쓸떱떨하다. 원두가 아아용은 아닌거같고 따아해서 구수한맛에 먹는게 낫겟다. 케이크가격이 다른카페 딸기생크림대비 비싼편이다."
카페로로,이미은,5.0,케잌이 너무 맛있어요~~
카페로로,희린,4.0,"사장님도 친절하시고
카페도 예쁘고 디저트도 먹기 아까울 정도로 예뻐서
자주 가고 싶은 곳입니당!!…"
카페로로,김효니,5.0,가게 측면에 간판이 없어서 차량 진입 방향에 따라 가게 위치를 잘 못찾을 수도 있겠더라구요. 하지만 케이크가 너~~~무 X10000 맛있어요! 계절별로 나오는 케이크를 모두 먹어보고싶네요👍 시트가 촉촉하고 크림도 아주 맛있어요ㅎㅎㅎ…
카페로로,맘해바라기,5.0,케잌수제전문점이라 커피종류는 기본메뉴바께없고 쥬스종류가많아요
카페로로,첼로띠,5.0,커피랑 디저트 맛있었어요👍🏻…
카페로로,RAIN ism,4.0,예약하고 가서 음료만 추가로 주문하려는데 갑자기 2층에 자리있는지 보고 주문하래서 어이 없었음. 그럼 선입금했는데 서서 먹으란 건지.. 3시 예약이라 바로 나올 줄 알았는데 그것도 아니었고. 미안하단 말도 없고. 로로파블로바와 하와이빙수 먹었는데 기분이 안 좋아선지 엄청 맛있단 느낌은 없었고 하와이빙수는 너무 파인애플 본연의 맛이어서 생각과 달랐음. 빙수인데 연유 좀 팍팍 넣어줬음 싶었음. 생크림이 맛있어서 케이크는 정말 맛있을 듯. 코로나로 5시까지만 영업.
카페로로,Youngsub no.1 SON,5.0,"수구레 훌륭하구요 육회비빔밥 살짝 아쉽네요ㅜ
찬도 깔끔하게 잘 나오고  수구레 맛납니다
옆테이블 보니 육회비빔밥 시키니 수구레 국물 곁들여서 나오는거 같아요"
카페로로,나또롱_TV,5.0,케익이 엄청 맛있어요 역대급임
카페로로,닭한마리밥한공기,4.0,역시 디저트 맛집이에요
카페로로,나야민,3.0,디저트로 유명하지만 저는 개인적으로 케잌맛이 별로였어요ㅜㅜ 느끼하고 단맛도 없어서 많이 실망했어요 일부러 찾아가서까지 케잌을 구매해서 왔지만 사온 보람이 없었어요ㅜㅜ
카페로로,정은주,5.0,분위기도 너무좋구 인테리어도 너무이쁘구 음식도맛있구 사장님?직원분?도 너무 친절해서좋아요👍…
카페로로,yoonkyoung Kim,4.0,조용하고  깔끔하고 연유라떼   마셨는데..생크림도 쫀득하이 맛도 좋았어요
카페로로,Y H,3.0,분위기 좋다하여 가봄. 노키즈라고 해서 어른들끼리. 계단 위험함. 그닥 편한 의자 아님.
카페로로,안나의홈파티,5.0,깨끗하고 좋아요~♡직원들도 친절합니다
카페로로,김가은,5.0,상당히 쾌적하고 깔끔합니다. 음식도 군더더기 없이 깔끔하네요.
카페로로,박유진,5.0,내부도 깔끔하고 깨끗하고 좋아요^^
카페로로,이슬,5.0,맛있어요
카페로로,김성기,4.0,카페이름이 모캄보로 바뀌었어요 시원하고 괜찮습니다
카페로로,김대영,5.0,지윤이네와 와플과 팥빙수로 저녁여유롭게. 시간보냈슴
카페로로,달콤한스케치,5.0,"여기 커피랑 말차스콘 진짜맛있음
여름엔 파인애플빙수가맛있음"
카페로로,기묘기묘,4.0,좀 비싸긴한데 조용하고 분위기 괜찮아요
카페로로,국우준,4.0,여자들이 좋아할만한 분위기이며 음식은 괜찮음
카페로로,bj th,4.0,디저트가 맛있고 커피도 맛있는 카페
카페로로,박기주,3.0,"인테리어 무난하나, 개업 초기 아기가 복층계단에서 굴러떨어진 일이 있은일 이후 아기들 출입은금지됨"
카페로로,SL K,4.0,"2층으로되어있는
이쁜카페"
카페로로,강마이,5.0,손님이 많아요
카페로로,jeoneun kim,1.0,그냥 지나친거 같은데. 난 간적없어 여친이 없는걸.
카페로로,소리소리다솜이,4.0,조용하구 혼자  독서하기좋음
카페로로,예쁜푸딩,4.0,노키즈존이에요
카페로로,김보람,5.0,파블로바가 맛있어요
카페로로,dufao park,4.0,카페로로 분위기 좋고 맛도괜춘
카페로로,비비아빠,5.0,진짜맛있어요•••
카페로로,천정호,5.0,멋진 곳입니다.
카페로로,DINO,5.0,단호박 스무디 꼭드세요 ~!
카페로로,나정국,5.0,"차분해요
아늑해요."
카페로로,사공슈터,3.0,분위기가 좋아요
카페로로,melissa jung,5.0,맛있어요
카페로로,오죠오죠,4.0,조용하고 깔끔한카페
카페로로,머선일이야,3.0,"에휴 비싸..,."
카페로로,우구부부,5.0,좋아요
카페로로,박창민,3.0,무난함.
카페로로,c데이지,5.0,추추추천
카페로로,김성현,5.0,분위기갑
카페로로,율우맘TV,5.0,파블로바 존맛👍…
카페로로,Jin uk Shin,3.0,그러저럭
카페로로,林志訓,5.0,맛집 맛집
카페로로,송희범,4.0,
카페로로,June Hee Leigh,5.0,"It's a two story building coffee shop in Janghyun-dong. Free wifi is available and you can sit lots of different sets of table on 2nd floor, which is filled with beautiful furniture, lightings and plants.  A coffee costs 4,000 won per…"
카페로로,seong won myung,5.0,Good place to have a coffee with SO
카페로로,규화이팅,5.0,
카페로로,고봉수,3.0,
카페로로,이혜련,4.0,
카페로로,박철,2.0,
카페로로,박정웅,4.0,
카페로로,김정운,4.0,
카페로로,허미진,4.0,
카페로로,권혁윤,5.0,
카페로로,박현선,5.0,
카페로로,허니멜롱,5.0,
카페로로,junheuk sung,5.0,
카페로로,똔똔,3.0,
카페로로,구진숙,5.0,
카페로로,윤다혜,5.0,
카페로로,Katerina Kim,5.0,
카페로로,고은,3.0,
카페로로,이은주,1.0,
카페로로,김자은,5.0,
카페로로,Duck L,3.0,
카페로로,김형수,5.0,
카페로로,김민우,5.0,
카페로로,박준석,5.0,
카페로로,Daeun Jeong,4.0,
카페로로,조수경,5.0,
카페로로,망뭉,5.0,
카페로로,jio neo,4.0,
카페로로,가보쟝,5.0,
카페로로,곽경희,5.0,
카페로로,박보민,5.0,
카페로로,bin bruce,4.0,
카페로로,윤슈니,3.0,
카페로로,소향,5.0,
카페로로,ㅇㅇㅇ,4.0,
카페로로,손설경,5.0,
카페로로,김봉준,5.0,
카페로로,투쫑tv,5.0,
카페로로,구판규,4.0,
카페로로,Daniel Kang,4.0,
카페로로,라온숲(Boaz),5.0,
카페로로,행복하세요,1.0,
카페로로,징징,5.0,
카페로로,진민영,5.0,
카페로로,최준,5.0,
카페로로,맛집좋긔!,4.0,케이크맛집
카페로로,싸가지,4.0,파블로바진짜맛있었어요
