place_id,user_id,score,comment
카페리뉴,Juhyeon Park,5.0,삼산동 중 제일 좋은 카페 같아요. 일단 넓어서 다른 사람들과 자리 떨어져서 앉아서 이야기 나누기 좋아요. 채광도 잘 들어오고 전체적인 인테리어 잘 되어있고 이뻐요. 커피 종류도 많고 가장 기본인 아메리카노도 맛있어요. 조금 비싸지만 그 값하고 이 근처 방문하면 여기로 올래요!~
카페리뉴,damdam,3.0,"울산 산삼동 업스퀘어 근처에 위치한 카페입니다. 매장이 넓으며 테이블 수도 많이 있습니다. 대체적으로 깔끔한 느낌이고 인테리어에 신경 쓴 듯 합니다. 음료와 디저트메뉴를 판매하고 있습니다.
저는 초코라떼, 더치 비엔나, 수박스무디를 맛보았습니다. 셋 중에선 더치 비엔나가 가장 괜찮았습니다. 초코라떼는 크림위에 라떼아트로 꾸며주셨으나…"
카페리뉴,PRE PRE (프레프레),5.0,"맛있었습니다 초코라떼를 주문하고 놀랐어요 ^^ 다른카페들과 차원이다릅니다
맛도 최고 실력도 최고 ㅎㅎ"
카페리뉴,E P,4.0,"디카페인 아메리카노+수플레 플레인
11월 중순 방문
커피는 마셔본 디카페인중에 가장 맛있었습니다…"
카페리뉴,윤예준,5.0,카페 내부 분위기도 정말 좋고 커피 맛도 좋아요!!
카페리뉴,나야민,3.0,아메가 5천원인데 별로 맛이 없어요~~
카페리뉴,ES LEE,4.0,"커피 맛이 참 좋습니다. 그런데 디저트류는 제가 집에서도 만들수 있는 수준이에요.
가게 인테리어가 마음에 들어서 낮시간대에 삼산동가면 종종 방문합니다."
카페리뉴,홍훟홓,5.0,수플레팬케이크 맛있음 다른 디저트도 가격값하는 곳
카페리뉴,JUNE Choi,3.0,애매하네요.. 오랫만에 갔는데 가격이 내렸나?; 일단 아메리카노가 맛이 옅어졌어요. 그리고 음료 받으러 오라는건 진동벨로 알았는데 다 마시고 따로 쟁반그대로 반납해야 하는지 몰라서 그냥 나갔거든요. 근데 카운터 직원분들이 멀뚱히 보고 있어 놀랐네요; 어차피 테이블 앉았던데 닦고 정리하러 올테니까 별신경안쓰고 나갔는데;; 조용히 눈빛으로 쫓겨난 기분;; 넵 이정도 센스와 매너는 늘 꼭 탑재하고 다닐게요 ㅜㅜ
카페리뉴,희린,2.0,"핵비싸요!!!!!!!!!!!!!!!!ㅡㅅㅡ
가격 깡패 프라페가 8000원, 밥한끼먹을껄 후회했어요.
그리고 간 날 경찰와서 직원들 정신없고;; 뭔일인지모르지만요;;;…"
카페리뉴,파란하다,5.0,서비스 체계가 잘 되어있고 다양한 커피를 맛볼 수 있는 곳. 디저트도 너무 귀여워요
카페리뉴,가오충,4.0,분위기도 좋고 맛도 괜찮아요. 비엔나커피랑 딸기로 만든 모든 메뉴 추천합니다.
카페리뉴,박대훈,5.0,아늑하니 좋네요ㅎㅎ
카페리뉴,정영순,5.0,"커피맛으로 유명한 곳이죠   라떼,비엔나 추천합니다 가게옆에 주차공간있어서 편해요"
카페리뉴,HyeRa Lee,4.0,".로즈에이드는 내취향 아녔는데
스크로베리티 맛나더라고요 ㅋㅋ…"
카페리뉴,유여난,4.0,더치비엔나커피가 매우 맛있음. 외관보다 내부 인테리어가 더 멋진곳.
카페리뉴,P Daniel,4.0,직접 로스팅 하는 가게. 여기 커피 맛 괜찮아요.
