place_id,user_id,score,comment
카페발코니,Sun L,4.0,"맛,비쥬얼 ,청결도, 친절도
모두 좋은 기억만 남았습니다
맛있어서 또가고싶긴한데…"
카페발코니,Jenny Lim,5.0,아침 일찍인 9시부터 오픈이라 브런치 먹기에 좋은 카페~오픈샌드위치는 9천원쯤 해서 좀 비싼감이 있지만 먹어보면 재료도 알차고 맛있었다. 한번쯤 브런치 먹으러 오기 좋음
카페발코니,최주휘,3.0,"가격대비 살짝 거품이 있음
아보카도 샌드위치는 아보카도는 신선하지만 소스류는 없이 빵에 발라진 크림치즈?하나였고 빵도 한조각이여서 배가부르진 않음.…"
카페발코니,Mongkoo,4.0,"크로아상 8500원
커피 4500원이었어요
주차장은 따로 없는거 같구요…"
카페발코니,Yeonji Park,5.0,"1,2층으로 되어있구요. 음료나 음식 다 괜찮았습니다.
음료안에 재료도 많이 넣어주시는지 진했구요."
카페발코니,dada J,3.0,"그냥 그럭저럭 괜찮았어요
2층 소파좌석이 너무 푹신거려서 브런치 먹기에는 별로에요"
카페발코니,J B,3.0,음식 맛이나 구성에 비해 가격이 너무 셉니다
카페발코니,김재훈,5.0,"브런치 할수있는 카페~~~
사장님도 넘 친절하시고~~
음식도 맛나요~~~^^*"
카페발코니,알콩달콩딸딸맘,5.0,"음료를 무조건 시켜야된다니..
아직도 이상합니다ㅋ"
카페발코니,강수현,5.0,친절하고 맛나요~^^
카페발코니,챙구리,3.0,분위기가 좋았음 !
카페발코니,Yaawwong yaawwong,4.0,"조용
편안함"
카페발코니,이희창,1.0,좀...... 그러네
카페발코니,ヤンウェンリー,3.0,
카페발코니,영보김,3.0,
카페발코니,Jae Kyoung Cho,5.0,
카페발코니,이용길,4.0,
카페발코니,이나연,5.0,
카페발코니,김정하,4.0,
카페발코니,이현정,1.0,
카페발코니,Blue💙,5.0,아인슈페너 존맛
카페발코니,콩콩,5.0,
