place_id,user_id,score,comment
카페원스 두번째,',5.0,여기 너무 분위기도 좋고 해외온 기분사장님도 친절하시구 음료도 짱맛good
카페원스 두번째,User,5.0,"뷰, 맛, 친절, 분위기 👍👍👍진짜 힐링하고 싶을때 찾아서 왔는데 지립니다"
카페원스 두번째,사과잼,5.0,사장님 너무너무 친절하세요ㅠㅠ덕분에 평범하던 하루가 따뜻해졋어요!착한 손님들만 방문해서 사장님의 친절함에 스크레치 안 나시길 바라요...☆
카페원스 두번째,민민,5.0,또가고 싶은곳.. 넘 좋아요!!
카페원스 두번째,뚠뚠,5.0,사장님 너무 친절하셔서 후기 남기고 싶더라구요. 바다 뷰도 좋고 카페도 아늑해요☺️
카페원스 두번째,묭,5.0,맛도있고 사장님 너무 친절하시고 쪼아요
카페원스 두번째,Nesx,5.0,친절하신 사장님 ☺☺
카페원스 두번째,달,5.0,분위기도 너무 좋고 음료랑 쿠키도 맛있어요!
카페원스 두번째,윌크,5.0,"바나나, 코코넛 음료 둘다 싫어하는데 초코바나나랑 사와디코코 대존맛이에요,,, 사장님도 완전 친절,,"
카페원스 두번째,유은주(Sopia),4.0,
카페원스 두번째,)),4.0,숨꿀
