place_id,user_id,score,comment
카페이소,고려방범대youtube,5.0,"반려견이랑 함께 시간을 가질 수 있어 좋아요
멍푸치노 완전홀릭♡♡
펫키지에 나왔던 간식 도넛껌도 있고 바로 구매해서 먹어보고 넘  좋은시간 되었어요"
카페이소,이혜리,4.0,애견동반 카페로 넓은 정원이 있는 카페입니다. 무난한 맛의 커피와 디저트입니다. 혼자 하시다보니 늦게 나왔지만 굉장히 친절한 응대가 인상깊었습니다.
카페이소,레이첼,4.0,"이층에 돈까스 사장님들?직원님들?너무 친절해요
밑에 애견동반이라 강아지 볼수있어 좋았어요.
돈까스도 잘먹었어요"
카페이소,울산바비,4.0,"깔끔하고 커피도 맛있고 분위기도 좋아요~ 1층과 실외는 애견동반이 가능하고 2층은 불가능.1층 실내는 매너벨트,기저귀를 착용하면 목줄없이 풀어놔도 되고 실외에는 잔디밭이 있어서 댕댕이들이 뛰어놀기 좋음..반려동물 입장료는 없지만 1인 1음료,1견 1간식이라고 되어있음..실외 잔디밭과 주차장 사이에 안전문이 없어 살짝 불안한 면이 있음..반려동물과 함께 하시는 분들은 꼭 잘 살피시길..애견카페가 아닌 애견동반카페 이기에 기본적인 매너는 꼭 지켜주시길 바래요~^^ 재방문 의사가 높은 장소임!"
카페이소,kim hyo won,3.0,"손님이 많아서 주무시간 오래걸림.
반려견입장시 간식필수구매해야함.(입장료같은거)"
카페이소,사랑비,5.0,"반려견이랑 잠시 놀다가 오기 좋은곳이에요.

맘껏 뛰어놀수 있는 공간이 있어서 너무 좋아요…"
카페이소,김대경,5.0,"카페 분위기 좋고
음료도 맛있고 좋네요 ~~^^"
카페이소,황규진,5.0,"전체적인 카페분위기가 좋슴

카페내부도 있고 밖에서도 커피마실수있게 의자랑 테이블셋팅해놨습니다.…"
카페이소,김현숙,5.0,반려견도 자유로이 놀수 있고. 직원분들도 친절하셨네요^^
카페이소,최봄,4.0,인생카페까지는 아니었으나 애견동반가능카페 중 꽤 마음에 드는 카페였다. 야외공간이 특히 넓직하고 잘 꾸며져있어서 강아지들이 놀기 좋았다.
카페이소,yh j,4.0,예쁘게 플레이팅 해서 나와요. 1견 1간식 필수입니다. 칡즙 맛있어요. 밀크티는 비추합니다.
카페이소,박군공작소,5.0,조용하고 맛있는 디저트. 웰시코기 두마리가 가끔 있습니다. 갤러리와 함께 운영되는 카페.
카페이소,Sang yun Han,4.0,"한적하고 좋습니다.  음료가격은 중상위 이고, 디저트는 중간정도 가격입니다. 맛은 둘다 맛있어요! 2층 절반만 이용 가능하고 주차장은 20여대 주차 가능한듯 합니다.
근처 논밭에서 냄새올라옵니다."
카페이소,박영훈,4.0,애견 까페이고 혼자서 사장님이 하시다보니 6잔 주문 15분 기다리는것 빼곤 좋아요
카페이소,닭한마리밥한공기,4.0,애견동반가능하나 1층 분리된 장소와 야외만 가능합니다
카페이소,ELLIE K,4.0,베이커리 직접 구워서 그런지 맛 괜찮았고 음료도 괜찮았음 애견동반이 가능해서 강아지 간식도 간단하게 구비돼있었음 잔디가 있어서 뛰어놀기 좋았는데 펜스가 없어서 주차장쪽은 좀 위험할수 있다고 생각됨
카페이소,혠부리,5.0,"의외로 아직 유명세가 없는 게 신기한 카페. 작은 카페와 빽빽한 테이블의 프랜차이즈 카페에 지쳤다면 이 곳 강추. 음료와 공간이 다 괜찮은 곳. (보통은 둘 중 하나는 별로니까 T.T) 특히 내가 좋아하는 이유는 공간과 풍경들이 마음에 여유를 줘서이다. 편하게, 여유있고싶을때, 마음 편히 있고 싶을 때 더 좋다. 주차장도 아주 넓음."
카페이소,둥땡이일기,5.0,강아지들이 놀기에 아주 좋은거같아요 ㅎ
카페이소,주경화,5.0,넓은 잔디밭과 넓은 매장으로 강아지한테 좋은 환경과 강아지 입장비가 간식 사는거라 더 좋았어요
카페이소,Soo Neilson,4.0,아담하고 조용하고 케잌도커피도 많잇고  직원분도  친절해서 담에 다시가고 싶어요
카페이소,Yum Seo,5.0,브런치 메뉴가 맛있었어요. 카페가 논(들?)뷰로 마음이 평안해짐.
카페이소,행복한하루,5.0,강아쥐랑 너무 잘 놀수있어용 ㅎㅎ 또 가고싶네요
카페이소,부산Rider범준,5.0,경치좋고  사장님 이쁘고 친절하고 음식도 맛잇고 좋아요
카페이소,HyeRa Lee,5.0,"조용하고 넓직하고 좋습니다
크림치즈 들어간 크로와상도 맛있어요"
카페이소,Park욱찐,3.0,"음식맛있어요 특히 그 베이컨머시기 엄청 맛남
근데 운동장 관리가 안되는듯..."
카페이소,김병철,5.0,너무 잘먹었어요^^
카페이소,김민철,4.0,"진하해변 명선교 야경 전망이 아름다운 곳, 넓직한 공간 배치, 차 써빙해 주는 친절함이 인상적이에요"
카페이소,Young Su Son,3.0,조용하고 정겨운곳 커피 맛이 좋아요
카페이소,김민석,5.0,한적한 위치 분위기 맛 다 좋네요
카페이소,별똥눈물,5.0,커피가 맛있음 잔디가 있어 논뷰이지만 안구정화됨
카페이소,김지균,5.0,갤러리와 커피
카페이소,한승수,5.0,빵도 맛있고 케잌도 맛있음. 아메리카노 리필가능
카페이소,파랑 빵,4.0,강아지 좋아하는 사람들에게 좋은곳
카페이소,정수정,5.0,아 하필 한달에 한번있는 휴무라니...
카페이소,최재헌,5.0,편안해서좋아요
카페이소,김정태 (애니앤카오토리스),5.0,멋진곳입니다^^~
카페이소,이주호,5.0,좋음
카페이소,송명현,5.0,커피가 맛나요
카페이소,동동이,4.0,괜춘함
카페이소,오정이,4.0,
카페이소,또잉,4.0,
카페이소,ASLB kreatif,4.0,😁😁…
카페이소,박종대,5.0,
카페이소,조석영,5.0,
카페이소,천봉근,5.0,
카페이소,천준영,5.0,
카페이소,구영제,4.0,
카페이소,권용현,5.0,
카페이소,Co Coco,5.0,
카페이소,조창용,4.0,
카페이소,김병호,3.0,
카페이소,광천용수,3.0,
카페이소,히짱,5.0,
카페이소,여태술,4.0,
카페이소,설윤하,4.0,
카페이소,Suk Young YOON,5.0,
카페이소,김재철,5.0,
카페이소,이병직,3.0,
카페이소,손세욱,5.0,
카페이소,YeonJeong LEE,5.0,
카페이소,MJ Yang,5.0,
카페이소,송윤기,4.0,
카페이소,태석박,4.0,
카페이소,숑숑예준아빠,5.0,
카페이소,안병식,3.0,
카페이소,Lerma Paeck,4.0,
카페이소,김현찬,5.0,
카페이소,백성호,5.0,
카페이소,님솔,1.0,
카페이소,김영진,5.0,
카페이소,1봄이설이,5.0,
카페이소,핫초코,5.0,
카페이소,YongHo Shin,4.0,
카페이소,윤에이블Yunable,2.0,
카페이소,전영식,5.0,
카페이소,김원경,4.0,
카페이소,송석민,5.0,
카페이소,장골라,5.0,
카페이소,곽명규,5.0,
카페이소,sometime섬타임,5.0,
카페이소,이상록,4.0,
카페이소,동동동,5.0,
카페이소,임예지,5.0,
카페이소,하야니,5.0,강아지 데리고 안심하고 갈수 있는곳이에요 마당에 울타리 시설이 다 되어있어서 강아지 탈출 걱정도 없고 주변에 산책하기 좋은 한적한 길도 있어서 좋습니다. 보통 애견동반은 맛없는 곳이 많은데..여긴 음식도 다 맛있고 정성껏 만들어주세요! 특히 늦은 오후에 해지는 풍경보며 조용히 힐링하기 넘 좋습니다!
카페이소,윤슬,5.0,
카페이소,쩡아~,3.0,
카페이소,★,5.0,자주오는곳 다맛나고 신나게뛰놀곳도있고 넘좋아용
카페이소,박기환,5.0,"나만 알고 싶은 그런 카페, 흰 바탕에 조용히 책읽으면 기분 좋은 카페, 최고예요!^^"
