place_id,user_id,score,comment
쿠우쿠우 굴화하나로마트점,억세달래집사,4.0,회도 나름 신선하고 개살스프도 간이적당해서 맛있었습니다! 또한 피자도 시간이좀 오래걸리긴하였지만 바질이신선해서 맛있었습니다.
쿠우쿠우 굴화하나로마트점,우태경,3.0,"이전 보다 사이드 음식 맛이 자극적이지 않아 좋습니다만, 오히려 초밥 맛이 이전 보다 못합니다.
밥알이 쉽게 흩어지고 배합초 간이 약합니다.
즉석면 코너의 짬뽕, 짜장은 국물과 소스 맛은 좋은데 면이 너무 퍼석하고 물러 먹기 힘듭니다.
세심한 관리가 필요합니다."
쿠우쿠우 굴화하나로마트점,bbui bbui,3.0,"쿠우쿠우 매니아 입니다.

과거 굴화에 생겼을 때부터 거의 10회이상 방문하였습니다. 왜냐하면 집과 가장 가까웠기 때문입니다.…"
쿠우쿠우 굴화하나로마트점,김민기,5.0,"종류도 다양하고 맛있어요~^^

특히 케밥이 정말 맛나네요~…"
쿠우쿠우 굴화하나로마트점,김경율,4.0,"1. 굴화하나로마트와 주차장을 공유해서 주차장은 넉넉함
2. 최근 리뉴얼했다고 해서 방문했는데, 메뉴는 3~4개 추가된 것 말고는 특별한 것이 없었음
3. 음식맛도 상향된 느낌은 없었음"
쿠우쿠우 굴화하나로마트점,계백장군싱글수상,5.0,깨끗하고  서빙하는사람들 빈그릇 쌓이지않게빨리빨리 정리하고 음식 맛도 갠찮은곳
쿠우쿠우 굴화하나로마트점,YOUNG MI SHIN,4.0,"인원 많은 가족모임 장소로 추천합니다. 해물과 생선으로  다양하게 요리한 초밥가게로 인원많은 가족이나 친구, 지인 모임시 좋을 듯 하네요. 초밥이랑 롤 다양하고 먹을 거리랑 후식 아주 다양해서 배 부르게 먹을수 있어요! 초밥 뷔페 가격 도 괜찮은듯 하네요.  또 여기는 주차걱정 안 해도 되는 장소입니다. 차량 이동시 하나로마트주차장 넓어서 이용하면 됩니다.그리고 여기엔 아이들 놀이방도 있어던 걸로 기억합니다.단  단체 인원 식사시 식사시간때 손님 많을수도 있으니 사전예약 하시길 당부드립니다 ."
쿠우쿠우 굴화하나로마트점,서ji,3.0,"사장님 친절하시고 직원분들은 좀...
음식은 다른 쿠우쿠우에 비해 종류는 적으나 깔끔하고 신선함"
쿠우쿠우 굴화하나로마트점,최규종,5.0,오랜만에 다녀왔는데 음식맛도 좋고 종류도 많아 진것 같았네요 잘 먹고 왔어요
쿠우쿠우 굴화하나로마트점,잡앤킬,4.0,"주말에 가끔 웨이팅 있어요 그냥저냥 무난한 맛이에요.
가끔 맛있을 때가 있는데 그 차이는 잘모르겠어요.…"
쿠우쿠우 굴화하나로마트점,eun hyuk kim,4.0,"야 쿠우쿠우가 다그렇지 맛없는게아니라 맛있는게 적을뿐이다. 그리고 여느뷔페와다르게 여긴 술팔아서그런가 가족단위도 아래로가족이아니라 위로가족이 많은거같다
참고로 여긴 패션프루츠랑 와플맛집이다"
쿠우쿠우 굴화하나로마트점,전전수진,3.0,"주말저녁
음식 조달이 빠르지않았고
야채(샐러드)초밥이 신선하지않았어요…"
쿠우쿠우 굴화하나로마트점,김성춘,5.0,맛나고깨끗해요. 좋아요.
쿠우쿠우 굴화하나로마트점,순도리,4.0,음식은괜찮은편이였고 주차장이 하나로마트주차장이라  넓어서좋았어요
