place_id,user_id,score,comment
태번159,dal Kang,5.0,제 최애 브런치 맛집입니다! 정말 저렴하고 빵들이 너무 맛있어요.
태번159,불타는구루마,4.0,조금 외곽이긴 하지만 커피도 맛있고 내부인테리어도 개방감이 있어 편안해서 좋습니다 늦게가서인지 베이커리를 못먹은게 아쉽네요 매주 월요일은 쉽니다
태번159,yoon,5.0,분위기 깡패구요. 밤엔 조명이 넘나 분위기있는곳이랍니다. 태번아메리카노는 진짜 완전강추해요! 산미있는 커피를 안좋아하신다면 분명 엄지척 하실걸요? 집에 와서도 계속 생각나는 커피예요~  빵도 맛있으니까 꼭 가보세요!
태번159,개복치카레,3.0,"넓은 주차공간
카페&펍
와인은 잔으로 판매…"
태번159,BT LEE,4.0,"커피 빵 와인을 즐길수있는 카페
넓은 2층으로된 매장이 넓고 개방감이  좋아 편안한 휴식이 가능
빵도 특색있는 종류로  직접제작하여판매"
태번159,김봉수,4.0,걸어가기는 애매하지만 주차장이 넓어서 접근성이 훌륭합니다. 커피랑 빵도 테크아웃전문점처럼 저렴하지는 않치만 합리적인 가격이라고 생각합니다.
태번159,안순수TV,5.0,주차장도 크고 맜잇네요 ㅎ
태번159,꽃스타,5.0,"주차부지도 넓고 테이블수도 많아서 널찍한게 좋았어요.
근데 커피랑 빵은 대체적으로 맛있다는 느낌보단 그냥 그렇네.. 싶어서 아쉬웠어요.
/…"
태번159,규화이팅,5.0,친절하신 사장님   분위기   모두최고였어요
태번159,이슬,4.0,카페가 넓어서 좋음. 피자도 커피도 맛있음. 가격도 나름 괜찮은 편.
태번159,조원호,4.0,"매곡주민이라면 반드시 가 보아야할 매곡 최고의 핫플레이스
앙버터 크루아상 + 아메리카노의 조합은 단연코 옳다!"
태번159,김두리,1.0,최애 소소한행복 찾는곳. 커피  빵도  수제맥주까지 다 맛있어요. 내가 사는곳에 멋진카페가 있어서 참다행이다~~
태번159,한국인의 Life진아,5.0,"빵도 맛있고 음료 맛도 좋음
좋은사람들과 수다떨기 좋은 분위기 층마다 조금 다른분위기가 괜찮았음 높은 층고로임해 소음도 덜한 기분"
태번159,윤현주,5.0,"빵이 맛있다는 소문에 가봤어요.
가격도 착하고 맛도 좋아요.
너무 달지도 않고.."
태번159,stylek,5.0,"여기는 소금빵 맛집
커피도 맛있어요"
태번159,junghoon lee,4.0,여기.... 감성 카페는 맞음 / 2년 전이나 1년전이나 며칠전이나.... 알바들 참 차가운
태번159,euna kim,5.0,"깔끔하고 사람들이 붐비는곳!
근처엔 체인점 커피숍들이 많은데
여긴 체인인지 모르겠음!"
태번159,WOOZOO KIM,4.0,"괜찮은 카페
주차장이 넓어서 좋았음
맛도 괜찮아요"
태번159,jamyung min,5.0,분위기도 좋고  주차장도넓고  집근처라 자주갈듯해요ㅎ 맥주값이 쫌...사악하긴하지만요ㅋㅋ
태번159,여름햇살,5.0,"커피도 맛있지만, 빵이 맛있고 가격도 저렴해요."
태번159,최정우,3.0,"이종사촌과 함께 들린곳.....음주후 커피가 맛나고 좋다고해서 들렸는데ㅋㅋ 엉뚱한걸 시켜 먹었네요.,.하지만 엉뚱하진 않앗세요. 맛있게 먹었습니다."
태번159,Samuel Go,5.0,"많은 주차공간,루프탑도 있는 넓은 공간, 2층이상부터는 위험하니 노키즈, 루프탑에선 영화도 틀어줌, 많은 인원 가기 편할듯"
태번159,김은정,5.0,커피도 맛있고 치아바타 빵류도 맛있었어요
태번159,닭한마리밥한공기,4.0,"분위기 너무 좋네요
사람이 많으면 쫌 시끄러울수잇는 공간이에요
음료랑 디져트 맛은 그냥 저냥입니다"
태번159,난초,4.0,제가 자주 가는 카페예요.  커피도 맛나고. 빵도 맛있는 카페~~^^
태번159,sunnyday K (sunnyday),4.0,분위기좋아서 자주가요. 주차장넓고 친절하네요
태번159,HAPPY SUNG,4.0,멋진 카페. 커피맛도 좋다. 넓은 공간에 테이블이 적게 배치되서 쾌적하다.
태번159,sehui lee,5.0,빵이 완전 맛있다요~~~ 아메리카노 원두는 산택할수 있어요~~~ 아이스크림라떼도 괜춘괜춘!!
태번159,이병진,5.0,"사장님이 친절한곳
지난번 우산 고마웠네요"
태번159,HI HI,5.0,이 주변 카페 갈 때는 거의 여기가요. 빵도 맛있어요. 2층부터는 노키즈존 카페입니다.
태번159,도경,5.0,음료 종류도 다양하고 와인도 팝니다 되게 맛있더라고요 다시 가고싶네요
태번159,이의정,5.0,넓어서 시원 시원 하고 깔끔한 내부 분위기 좋아요😊👍편리한 주차장 고급스러운 커피맛도 좋구요! 여러가지 빵도 맛있어요 ~~ 다음에는 맥주나 와인도 맛보고 싶어요~~ 직원들 너무 친절하고 할인 혜택도 좋습니다~~ 🤩👍…
태번159,우형석,5.0,가성비 최고의 분위기 커피 빵
태번159,donghyun lee,5.0,3층 야외테이블이있어 날씨가좋은날은 굿!..점심때쯤엔 빵이 나오는시간이던데 점심먹고 차를마시러가서 나올때 빵을 살려고했는데 인기가 좋은지 다나가고없어 구입은 실패..
태번159,홍홍홍,5.0,"녹차쉐이크에 보성녹차를 사용해서 녹차 특유의 맛을 느낄 수 있으며, 전반적으로 커피도 깔끔한 맛을 느낄 수 있습니다. 빵이 특히 맛있으며 가격도 다른 곳에 비해 저렴합니다. 천장이 높은 편이며 카페 크기가 커서 그런지 소리가 좀 울리며 사람들이 많을 때는 소리가 울려서 좀 시끄럽게 느껴질 수도 있습니다.…"
태번159,김세아,5.0,빵너무맛있어요
태번159,최지혜,4.0,"커피체인점 보다 좋음. 카푸치노 거품 잘 침. 단 거품 잘 쳐달라고 미리 이야기하면 신경써서 잘 해줌.
테이크아웃하면 잔당천원할인해줌.등급별할인있고 장애인이나 경찰 소방관 할인있음. 멋짐"
태번159,한나,5.0,"개존맛
앙버터도 맛있음"
태번159,정운호,5.0,커피가 아주고소하고 직접구운 빵들은 종류가많고 엄청맛나요
태번159,쩡234,4.0,"커피도 맛있고 앙버터 맛나요
저 원래 앙버터 느끼해서 별로 안좋아했는데 버터가 맛난지 맛있었어요 빵 가격도 괜찮고 주차 할 곳도 많고 매장도 넓어요~~~ 다른빵도 맛나요"
태번159,윤은미,5.0,커피는 안 먹어봤구요 빵이 정말 맛나요~♡ 종류는 많이 없지만 여기 빵은 다 맛있어서 계속 먹고파요
태번159,임경아,4.0,깨끗한~ 실내 맛있는~ 빵 음료도 맛나고 분위기도 좋아요~~ 저녁에는 와인한잔~동할수있어서 넘~좋아요~^^
태번159,한효준,5.0,"주차장 아주넓고 1층은 가족단위 오기좋고 어린아이들이 마음껏 놀기좋습니다..2층은 연인들이 즐기기 조은공간입니다..그리고 옥상 테라스도
준비되어있습니다..저녁에 차나.맥주 와인하기가 좋을것 같습니다~"
태번159,굿코유튭,5.0,ㄹㅇ 개쩜 근데 음료가 없음
태번159,민정,5.0,카페 겸 펍. 와인 글래스로 즐길 수 있어서 좋다. 공간이 넓고 얘기 소리가 울리지않는 공간이라서 좋다. 재방문 꼭 하고싶음 ㅠ
태번159,강홍희,5.0,"빵도 맛있고
커피도 맛있고
넓은데다 천고도 높아서 시원시원~~"
태번159,수리수리마하수리,3.0,밖에서 볼땐 화려한집인줄 알았는데 살짝 썰렁해서 조금 실망.하지만 공간이 넓어 쾌적한 느낌이고 의자는 편하진 많았습니다.커피는 특별하지도 모자라지도  않았습니다.
태번159,Som Lim,5.0,"맛있어요
브런치가격도괜춘하고"
태번159,きむれい,5.0,"외관부터 들어가보고싶어서 들어가봤는데, 커피맛 생각보다 맛있어서 우와 했어요
왜냐면 후기가 진짜앖았거든요
커피맛있고 빵도 괜찮았어서 다시갈의향있으나 좀 시끄러워요,,"
태번159,이호준,5.0,깨끗하니  조용하고 좋음
태번159,이현정,5.0,샌드위치가 맛있네요~~
태번159,이누리nuri6626,5.0,"나만 알고 싶은 곳
빵너무 맛있고 저렴해서 좋아요 12시부터는 파자와 커피 세트가 6000원"
태번159,주김,5.0,주차장 넓고 브런치도 가능한 곳
태번159,올리비아,3.0,넓어서 좋네요.같이 가신분이 커피싫다고 숙면차마셧는데 그냥 티백하나 넣어줘서 황당했어요.
태번159,이경빈,3.0,몽블랑 커피는 생각보다 맛없음ㅜㅜ
태번159,김자몽,3.0,흑흑 ㅠ ㅠ 안에 씨 좀 빼고 만들어주지... 먹다 씨 뱉고 먹다 씨 뱉고ㅠ 씨 너무 써요... 이 쓴맛이 와인에 다 우러남...
태번159,최순호,5.0,저렴하고 좋아요
태번159,최두순,5.0,"매우 친절한 직원분들과 맛있고 다양한 빵, 훌륭한 커피, 멋진 인테리어^^"
태번159,Ji Ae Yang,4.0,저녁이 분위기가 더 좋아요. 아이들과가는건 비추. 어른들의공간. 그러나 단점은 소리가 많이 울려요.
태번159,우영미,5.0,"넒어서 좋아요^^
하몽 과 치즈등 다양한 맥주안주까지 맛난 카페"
태번159,최성은,5.0,"루프탑👍
임산부라 지금은 커피, 와인, 맥주 다 먹을수 없지만....
벨지안초코탑 86%다크 강추!…"
태번159,dufao park,5.0,베이커리류가 생각보다 저렴하고 수제맥주 파는곳 괜츈
태번159,김달별,4.0,"주차장넓고, 깨끗하고 빵도맛있고 친절하고 좋아요"
태번159,김나현,5.0,빵과 커피가 너무너무 맛있는집♡♡
태번159,박병숙,5.0,분위기깔끔~직원친절~빵이 맛있었습니다
태번159,kim미,5.0,너무조아요 커피 빵 다 맛있어요
태번159,ddongja,5.0,아이스아메리카노와 아몬드크루아상의 조합이 좋네요~
태번159,차명관,2.0,주차장 넓어서 좋은데...유료....커피숍에 주차장은 끼고있어야지 무슨 유료야ㅡㅡ
