place_id,user_id,score,comment
태화강 숯불장어구이,Lee Victo,5.0,"맛있게 잘먹고왔어요.
밑반찬도 다 맛있고 다양하게 나오구요.
초벌도안된 생 장어로 나오는데…"
태화강 숯불장어구이,김가영,4.0,"장어가 비린내가 전혀없고 살이 야들야들 느끼한게 없음.예약안하고가서 40분기다렸는데 예약해야하는 맛집임. 서비스로 음료수도 많이 주심.
사람이 꽉차서 시끄러워서 정신없고 밥양이 넘 작은거빼고 장어는 엄지척"
태화강 숯불장어구이,안녕여름아,4.0,"양이많이작습니다. 둘이서넉넉히먹으려면 소자 두개는먹어줘야해요~ 저는 대1, 소1 질리게먹고왔네요~ 절임생강도 있었더라면 좋았을것같아요^^ 맛있었어요"
태화강 숯불장어구이,김현수,3.0,"주말 일요일 가족과 같이 태화강 강변에 있는 태화강장어숯불구이에서
대자로 두번이나 맛있게 잘 먹었네요. 날씨도 좋고 바로앞에는 십리대나
무숲도 있었어 주변 산책도 안성 맞추이네요.
한번쯤 들릴만한 곳이네요."
태화강 숯불장어구이,나마스테,5.0,"넓은 주차장,단체룸에서 회식까지
보신과 맛을 추구하는 경제적여유 있는사람및 주머니 사정 안좋은 사람도 한 끼식사로 먹기 좋은곳 밑반찬도 맛집."
태화강 숯불장어구이,이석희,4.0,맛이 좋았습니다.( 바다장어( 자연산))
태화강 숯불장어구이,Sang Kim,4.0,"담백한 맛이 괜찮았어요
소스가 매운맛 과 간장 으로 된 두 종류 를 주네요
본인의 식성에 따라 드시면 좋을듯~"
태화강 숯불장어구이,이상범,5.0,"장어가 신선하고 맛나요
밑반찬도 깔끔하게 잘나와요
특히 배추채무침은 너무 맛있어서 항상 세네번씩 추가 시켜먹어요^^"
태화강 숯불장어구이,이상우,5.0,"놀거리 막거리 다양하고요 텐트치거나 탈거리
많네요  뭐니뭐니해도 풍경이 최고죠"
태화강 숯불장어구이,박원근,4.0,"깔끔. 맛도 있고. 가격이 비싼만큼 음식 낼줄 아는 식당.  일반 우리는 따라 하기 어려운  수준
좋아요. 귀한분. 부모님. 특별한날 한번쯤 가볼만한 곳"
태화강 숯불장어구이,신의손,4.0,여름철엔 장어가 보양하기엔 딱입니다!
태화강 숯불장어구이,김동현,4.0,"친절하고 맛도좋아요
하지만 가격이 자꾸 많이 오르네요
그래서 별한개 뺐어요…"
태화강 숯불장어구이,Hwang Jin Cheol,5.0,"맛있는 장어, 맛집 맞네요"
태화강 숯불장어구이,Gilho Choi,5.0,맛있는 바다장어 구이집입니다..친절은 기본이고..가격도 reasonable 합니다...쓸개주 드시고 마지막에 서비스로 나오는 내장구이도 맛있어요..낮에 오시면 바로 앞에 울산 명물 십리대밭과 태화강 국가정원이 있어요..장어 드신 후에는 옆에 이디야에서 커피 한 잔 ~/♥♥
태화강 숯불장어구이,문승현,1.0,장어 자체의 가격은 비싸다. 중에 60000원 가격. 초벌 구이가 해오지 않고 구워 먹어야 하기 때문에 타면서 잘 익지 않는다. 맛은 그저 그러며 소스 맛 또한 그저 그런 편 가격을 생각하면 먹을 만하지 않다. 친절 매우 불친절.
태화강 숯불장어구이,김찬우,3.0,맛은있지만 너무 비싸다
태화강 숯불장어구이,이맹꽁,4.0,장어 매운탕 맛잇어용  근데 산초가루에 왜  스푼이 따로없나용 ㅜㅜㅜ잇엇으면 편할거같아용
태화강 숯불장어구이,늙어가는아재,5.0,맛나고 친절하고 넓은 공간 맘에드네요.
태화강 숯불장어구이,몽슈킴,3.0,"좀 줄친절해도 음식이 좋으니까..
.."
태화강 숯불장어구이,암아이디,3.0,장어는 비교적 통통합니다. 추어탕은 먹지마세요. 긴말 필요없습니다. 된장찌겐 좋습니다. 근데 장어 두마리에 7만은 적정가격??? 각자 판단하시길
태화강 숯불장어구이,김영미,5.0,"정기란딩 모임후 갔네요
숯불에 지글지근 맛나고
빨간 양념장 넘 맛있었네요^^"
태화강 숯불장어구이,김희윤,4.0,"대체로 깔끔하네요!
장어 손질이 조금 아쉽네요!"
태화강 숯불장어구이,김미경,3.0,아주 통통하게 살이 많은 장어라 한마리만 먹어도 든든해집니다. 가격이 고가라 자주갈수있는곳은 아니지만 가격만큼 고기의 질이 좋은곳입니다.
태화강 숯불장어구이,jang haeryong,4.0,장어구이는 다른집과 비슷해 저렴하진 않고 비슷하지만 장어탕은 아주 좋습니다. 장어탕은 한번 드셔보세요. 메기매운탕 같은 느낌이 납니다
