place_id,user_id,score,comment
태화강순두부,Young Ju Lee,4.0,"순두부 맵거나 짜지 않고 맛있었어요. 수육은 부드럽고 양도 많은데, 개인적으로 약~간 2% 부족한 듯한 맛. 곁들여 나오는 두부는 정말 엄청 고소하고 맛났어요!"
태화강순두부,이재성,4.0,"두부 맛있어요 찌개도 맛있고 수육도 좋아요
주차장은 따로 없구요 주말이라 2바퀴돌아서 주차햇네요ㅜ"
태화강순두부,최아트,5.0,"여기 어르신들 많이 오심
확실히 밑반찬부터 다 맛있음
해물순두부맛있음"
태화강순두부,jongmun Ryu,4.0,"청국장순두부 매우 맛있습니다.
해물순두부도 땡기더라고요.
맛집인정"
태화강순두부,YN Kim,5.0,직접 만든 두부로 끓인 순두부찌개와 밑반찬 모두 만족스러웠던곳
태화강순두부,DC K,5.0,"기본 이상 하는 순두부찌개
두부김치 존마탱 두부가 특히 꼬소허이 미쳤음"
태화강순두부,황유철,5.0,"최근에 다녀본 식당중 최고 맛집입니다.
가격대비 가성비도 좋아요."
태화강순두부,백미현,4.0,"순두부찌개랑 보쌈 먹었는데 맛있었어요.
단지 주차가 힘들다는게 흠이네요."
태화강순두부,윤여일,3.0,"맛은 나쁘지 않음. 반찬도 직접 만드는 거라 했는데 직접 만들기때문애 높은 레벨은 아님.
가격도 생각보다는 천원정도 더 비싼 느낌.
종합적으로 순두부가 끌리면 큰 기대 없이 한번쯤음 괜찮음"
태화강순두부,조영재,4.0,점심시간 살짝 지났는데 대기 20분정도하고 들어갔음.음식이 전체적으로  깔끔하고 괜찮았음.  밑반찬도 깔끔 점심시간이 지나서인지 반찬추가가 안되는게 있었어요
태화강순두부,Hyoli Cheon,5.0,"담백한맛의 순두부찌개에 두부보쌈~너무맛있어요~
파전에 막걸리 한잔~캬아~"
태화강순두부,채창렬,5.0,"수육보쌈과 해물순두부를 먹었는데.
수육은 냄새도 없고 쫄깃하였습니다. 순두부는
해물만 계란을 주어 풀어서 밥을 말아먹었는데…"
태화강순두부,Juhyeon Park,3.0,"수육이 맛있다곤 하는데, 저녁시간에 갔음에도 40분 후 나온다고 하셔서 순두부만 먹고 왔습니다. 저에게는 평범한 순두부 같아요! 동네 분들이 많이 찾아오는거로 봐서 수육이나 다른건 맛있을거라고 생각합니다."
태화강순두부,동섭,4.0,"영양가가높은 맛있는 두부요리파는곳
해물순두부찌개가맛있습니다
반찬들도다 직접하시는지 집밥느낌이나요…"
태화강순두부,백진영,4.0,"가격도 괜찮고
맛도 좋음
친절하고
태화강 음식거리에 갈 만한 곳"
태화강순두부,이미영,5.0,"너무 맛있었어요.
꼭 들려서 맛 보세요.
대기는 있지만 후회 없으실꺼예요."
태화강순두부,배아현,3.0,맛집으로 유명해서 갔는데 맛은 그냥 깔끔한 맛이였어용
태화강순두부,구영탄 (Alchemist),4.0,순두부 맛 좋고. 사장님 친절하고 밑반찬 굿입니다
태화강순두부,정집사,5.0,무난이상의 맛에 반찬도 여러개나오고 아주머니도 친절하시네요
