place_id,user_id,score,comment
파센토,Juhyeon Park,4.0,태화강 근처 점심 한끼로 좋은 식당입니다~ 가지튀김은 굳이 시키지 않아도 될 것 같아요. 카레만으로도 양이 충분해서 2명가서도 가지튀김말고 본 메뉴만 시켜 먹는게 나은 것 같아요! 종업원분들도 친절하고 인테리어도 좋아서 재방문 의사 있습니다!
파센토,YONGUK SHIN,5.0,"스프카레가 메인인 음식점
생각보다 많이 묽음 작년보다 더 묽어졌다는 지인의 평가
음식을 처음 받으면 가격에 비해 양이 적다고 느껴지나 다 먹으면 꽤나 적당한 느낌…"
파센토,김진훈,5.0,"스프카레라는 다소 특이한 카레맛집입니다
추천합니다"
파센토,아쿠아비테(AquaVitae),5.0,"한번씩 생각나는 매력적인 곳!
울산에 유일무이한 곳 스프카레 너무 매력적임"
파센토,송광찬,5.0,"줄을 서서 먹어야 하는 장소~!
상당히 맛이 좋음
울산 살면 한번 들릴만함 ㅎ"
파센토,비비빅,5.0,"담백한 카레, 깨끗한 주방,친절한 직원,대충찍어도 잘나오는 사진
(김치가 조금 필요함..ㅎㅎ)"
파센토,Gil Sun Kim,5.0,울산에서 작은일본 경험
파센토,won J,5.0,사장님 친절하시고 잊을수없는 수프커리맛 ㅋ
파센토,Yenny Kim,3.0,국물 카레라서 신기하기도 했고 얼큰한 맛도 있어서 종종 갔지만... 이번에는 카레에서 꿈꿈한 냄새가 나서 다 먹지 못하고 나왔어요. 그리고... 주방 청결도 신경쓰셔야할것같아요ㅠㅠ 기름 찌든때가 너무 심해요
파센토,N ・Y,5.0,"너무 맛있었어요
일본 유학시절 자주 먹었던 그 맛과 똑같아요"
파센토,H S,4.0,스프카레 맛있어요.
파센토,Jaehwan Lee,5.0,진짜 가지튀김 너무 맥주랑 찰떡임.
파센토,jun-yeop park,5.0,"Coconut chicken curry and chicken curry were delicious! Their soup tasted nice. It's first time to try the curry of Hukaido area.
Meat was soft and the vegetable tasted also nice! We thought the rice was not…"
파센토,686 Paul,5.0,먹어본 카레중 최고!
파센토,Ark SH,5.0,스프카레 2번째인데 맛있네요. 닭 통다리에서 조금은? 닭냄새 비슷한게 난것같기도 한데 카레랑 야채등이 맛있었고. 닭도 육질이 부드러웠어요.
파센토,J B,5.0,카레 맛있어요 양도 엄청 많아서 항상 조금씩 남는 거 같아요 가지튀김 진짜 맛있어요!!
파센토,김시윤,5.0,"울산 맛집.
보드랍고, 촉촉하고,
겉은 바삭하고,…"
파센토,울산바다,1.0,"ㅋㅋㅋ  카레스프를 만원주고 먹었어요.
딱 한번 호기심에 갈집...ㅠㅠ"
파센토,STEVEN KIM,2.0,묽은 스타일의 카레 전문점이다. 가성비는 그닥...
파센토,마치영,5.0,종업원이 매우 친절하고 음식의 맛도 훌륭합니다.
파센토,또잉,5.0,재료가 신선하구 맛있어요.
파센토,HyeRa Lee,5.0,일본식 스프커리를 먹을 수 있는곳
파센토,스스,3.0,그냥 심심함. 자극적인 음식에 길들여져서 내입에 안맞음
파센토,손영준,3.0,울산에선 흔치 않은 식당
파센토,하하맨,5.0,맛있어요
파센토,신준경,5.0,맛집입니다.
파센토,Caidoz,5.0,It's so delicious and high quality.
파센토,Wonsok Kim,5.0,
파센토,박진아,4.0,
파센토,이준철,5.0,
파센토,이두호 (구름과바다사이),5.0,
파센토,[세상 친절한]변호사 김혁빈TV,3.0,
파센토,Kim Miso,5.0,
파센토,Oochurl Jeong,4.0,"A curry-flavored soup introduced from the northern part of Japan.
Appetizers were impressive while main dishes were reasonable."
파센토,김부신,4.0,
파센토,유주원,5.0,
파센토,MING SEO,2.0,
파센토,리저워,3.0,
파센토,J살롬 (푸른하늘),2.0,
파센토,jiyoung kim,5.0,
파센토,에디,5.0,
파센토,혜용,5.0,분위기와 음식이맛있읍니다
파센토,러충,4.0,유자 바질 토마토는 괜찮은 에피타이저
파센토,"~,~",4.0,스프카레의 매력을 모르는 사람이라면 당연히 힘든 맛일 것 같아요. 가격에 비해 호불호가 너무 정확한 음식? 그런데 스프카레 자체로는 정말 맛있습니다. 채소 튀김 정도와 치킨들어간 메뉴는 말할것없이 맛있었어요 ㅎㅎ!
파센토,킹굴개따,3.0,맛이나 구성은 괜찮아요1점 후기가 많아 걱정했는데 그 이상이었어요! 개인적으로 가지 튀김이 맛있었어요. 테이블이 끈적거리는 후기는 사실인 것 같아요ㅠ… 그리고 삶은 닭이 엄청 붉게 나와서 덜 익은건가..? 싶기도 …부산에서 스프카레로 유명한 곳을 가봤었는데 파센토는 조금 싱거운 느낌? 맵기는 1단계/2단계 둘 다 해서 먹었는데 3단계 해도 괜찮을 것 같았어요.
파센토,대구 촌놈,2.0,이걸 스프카레라고..
파센토,메론맘,1.0,음식나오기까지 대략 30분. 나온 음식맛도 별로. 가격도 별로.. 일단 주방에 덕트가없어서 온데 유증기가 앉아 자리가 끈덕짐일본식가지튀김생각했는데 튀김옷도 안바삭.. 기름색도 어둡고 씹으면 기름이 주르륵 절어있음북해도식 카레를 안먹어봤지만.. 진짜 이럴까? ㅠㅜ 닭튀김도 튀김옷이 옛날분식집 서타일도 아니고 좀 눅눅하고 안빠삭함..수저도 설거지 상태 별로에요.
파센토,맛집찾는 두더지,2.0,맛은 괜찮은 편이지만 가격을 생각하면 그럭저럭이다.가라아게에서 잡내가 나지 않은 건 좋았다.테이블은 제대로 닦지 않아 끈적거리는 이물질이 옷에 묻어나왔다. 그리고 벽에는 카레가 튄 흔적들이 그대로 남아있었다. 화장실은 식당 밖에 있는데 좁고 거미줄 사방에 쳐져있었다.
파센토,정 승우,5.0,약간매운맛 치킨카레 맛있네요.
파센토,우s,3.0,북해도사람들은 참 안됐다
파센토,찐,5.0,직원분 사장님 엄청 친절하시고 음식도 맛있었습니다 여행와서 기분좋은식사하구갑니다
파센토,김씨,5.0,맛있어요 >♡<
파센토,박홍택,5.0,태화강 피크닉갔다가 인테리어에 끌려서 들어갔는데 기대 이상ㅋㅋㅋ처음 먹어본 카레 스타일? 이었음 맛도 비주얼도 맘에듬~~
파센토,정연삼,5.0,카레로 이렇게 맛있게 먹어본건 첨임ㅋㅋㅋ 가지튀김 진짜 개맛있어여
파센토,포동포동,4.0,별점 1점은 아니다 솔직히.. 오픈주방 건물이 오래되고 내부디자인이 심플해서 그렇지 더럽지는 않음 조명어두움 가라아케 가지튀김 코코넛카레 먹음 다 맛있음 국물카레 가격도 나쁘지않음
파센토,브안짝,1.0,"1. 코스트코맛 - Gold큐빅카레에 기름진맛2. 튀겼음에도 보이는 저급의 채소 신선도_노랗게 뜬 브로컬리3. 열악한 위생환경_지저분한 주방, 새까맣게된 기름, 떡진 컵/물주전자, 더러운 수저 등등4. 먹고난 후 한동안 설사와 복통을 동반한 위장장애"
