place_id,user_id,score,comment
파파앤썬 by랑콩뜨레,YeongIn Kwon,4.0,집 근처에 과자점이 문을 닫아서 파파앤선을 방문했습니다. 맛있어 보이는 빵도 많고 사람도 많았습니다. 까눌레를 사러 간거였는데 까눌레는 맛있다는 생각이 들지는 않았습니다. 겉은 질기다는 표현이 맞는것 같고 속은 너무 질었습니다.  포장도 일반 비닐에 넣어줘서 위에 크림 부분도 흘러내렸습니다.
파파앤썬 by랑콩뜨레,SK Lee,5.0,"디저트샵에서 파는것 만큼 예쁘고 더 맛있어요.
가까이에 이런 빵집이 있다니 넘넘 좋아요!"
파파앤썬 by랑콩뜨레,이진숙,5.0,빵도  커피도   좋으네요
파파앤썬 by랑콩뜨레,피터팬피터팬,3.0,종류많고 소금빵 맛있어요
파파앤썬 by랑콩뜨레,최은정,5.0,빵이 다양하고 맛있어요.   화장실 개별 칸이 좁아서 변기 사용하기 많이 불편합니다.
파파앤썬 by랑콩뜨레,신주강,5.0,송정지구에 있고 명장들이 빵을 만드는데 가격이 저령했습니다. 커피도 맛있어요.
파파앤썬 by랑콩뜨레,donghyun lee,4.0,"종류도 다양하며 맛있어요.
양파크림치즈베이글이 취향저격."
파파앤썬 by랑콩뜨레,Meyoung Lee,5.0,"빵 맛 있고, 커피컵이 넘 취향입니다.  부농부농 예뻐요"
파파앤썬 by랑콩뜨레,이주애,5.0,빵이 맛있어요~
파파앤썬 by랑콩뜨레,yh j,4.0,보장된 빵맛인건 다들 알고 계시죠? 랑콩뜨레 빵 맛있습니다. 커피도 그럭저럭 괜찮았어요.
파파앤썬 by랑콩뜨레,Romi Chung,5.0,깔끔하고 사랑이 피어나는 느낌이 ...👻🌰🐿…
파파앤썬 by랑콩뜨레,토지,5.0,"울산에서 최고인집.
뭔가 특별하게 글루텐도 안느껴지는 빵집.암튼 최고"
파파앤썬 by랑콩뜨레,아엠죤,4.0,빵을 샀는데 저번에 갔을땐 엄청 다들 친절했는데 이번엔 친절이 좀 덜해진느낌.. 이라 아쉬웠어요 하지만 빵맛은 여전히👍…
파파앤썬 by랑콩뜨레,Sun Hee Kim,5.0,딸기케잌이 너무너무 고급입니다
파파앤썬 by랑콩뜨레,윤예준,5.0,"사람들이 항상 많은데, 빵이 정말 맛있고~ 인테리어도 매우 아름답게 잘 되어있어 커피한잔 즐기기 너무 좋아요!"
파파앤썬 by랑콩뜨레,하진석,5.0,빵 맛있어요
파파앤썬 by랑콩뜨레,천사금렵구,4.0,"가격이 사악해요
빵이 이뻐서 막..사고싶은ㅋ"
파파앤썬 by랑콩뜨레,호옹이,4.0,"빵은 종류가 많고 맛있습니다.
음료또한 합리적인 가격에 좋은 퀄리티지만
2층의 자리들이 조금 불편합니다."
파파앤썬 by랑콩뜨레,이현미,5.0,몽블랑 소금빵 맛있어요 치즈호떡은 제입엔 별로였음
파파앤썬 by랑콩뜨레,김윤미,5.0,빵도 맛있고 2층 카페 분위기도 좋았습니다
파파앤썬 by랑콩뜨레,신촌야생마,5.0,빵순이 빵돌이들은 꼭 다녀가도록 해
