place_id,user_id,score,comment
폼폰루지,youl kyeong Lee,5.0,"찹스테이크, 매콤새우파스타, 마늘빵 조합이 아주 좋네요 두명이서 먹으면 충분합니다!
찹스테이크는 된장베이스 소스랑 짭조름하여 돼지고기랑 잘 어울려요. 마늘빵은 직접 오븐에서 구워나와 시간이 걸리지만 가성비 최고 맛 최고에요"
폼폰루지,이동영,4.0,"예상외의 맛으로 놀래키는 양식집입니다. 확실히 다른 파스타 집들에 비해 차별성을 가지고 있는 구성과 맛, 극한의 한국식 파스타입니다. 그래서 그런가 최근 먹어본 파스타 중에서 양도 가장 많았네요."
폼폰루지,아쿠아비테(AquaVitae),3.0,주차가 정말 불편함 1층 다른가게 근처에 차 댈 생각도 없었는데 나와서 머라 하길래 욕나오는거 참았엇음  주말 낮에 방문했는데 시끄러워서 너무 정신이 없었음..ㅡㅡ 음식은 대체적으로 맛있었는데 시간대가 그래서 그런지 음식이 드문드문 나와서 한개 다 먹어갈 쯤 다른 음식 나오고 계속 반복되서 그런 부분이 좀 불편했음
폼폰루지,김돌하르방,4.0,"양도 많고, 합리적인 가격의 파스타집입니다. 리코타치즈 샐러드는 치즈도 신선하고 견과류와 드레싱, 채소의 조화가 좋았습니다. 다만, 파스타는 조금 간이 센 편이었고 오일의 양이 조금 부족했던 점이 아쉬웠습니다. 전반적으로 괜찮은 식사였습니다."
폼폰루지,Kyoung Hun LEE,5.0,"따뜻하고 아늑한 분위기가 맘에들었어요
조카랑 어머니랑 같이 방문했는데 아기의자도있고 아이용 식판 포크 스푼 컵 따로 준비 해 주어서 좋더라구요
차돌박이명이파스타는 간장맛의 짭쪼름하고 달짝한 면에 차돌 명이 파 함께 호로록 하니 정말 맛있었어요…"
폼폰루지,블랑베리,5.0,"서빙하시는 분도 진짜 매너 좋으시구 음식도 여전히 맛있어요 ㅎㅎ 찹스테이크 예전에 조금 매콤했는데 왜 안 매콤한지 의문 ㅠㅠ물어볼까 하다가 안 물어보긴했는데 개인적으론 저 소스가 조금 매콤한게 맛있더라구요
아 그리고 차돌박이도 잘라서 나왔음 좋았을것 같아요! 간도 딱 적당해서 맛있게 먹었습니다 ㅎㅎ"
폼폰루지,jiwoo kim,5.0,여긴 진짜 맛집인것같아요 너무 맛있었어요 분위기도 좋았고 커플들이 많았어요
폼폰루지,JY Kim,5.0,위치가 의외의 곳에 있는데 CGV 있는 업스퀘어랑 가까워서 좋았어요. 맛은 정말 맛있고 가격은 조금 나가는 편입니다. 대신에 파스타 치고는 양이 좀 되는 것 같아요. 내부 분위기는 그럭저럭 입니다. 그래도 데이트 하기에는 좋은듯
폼폰루지,당무늘보,5.0,꽈리명란로제파스타랑 명이차돌박이파스타 먹었는데 정말 맛있었어요!!! 오랜만에 와이프랑 데이트하면서 먹으러 갔는데 아주 맛있게 잘 먹었습니다. 파스타 생각날 때 또 와야겠어요^^
폼폰루지,Yenny Kim,5.0,포크스테이크(?)는 비쥬얼과 다르게 별로였어요ㅠ 데리야끼 소스랑 뭔가 안어울리는 맛이었고 마늘쫑관자오일파스타랑 리조또는 진짜 너무 맛있었어요.
