place_id,user_id,score,comment
퐁당퐁당 본점,제한된 프로필입니다.,1.0,부산에 있는 더맛있는곳들도 8쳔원 9천원하는데 여긴 만원임서빙하는 아줌마는 손님이 들어와도 자리 안내해달라 하니 기다리라고함얼마나 기다려야하는지 물으니 대답안하고 개무시;;부산 음싣점들은 얼마기다려야하냐 물으면 15분이면 15분 몇팀남았으면 몇팀 말을 해주는데 기본이 안돼잇음심지어 한 아줌마는 어디 자리 앉아라 하고 다른 아줌마는 기다리라고 함혼란의 도가니속에서 겨우 앉고 나니 서빙할때 뭐 치워달라 뭐해달라 하면서 되게 눈치줌아니 컵은 서빙하는 사람이 알아서 치우고 자리 만들어주고 서빙하는거아님? 내가 돈받고 서빙하나? 지가돈받고 서빙하지 ㅋ 내가 왜 지말듣고 옮겨야하는지의문;;샤브 나왔는데 모든 메뉴 내가 직접 다 요리해야함다른집은 8천원 받고도 자기들이 볶음밥 해주고 칼국수 언제 넣으면된다고 말해주는데..맛도 그냥 다른데 비해 특별한거없고 평범한데 뭐 믿고 이러는지 모르겠음가격은 오히려 비싼편이고..거기다 볶음밥 안에 아줌마 머리카락인 파마머리 들어가있음 ㅡㅡ;;;학생이라 만만한가? 뜨내기 손님이라 아무것도 모를거같음?장난치나지인 데리고 갔다가 쪽팔려죽는줄진짜 이렇게 긴 리뷰 나도 남기기 싫은데 생각할수록 화나서 씀 ♪♩♬
퐁당퐁당 본점,🎀,5.0,여기 칼국수 찐 존맛탱이에요! 계속 생각나서 이번 여행 갈 때 포장해갔어요! 고기먹으면서 뜨끈하게 먹으니 콜라보 장난아님! 남편이랑 저랑 음식에 꽤 까다로운 편인데 최곱니다 다들 꼭 먹어보세요!
퐁당퐁당 본점,1,5.0,얼큰버섯샤브도 맛있는데 신메뉴도 맛있어요! 먹어본 칼국수중 가장 쫄깃쫄깃해요!
퐁당퐁당 본점,오명재,5.0,굿
퐁당퐁당 본점,박세은,5.0,먹고나면 건강해지는 느낌 아실까요?? 칼국수에 죽까지 메뉴도 알차고 너무 맛있어서 칼국수집은 여기만가요!
퐁당퐁당 본점,최가네,5.0,"식육점운영합니다.여기 제가 잘아는데 이가게 호주산 청정우최상급 불고기만 씁니다.경상도 울산 맛집은 어디?!  ""퐁당퐁당""샤브샤브 칼국수라면 역시! ""퐁당퐁당"""
퐁당퐁당 본점,황성호,5.0,샤브가 너무 맛있고 입에서 녹아부려여! 그리고 너무 친절하셔서 울산 올때마다 갈려구요!!!!
퐁당퐁당 본점,권욱,5.0,사장님 친절하시고 음식이 정갈하니 맛있습니다.
퐁당퐁당 본점,이오,5.0,맛 가성비 최고 크으
퐁당퐁당 본점,김중규,5.0,한달에 한번은 꼭 갑니다. 사장님 친절하시고 샤브샤브도 맛있어요!
퐁당퐁당 본점,송현일,5.0,사장님 엄청 친절하세요. 맛도 존맛탱먹는데 건강해지는 느낌입니다
퐁당퐁당 본점,.,5.0,시원하구 맛있어요칼국수랑 옹심이 만두 쫄깃하니 맛있네요
퐁당퐁당 본점,브안짝,3.0,"19년 11월 대체로 밍밍해지고 대기시스템이 비효율적임, 이제 재방문은 안할생각 포기함19년 2월-어머니인지 이모한분오시면서 서비스질이 올라갔으며 가성비가 우수함18년 5월-정리가 안되는 느낌. 음식은 그럭저럭 산초가루와 싼맛에 먹을만하나 한참 바쁜 봄여름 시즌, 대기자 리스트 작성 안해도 된다해놓고 당당히 기다리던 손님 뜅겨버리며 대놓고 욕하는 인성없는 집"
퐁당퐁당 본점,먹방요죵,2.0,
