place_id,user_id,score,comment
하몬,먕,4.0,흑임자 슈페너 정말 맛있게 먹었어요! 근데 쏘쏘인 메뉴도 있구요
하몬,소수연,5.0,울산 대왕암공원 갔다가 맛있는 커피 마시려 검색해서 찾아간 곳입니다. 흑임자커피 추천하고 레몬파운드 케잌도 진하니 맛나요. 그리고 엄청 친절하세요~
하몬,_,5.0,친절하세요.. 아메리카노도 맛있고 ! 창으로 들어오는 햇살이 넘 좋았어요
하몬,냠,5.0,일하시는분이 넘넘 친절하셔서 기분이 좋았어요ㅎㅎ스콘은 고소하고 레몬파운드케이크가 진짜진짜 맛있어요
하몬,그린도매,5.0,저희 실수로 주문을 잘 못 했는데도 불구하고 새로 다시 내 주셨어요 마음씨 너무 이뿐거 아닙니까!? 그날 하루죙일 갬동의 물결이 잔잔하게 흘렀답니다 커피 맛있는거는 뭐 말해모해요 백번 마시세요 ~~ 정말 맛있어요
하몬,박규태,5.0,직원분이 친절하셔서 좋았습니다^^커피도 맛있고 무엇보다 카페가 깔끔하고 이뻐용~
하몬,혜진,5.0,직원분들도 너무 친절하고 주차장도 넓어요 ! 음료맛은 항상 맛있네요 자주 이용하고 있어요 ^^ 번창하세요 ~
하몬,광이리,5.0,카페 분위기도 정말 좋고 백향과에이드 너무 맛있었습니다
하몬,ㅈㅇㅅ,5.0,외관도 이쁘고 음료도 맛있었어요
하몬,ㅎㅈ,1.0,카페 외관이 좋아서 들어갔는데.. 커피맛이 없었습니다
하몬,G,2.0,그냥 그런맛
하몬,마르스,2.0,분위기만 본다면 괜찮은편맛을 본다면.............................
하몬,먹방요죵,4.0,백향과에이드 맛있네요
하몬,유총총이,3.0,라떼 매니아로서 라떼 괜찮은편
