place_id,user_id,score,comment
함양지리산흑돼지,김기환,1.0,"고기맛은 중간
불친절의 끝 두번다시 안갑니다.
벨누르면 보고 쌩합니다.…"
함양지리산흑돼지,김운형,4.0,가족과 함께 방문 휴일인데도 사장님의 배려로 일찌감치 오픈해서 조용히 잘 먹고 왔읍니다.
함양지리산흑돼지,설탕무,3.0,기름진 맛을 잡기에 구성이 부족한 집. 갈비를 수육하면 기름지고 결에 따라 부드럽게 입에서 씹힌다. 삼겹살을 수육한 것과 큰 차이가 식감에 있다. 입에서 맛을 느낄 수 있는 시간이 얼마나 되는가. 갈비수육에는 그게 부족해서 더 느끼하고 쉽게 물린다. 마찬가지로 액젓을 소스로 내놓으면 입에서 결국 짠 맛만 맴돈다. 재료 본연의 맛은 훌륭하나 이걸 채워줄만한 부가적인게 부족한 곳이다. 된장국수는 면의 물기를 빼고 건조가 안되 맛은 옅고 면에 육수 맛이 들지 못했다. 다른 비빔국수는 먹기 좀 불편했고 비빔냉면은 매운 편
함양지리산흑돼지,jihyeon kim,5.0,고기가 너무 부드러워요! 이런 수육은 또 처음이라 눈이 번쩍 뜨이더라구요! 신선한 고기를 쓰시는거 같았어요! 같이 주시는 부추를 얹어서 젓갈에 찍어 먹으니 환상조합입니다 ! 부모님 모시고 다시 꼭 방문 하려구요! 사장님 번창하세요!
함양지리산흑돼지,조갑래,1.0,직원들 넘넘 불친철...벨 한번은 기본...서너번은 눌러야 직원옴.. .그마저도 뚱하니..내돈내고 머하는 짓인지...직원들 기본매너 완전 똥..
함양지리산흑돼지,치킨은맛잇어,5.0,맛잇어요 리필은 배부름상태보고 양조절해야됨 많이 주심
함양지리산흑돼지,Jinho Kim,4.0,"고기가 두툼하며 육질이 좋고 밑반찬도 정갈하고 깔끔하게 맛있습니다.
수육은 미리 주문을 해야해서 맛을 못봤지만 소문으로 맛있다고 합니다.
된장국수는 약간 퍼질때 먹어야 간이 베어 맛있어요 급하게 드시면 생면먹고 된장국 드시는 느낌..."
함양지리산흑돼지,서재철,5.0,"수육 추천. 1인 기준 고기값 계산하고 마음껏 먹을 수 있음
테이블 공간도 별도 분리 칸막이 있으"
함양지리산흑돼지,west side,4.0,갈비수육 1인 18000원 무한리필
함양지리산흑돼지,HY,3.0,"고기는 부드럽고 괜찮음.
하지만 금방 물리는 느낌. 보쌈김치나 보쌈무가 있었다면 훨씬 좋겠다는 생각이 든다.
가격이 싼 느낌은 아님."
함양지리산흑돼지,진종문,5.0,맛좋고 깨끗하고 참좋네요
함양지리산흑돼지,식도락(울산 식도락),3.0,그럭저럭 한번은 가볼만함.
함양지리산흑돼지,Sensitive Thug,5.0,친절하시고 음식도 맛있고 일찍마치는게 아쉬울정도
함양지리산흑돼지,주승환,4.0,갈비수육은 처음이라 맛이 재미있고 또 먹고 싶다
함양지리산흑돼지,허성철,5.0,"가게가 깨끗하고 돼지수육을 먹는데 부드럽고
살살 녹습니다. 수육 강추! 꼭 가보세요"
함양지리산흑돼지,S빵구쟁이,4.0,식당 깨끗하고 수육 리필가능!
함양지리산흑돼지,Tae H Um,5.0,군더더기없는 맛입니다 깔끔하고 개인공간 확보된 이곳 추천드립니다
함양지리산흑돼지,몽슈킴,4.0,"19,000원 갈비수육 무한리필 괜찮아요."
함양지리산흑돼지,김병곤,4.0,맛있지만 생각만큼 많이 못 먹는게 약점
함양지리산흑돼지,Wh Park,5.0,낮에 미리 주문해 놓으면 수육이 무한리필
함양지리산흑돼지,Hyun Jun Jang,5.0,"완전 맛남!!!
예약필수!!!
꼭먹어욧!!!"
함양지리산흑돼지,최성훈,5.0,수육 맛좋음
함양지리산흑돼지,Z Park,5.0,굉장히 맛있어요 술이 쑥쑥 들어갑니다
함양지리산흑돼지,Nahm-Hyun Hur,4.0,호불호가 있을 듯
함양지리산흑돼지,전근호,2.0,예전같이 않고 굉장히 비싸  가성비 최하입니다. 서비스 아주불쾌합니다.
함양지리산흑돼지,이상호,5.0,고기도 맛있고 주인 인심도 좋은 맛집이다
함양지리산흑돼지,주태김,5.0,아주 무조건 만족합니다 ~~~
함양지리산흑돼지,LEA K,5.0,돼지 갈비 수육 대박입니다.
함양지리산흑돼지,Rick Lee,4.0,맛있으나 장소 찾기가 힘들수 있음
함양지리산흑돼지,쏠쏠이,3.0,메뉴가 좀 적음 후식이 좀 아쉬움
함양지리산흑돼지,김성진,5.0,수육이 깔끔하고 양이 많아요
함양지리산흑돼지,윤성효,5.0,지리산 흑돼지집 레전드 수육
함양지리산흑돼지,하도경,5.0,한마디로 강추에요~
함양지리산흑돼지,김태용,1.0,완전 실망 개실망 가성비 꽝~!
함양지리산흑돼지,김풍기,5.0,깔끔하고 좋아요 ㅎ
함양지리산흑돼지,TH Interpreter ล่าม JUNG คุณ จอง,5.0,맛집 입니다 ~ 삼겹살 + 수육 👍🏻…
함양지리산흑돼지,hj c,3.0,비싸고 양이 넘 작음
함양지리산흑돼지,우선곤,4.0,음식이 괜찮네요
함양지리산흑돼지,김동영,5.0,적극 추천~~
함양지리산흑돼지,Agnes Soyun Wang,1.0,개인적으로 짰어요...
함양지리산흑돼지,민영학,5.0,아주 맛집 강추
함양지리산흑돼지,Hyun Jung Yoon,4.0,고기가 맛있다
함양지리산흑돼지,Beom Kim,5.0,굿 굿 굿
함양지리산흑돼지,김인규,4.0,
함양지리산흑돼지,정란,3.0,
함양지리산흑돼지,TW KANG,5.0,
함양지리산흑돼지,김대산,5.0,
함양지리산흑돼지,정버나드,3.0,
함양지리산흑돼지,김지훈,5.0,
함양지리산흑돼지,전,5.0,
함양지리산흑돼지,남이홍기,5.0,
함양지리산흑돼지,최해영,5.0,
함양지리산흑돼지,김정훈,3.0,
함양지리산흑돼지,장현석,5.0,
함양지리산흑돼지,gowest,5.0,
함양지리산흑돼지,김양미,2.0,
함양지리산흑돼지,김인규,4.0,
함양지리산흑돼지,jingeun kim,4.0,
함양지리산흑돼지,안영한,5.0,
함양지리산흑돼지,SUNHEE KIM,5.0,
함양지리산흑돼지,Deugkwi Jeon,5.0,
함양지리산흑돼지,정진희,3.0,
함양지리산흑돼지,류재길,2.0,
함양지리산흑돼지,아톰,5.0,
함양지리산흑돼지,Hyuno Sung,5.0,
함양지리산흑돼지,ByoungYeon Kim,4.0,
함양지리산흑돼지,인도다,5.0,
함양지리산흑돼지,angry lee,5.0,
함양지리산흑돼지,박병찬,4.0,
함양지리산흑돼지,Jin Seok Jeon,3.0,
함양지리산흑돼지,김윤림.,5.0,
함양지리산흑돼지,전혜리,5.0,
함양지리산흑돼지,조용훈,5.0,
함양지리산흑돼지,박이현,5.0,
함양지리산흑돼지,加藤千春,5.0,
함양지리산흑돼지,강준희,5.0,
함양지리산흑돼지,H J,5.0,
함양지리산흑돼지,이창보,5.0,
함양지리산흑돼지,영보김,3.0,
함양지리산흑돼지,박진아,5.0,
함양지리산흑돼지,전영은,4.0,
함양지리산흑돼지,Dong choon Kim,3.0,
함양지리산흑돼지,자신있나?,4.0,음 맛잇죠?젓갈에 푹 찍어무야 제 맛입니데이다만 리필 할때 부추가 줄어드는건 섭섭합니더 >_○
함양지리산흑돼지,망나뇽,5.0,쫌 물줄아네ㅎ
함양지리산흑돼지,장희빈,5.0,깰 꼼 ~~~
함양지리산흑돼지,브루니,5.0,먹어본 갈비수육 중 여기가 원탑입니다
함양지리산흑돼지,김영서,5.0,JMT
함양지리산흑돼지,바람의잡초,5.0,인심이 좋아요
함양지리산흑돼지,에이스,5.0,갈비수육이 맛있네요
