place_id,user_id,score,comment
합천 돼지국밥돈다리탕,남최성규,1.0,"서비스 아주 안조와
코로나 준비 상태가
아주 안대서요…"
합천 돼지국밥돈다리탕,이인우,2.0,"24시이라 늦시간이나 한잔먹고 가는데
와 오늘 깍두기 반 배어먹은 깍두기가 반찬통에 올라온것보고 밥알도 3개 붙어 있더라
이제는 안가야겠다 배어먹은면이랑 밥알이 깍두기가
아주 빨간떠라"
합천 돼지국밥돈다리탕,정익진,4.0,"값이 저렴하고  주인이 친절하며,
국밥 맛이 좋았다.
적극 추천하고 싶다."
합천 돼지국밥돈다리탕,Youngho Woo,2.0,그럭저럭 입니다만. 식다미지만 맛이 강하지 않아 좋아요
합천 돼지국밥돈다리탕,박경수,3.0,"보통 국밥집입니다.
돼지 잡네는 안나고요, 먹을만 합니다."
합천 돼지국밥돈다리탕,Ang Choi,2.0,순대국밥 수육국밥말고는 비추천요
합천 돼지국밥돈다리탕,Jh Cho,5.0,맛있어요
합천 돼지국밥돈다리탕,nguyen viet,3.0,
합천 돼지국밥돈다리탕,이용길,4.0,
합천 돼지국밥돈다리탕,최승준,3.0,
합천 돼지국밥돈다리탕,김상언,5.0,
합천 돼지국밥돈다리탕,S H PARK (TRUEGUY),3.0,
합천 돼지국밥돈다리탕,김두봉,4.0,
합천 돼지국밥돈다리탕,se-yeon Geum,3.0,
합천 돼지국밥돈다리탕,이종민,3.0,
합천 돼지국밥돈다리탕,kh,1.0,비싸다
합천 돼지국밥돈다리탕,JK욱,5.0,
