place_id,user_id,score,comment
해돋이가든,GB K,5.0,"지금른 폐업 했지만, 좋아요."
해돋이가든,홍미화,5.0,사장님 친절하고 집밥처럼 맛있어요
해돋이가든,임방석,5.0,단체행사하기좋은곳입니다
해돋이가든,김영태,3.0,아득한 옛날집
해돋이가든,희진박,5.0,
해돋이가든,정성모,4.0,
해돋이가든,주우👀,5.0,존맛탱 예약하면 50분 아낄 수 있음누룽지죽은 먹다보믄 따로나옴
해돋이가든,김효진,1.0,"어른 8인데 식사를 이거밖에 안시키냐고 여종업원핀잔들음. 음식은 누룽지백숙으로 두마리반 예약한거였음. 그 여종업원 반찬 들고 들어와선 아무말도 없이 내뒤에 서있다가 내가 뒤돌아보니 ""나오이소"" 라고 하더이다. 식당 많이 다녀봤지만 이런 직원 처음 봄.음식맛? 백숙 맛있긴했음. 작은 오리로 너무비싸게 받지만. 밑반찬은 다 맛이없음. 그 직원 행동에 음식맛이 저절로 퉤퉤. 다신 생각안남."
해돋이가든,김병철,5.0,동생이랑같이와서 누룽지백숙  맛이 쵝오네요
해돋이가든,타당타당맛사냥꾼,5.0,"맛있게 잘먹었습니다:) 사장님도 참 친절하시고 좋더라구요! 미리 오리백숙 예약하고 왔더니, 세팅도 다되어있었습니다~ 누룽지맛이 고소하고 특별한 오리백숙이었어요! 반찬도 다 입맛에 잘맞아서 다음번에 또 오고싶은 맛집입니다!"
해돋이가든,푸르르,5.0,오리 누룽지백숙 맛있게 잘먹었어요!^^ 사장님도 정말친절하시고 좋았네요~ 가족외식하러 또올게요
