place_id,user_id,score,comment
행루즈버거,상천,4.0,빵이 맛있네요패티랑 감튀는 보통재방문은 딱히..?
행루즈버거,라이너,5.0,너무 맛있어서 깜놀... 여행 시간상 전화주문하고 포장해와서 먹었는데 그래도 찐맛 대인정. 다만 매장앞이 골목이라 주차공간이 거의 없는게 조금 불편했으나 그걸 감안해도 또 다시 가고싶은 맛집~
행루즈버거,hellooooww,5.0,
행루즈버거,맛집탐방러,2.0,맛 그냥저냥
행루즈버거,동코의 맛집일기,5.0,린생 수제버거도라이급 크기와 비주얼
행루즈버거,goldfish,4.0,"맛있는데 특별히 맛있는지는 모르겠어요. 그냥 잘 되는 수제버거집 같은 느낌이라 실패는 없지만 그렇다고 홀딱 반할만한 뭔가가 있지도 않음. 컨셉은 미국 같은 느낌 잘 살리긴 했어요. 미국 버거 맛이라고 하기엔 진짜 미국에서 먹은 버거가 더 맛있었음,,"
행루즈버거,리우카,5.0,울산 햄버거 No.1
행루즈버거,먹고노는게제일좋아,2.0,패티가 뻑뻑해요 음료없인 먹을 수 없는...
행루즈버거,xoahxnk,5.0,기본세트로 먹었는데 최소 울산서는 젤 맛있는 버거집이 아닐까싶음 꿀맛감튀 간은 좀 쎈 듯ㅠ
행루즈버거,User,5.0,긴말 안함
행루즈버거,정카밍,4.0,기대하고 달려왔는데육즙 팡팡 터지는 그런 버거맛은 아니었어요감자튀김도 좀 해둔지 오래된 듯한게 나왓고우리집 곰이 감튀 남기는건 또 첨 보내요옆테이블도 비슷한 매뉴시켜서 우리보다 뒤에 나왔는데도 음식남기고 간거보면..좌석은 금방 만석되고 하던데암튼 제스타일은 아닌 것 같아요
행루즈버거,Genie,5.0,점심에 오픈 런 해야하는 곳
행루즈버거,jmjmjm,5.0,
행루즈버거,영시,5.0,존맛탱 먼가 미국맛
행루즈버거,젼,5.0,개인적으로 스테이크앤 과카몰리는 좀 별로였어요 고기가 맛있는지도 잘 모르겠고 스테이크는 거의 남겼습니다 ㅠ 버거는 맛있어요 !!!  아보카도랑 기본 먹었는데 기본이 좀 더 맛있엇어요 ㅎㅎ
행루즈버거,김결,5.0,
행루즈버거,bo,5.0,"미국생활 20년울산에서 가장 맛있는 버거. 버거 먹으러 자니라켓 가곤 했지만 그럴 필요없이 여기 가면 됨. 단, 깨가 많아 빵이 쫌 많이 고소할 수 있음. Cant beat this place for your burger needs. Best burger so far in Ulsan... until I can find someplace better. Double cheese all the way. 5/3/2021 또 갔지만... 여전히 맛있음~속으로 감탄 하면서 먹고 나옴...이후로도 다녀오고 장소 이전하고 갔더니 맛이 약간 달라서 오늘 다시 먹었는데 its all good~고기맛을 즐기신다면 더블치즈에 양파랑 피클빼고 드시면 its all good~감자튀김도 땅콩 기름에 튀겨 그런지 맛이 두배. 소금도 일반 맛소금이 아닌 굵은 소금. Will go back again soon!"
행루즈버거,꾼,5.0,행루즈버거 세트 먹었는데 감튀도 맛있고 행-버거도 정말 맛있었습니다. 하나도 안느끼하고 다 먹으면 양도 많습니다. 그냥 크기만 크고 맛없는 수제버거 집보다 맛있고 먹기도 편합니다. 맛을 응축한 느낌서비스도 친절하고 좋습니다. 근데 매장이 조금 추웠습니다.다음엔 밀크쉐이크를 먹어봐야겠네요.
행루즈버거,떠돌이,5.0,최고 더블치즈 꼭 드세요
행루즈버거,김우진,5.0,
행루즈버거,맛집 마스터,1.0,맛이 있으면 뭐함 사장 너무 불친절.... 기분나빠서 다신 안 갈듯
행루즈버거,코뿌리,5.0,또 가겠습니다 맛있어요
행루즈버거,동구돌이,2.0,"솔직히 저가격에 저 양인데 왜 가는줄 모르겠음. 음악하고 인테리어 하고 전반적인 분위기는 그렇다하는데, 두툼한 미국식 수제버거를 생각했는데 생각보다 얇고 작아서 놀람"
행루즈버거,ARFU,4.0,자리부족이 아쉬운 수제버거 맛집
행루즈버거,오전필,5.0,옥동 수제버거 맛집기본 행버거가 깔끔하다더블치즈는 조금 느끼한 편
행루즈버거,혁이,5.0,
행루즈버거,깜짝맘,4.0,
행루즈버거,신영,4.0,
행루즈버거,양재현,4.0,진짜 미국식 햄버거가 뭔지 보여줌.프라이 쪽은 살짝 아쉬움.
행루즈버거,김광현,2.0,테이블 너무 낮음햄버거 먹기불편함패티에서 고기맛보다 기름맛이 많이남 세트 가격 비쌈감자튀김은 맛있음
행루즈버거,먹방요죵,5.0,행버거 짱맛존맛 고기풍미 대박
행루즈버거,김미남,5.0,행루즈버거는 행버거와 더블치즈 버거 입니다...!!
행루즈버거,이상명,5.0,패티 존맛
