place_id,user_id,score,comment
홍이,구름에달가듯이,3.0,"얼마전까지 가장 가성비 좋았던 수입갈비집 #홍이

이곳은 가성비라는 확실한 포지션이 있었던 집입니다.…"
홍이,김먹방,4.0,"미국산 소고기이긴 하지만 착한 가격에 신선한 소갈비살을 부담없이 먹기 좋은곳!
100g당 5900원이라는 가격이 엄청 매력적인 식당입니다. 고기도 신선해서 입안 가득 퍼지는 육즙과 소기름의 고소함, 쫄깃한 식감의 육질 모두가 괜찮은 집입니다.…"
홍이,Pablo _,5.0,오래된 맛집이죠! 앉았다 하면 끝을봐야 자리가 끝나는듯합니다! 양념 소금구이 두가지 취향것 드시면 좋을듯 합니다!ㅎㅎ
홍이,Sora An,5.0,가격 착하고 맛있음. 된장찌개나 냉면도 꼭 먹는편. 회전율도 빠른편.
홍이,땡실이,5.0,가격대비 맛있고 서비스도 좋았습니다 ^-^
홍이,야채손절,5.0,"양념소갤비 맛이쪙 고기 양은 적으니 1인당 3인분씩 가쥬아~
파무침이 예술임ㅎ"
홍이,Duck L,4.0,"소갈비살 비교적 싸고 맛있게 먹을수 있습니다.
주차 공간이 별도로 없어서 별하나 뺏고 다른건 다 좋아요 ㅎㅎ"
홍이,후루룩TV,5.0,저렴하고 맛있음 가성비 짱짱
홍이,견출작업홍민호,4.0,친절하고 분위기좋고 음식깔끔해요
홍이,혜은,5.0,맛있고 친절하고 짱좋아여★가성비갑
홍이,가수 신명성TV,4.0,"24시간 영업하는곳으로
생각보다 적당한가격대와
친절함 주차장은 반구공영주차장
이용할수있어요 5~4분거리 이용이합니다"
홍이,이정환,4.0,"반구동 근처 가성비 갑인 고깃집이 아닐지?
소금갈비도, 양념갈비도 맛있다
다만 된장찌개가 조금 아쉬운 편임 제공시간을 줄이기 위해 찍어내어 나오는 느낌의 맛 msg맛이다…"
홍이,SOOYOUNG KO (RAY),4.0,"싸고 맛있음...
곰곰히 생각해보니...1인분이 싸긴한뎅 ㅋㅋ
자세히 보니... 1인분이 100g임;;;
싸지않은 이 느낌은... 모징~ *.*??"
홍이,대윤 / DaeYun,3.0,"24시간 운영하는 소고기집은 자주 찾아보긴 힘들지만, 홍이는 24시간 고깃집이다. 항상 만취된 손님들이 드글드글해서, 조금 겁난다."
홍이,메기,3.0,"제가 자주가는 식당입니다. 갈비도 괜찮고 갈비탕도 맛있어요. 소고기 하면 가격부담이 큰데 여긴 덜하네요. 괜찮습니다.
단점이라면 사람들이 많이 찾는곳이라  북적북적입니다. 조용한곳은 아니에요. 여름에는 갈비탕 먹기 어려운곳."
홍이,김선영,5.0,"가격 싸고 맛도좋고 항상 늦게까지 사람들이 많아요
소고기가 1인분에 5900원이였나??"
홍이,임은택,4.0,"반구동 맛집
가격도 비싸진않고  고기맛은 맛있네요
사람이 항상 많아요!"
홍이,앙으,5.0,"음식에는 뭐라 할꺼 없음..
가성비에 정말 맛있음..
일하는 사람들은 완전 별로 임..
특히 은근 손님차별하고 여튼 싸가지 없음"
홍이,Younghoon Kang,5.0,친절하고맛도좋아요
홍이,어이가없네개쉣키가,5.0,싼가격에 맘껏먹은수 있는집. 생고긴 아니지만 사람들도 많이감. 양념이 맛있음.
홍이,김용한 (James Kim),5.0,양념드세요 두번드세요 냉면안되요
홍이,보다재미,4.0,"맛 나쁘지않음
주차공간이 부족합니다
있으나 없는거나 다름없음"
홍이,고정길,4.0,가격대비 맛있어요 누린내도안나고 깔끔합니다ㅎ
홍이,여경희,5.0,각격에 비해 고기가 좋아요 전 생갈비살 추천
홍이,공주,2.0,"맛집이라해서 갔었던 집~
가격이랑 맛은 나쁘지 않았지만
추가적으로  뭘 시킬려면 몇번을 불러야옴
살짝 불편했던 기억이..."
홍이,왁깐다뽀에버,4.0,먹을만 합니다~ 수입산인데 가격만 옛날 가격으로 돌아갔으면.. 가성비 좋았을텐데
홍이,Jin Mh,5.0,양도 많고 맛잇게 잘먹엇어요 가격도 저렴하고...
홍이,둥이냐옹,4.0,양념 맛남 ^^ 가격도 착하고 ps.이사했다가 여기갔는데  친구3명이서 내 지갑 거덜낸곳
홍이,김경진,4.0,"항상 줄서있을정도로 싸고 맛있어요
친철하진 않아요 ㅎ"
홍이,조영서,5.0,소고기에 숯불에 가격 저렴하고 식사자리 술자리 가성비 짱입니다.
홍이,서영우,5.0,현지인 맛집 2명이서 소금 2인분 양념 2인분 시켜서 소금 먼저 먹고 양념먹으면 꿀맛
홍이,네온핑크 2,4.0,고기 맛있고 술마시기 좋아요~
홍이,정태문,4.0,적당한가격에 맛도 좋아요
홍이,영은서,4.0,소갈비살보다 양념이 더 맛있어요!!!
홍이,노은호,5.0,가격대비 괜찮은 맛 된장 맛있음
홍이,도배르만,5.0,싼마이 맛도리 고깃집 수입산 소고기 늦은시간 운영
홍이,손Pro,2.0,고기맛은 괜찮은데 가격은 저렴하진않아요
홍이,손종현종현,3.0,수입양녕갈비6900가격대비맛나요♡♡♡
홍이,허뱅,5.0,"회전율이 빠르고,고기가 맜있음"
홍이,홍정애,5.0,살아있는해산물 이라싱싱하네요
홍이,박정례,5.0,가격이 싸고 괜찮아요 가성비갑
홍이,박기태,4.0,친절하고 맛있네요
홍이,병철이,4.0,소고기5500원 캬~~맛나요ㅋ
홍이,김대영,5.0,24시간이라 더 좋네요
홍이,Sun Gu kang,2.0,고기 맛이 없어요 돈이 아까비
홍이,ᆞ피카츄,3.0,현재 가격이 올라 그저그렇지만 맛은 있음
홍이,Chris Kim,2.0,맛은있지만 양을 속이는듯...
홍이,김sj,2.0,싸고조으나 자리가불편  너무술자리위주서비스도 ㅠ
홍이,SUNG HO HWANG,4.0,그런대로 개안아요.
홍이,Inho Yang,5.0,맛 좋음 울산에서 제일 맛남
홍이,강선식sadrola,4.0,고기질이 조금 낮음
홍이,김만식,1.0,고기  맛 없서요
홍이,이은정,4.0,가격저렴하고 맛은있음.
홍이,아이스악메리카노,5.0,양념 소갈비살 정말 맛있었다
홍이,Yun Alex,5.0,싸고 늦게까지하고 굳
홍이,박창민,4.0,값싸고 맛있는고기
홍이,용용,5.0,고기가 정말 맛잇습니다
홍이,Jongkwun Lim,2.0,수입소고기집.별로
홍이,한미현,5.0,가성비 갑 맛 좋음
홍이,이용길,4.0,맛있게잘먹없습니다
홍이,이병훈,5.0,맛이고싸고좋다
홍이,김성엽,4.0,수입고기.  괜찮아요.
홍이,흥해라흥,5.0,맛나게 잘 먹고 왔어용
홍이,김선환,5.0,24시 영업합니다
홍이,박원진,3.0,왜장사가잘되는지 이해불가
홍이,9hwa lee,5.0,맛있네요
홍이,쭌상,4.0,싸고맛난집
홍이,박박정미,2.0,직원들이불친절함
홍이,임요셉,5.0,울산 최애 갈비맛집
홍이,Sungshin Kim,5.0,맛있네요~~~
홍이,이을구,5.0,고기 맛나요
홍이,오죠오죠,5.0,맛있어요
홍이,GAON. K,4.0,가성비괜찮네요
홍이,꽃스타,5.0,굿
홍이,배영묵,1.0,인간쓰레기 음식점
홍이,개잡이,5.0,너무 맛나요
홍이,박승만,3.0,괜찮아요
홍이,Sapph,3.0,보통이에요
홍이,정진수,5.0,반구동고기맛집
홍이,Conrad,5.0,nuclear존맛
홍이,정영섭,4.0,싸고 맛남
홍이,박지현,4.0,맛나요
홍이,pray 24,4.0,가성비가 뛰어남
홍이,박철성,5.0,맛나요ㅎ
홍이,맥반석고양이,5.0,맛있습니다
홍이,감자맛초코,1.0,여기 왜??
홍이,김하늘,5.0,맛있어
홍이,NIKKA WorkRoom,4.0,가성비짱
홍이,서갑군,5.0,조아요
홍이,Snow Wind,3.0,조아요!
홍이,이종선,3.0,조와요
홍이,김성환,5.0,굿~~~
홍이,윤꽃,4.0,맛있음ㅋ
홍이,이상엽,5.0,좋아여
홍이,신서희,5.0,진짜 고기가 부드럽고 웨이팅까지해서 먹은곳!
홍이,Chad Han,5.0,open for 24/7 and u can enjoy lovely marinated beef for very cheap price....love this place for sure
홍이,21 Records,5.0,
홍이,날씨좋타,1.0,
홍이,강유진,3.0,
홍이,남박기홍,1.0,
홍이,SeungKi Shin,3.0,
홍이,장병렬,5.0,
홍이,갓냥이,5.0,
홍이,김보성,4.0,
홍이,권태윤,5.0,
홍이,김홍제,4.0,
홍이,이성민,4.0,
홍이,sunchul kim,5.0,
홍이,설동용,5.0,
홍이,김훈섭,4.0,
홍이,Nikki Gardner,5.0,
홍이,Dong Kyu Kim,4.0,
홍이,임상희,5.0,
홍이,서양호,5.0,
홍이,황보채환,5.0,
홍이,이필주,5.0,
홍이,정세민,5.0,
홍이,MING SEO,5.0,
홍이,조동빈,5.0,
홍이,고고,5.0,
홍이,김종규,4.0,
홍이,수빈짱,4.0,
홍이,이병태,5.0,
홍이,배성욱,5.0,
홍이,유순근,3.0,
홍이,김오현,3.0,
홍이,신진규,5.0,
홍이,심성엽 (sim),5.0,
홍이,하얀밤,1.0,
홍이,Jaeho Jeong,4.0,
홍이,공원석,4.0,
홍이,징어오,5.0,
홍이,이선영,5.0,
홍이,hg Kim,5.0,
홍이,강현욱,5.0,
홍이,이한영,2.0,
홍이,민정식,4.0,
홍이,김정화,5.0,
홍이,육부근,2.0,
홍이,지원,5.0,
홍이,김경락,3.0,
홍이,이훈미,5.0,
홍이,이승용,5.0,
홍이,노창수,4.0,
홍이,김광훈,5.0,
홍이,조삼장 (삼장2),5.0,
홍이,백수창,3.0,
홍이,김성환,1.0,
홍이,Tony,5.0,
홍이,박주하,5.0,
홍이,정준락,3.0,
홍이,육은순,4.0,
홍이,Miss “BigMac_part2” KiKi,3.0,
홍이,장도겸,5.0,
홍이,방혜경,2.0,
홍이,김찬연,2.0,
홍이,민정아,4.0,
홍이,조준영 (최강유부남),4.0,
홍이,John N,4.0,
홍이,임남욱,3.0,
홍이,무한007,5.0,
홍이,김민성,5.0,
홍이,박옥분,4.0,
홍이,김정기,4.0,
홍이,읭읭읭이,5.0,
홍이,채셔캣냥,5.0,
홍이,김재홍,5.0,
홍이,김병삼 (고인돌),4.0,
홍이,김준환 (주나니),5.0,
홍이,선동운,5.0,
홍이,김민규,5.0,
홍이,jc park,3.0,
홍이,김태승,1.0,
홍이,이채범,4.0,
홍이,박정제,5.0,
홍이,김종문,5.0,
홍이,이원용,4.0,
홍이,계백장군싱글수상,5.0,
홍이,김창덕,3.0,
홍이,배준용,5.0,
홍이,김창현,5.0,
홍이,임춘택,5.0,
홍이,윤미진,4.0,
홍이,진종한,5.0,
홍이,조문경,1.0,
홍이,최강호,4.0,
홍이,박주탁,5.0,
홍이,따봉또치,2.0,
홍이,정준모,5.0,
홍이,박영섭,4.0,
홍이,wt 이 (뇽뇽이OwO),4.0,
홍이,hunny hun,3.0,
홍이,국슈gook_suka,1.0,
홍이,HANDA한다,5.0,
홍이,채민,3.0,
홍이,서동철,5.0,
홍이,김지민,4.0,
홍이,김승현,4.0,
홍이,yunho choi,4.0,
홍이,한용수,3.0,
홍이,귀신이고칼로리,5.0,인생 최애 고깃집 2군데 중 한군데
홍이,gatsby,5.0,"가성비 좋네요일단 저는 흡족했고, 또 가고싶네요생갈비살 보다는 양념이 더 맛나네요"
홍이,조성봉,2.0,싼게 비지떡  입만  버려요
홍이,구파발왕언니,1.0,"여기 후졌어요. 조선족으로 보이는 아줌마 종업원 두분 계시던데 응대는 커녕 폰보면서 앉아있기나 하고, 추가 주문 귀찮은 티 내면서 꼽주던데 서비스 마인드 너무 얼큰하게 말아드신거 아닌지.. 그렇게 일하기 싫거든 앞치마 쓰레기통에 처박아두고 니네 나라로 돌아가세요 제발;"
홍이,상신당(서희정) 도장전문,5.0,넘 감사합니다.번창하세요.^&^
홍이,맛집좋긔!,4.0,24시간 하는것 치곤  맛괜찮음
