place_id,user_id,score,comment
화봉옛날돼지국밥,놉노노,5.0,음식점 들어서는 순간 돼지찌는 냄새가 코를 찌르지만 시간지나면 자동으로 코가 익숙해지고 정말 맛있는고기. 국물을 만나게 됨. 맛보기 수육. 순대는 인상적임. 먹다보면 더 시키고 싶지만 그랬다가는 너무 배부르게됨. 아쉽다면 김치는 담그는게 아닌듯.. 여튼 국밥 한그릇 푸짐하고 맛나게 할수있는곳을 알게되었음. 생각보다 포장해 가는 사람이 많아서 포장해보니 국물. 고기 양이 홀에서 먹는양의 1.5배가 됨. 포장하는 방법도 좋다고 생각됨. 사장님 친절함. 주차시설 별도로 없어서 길가 혹은 안쪽의 골목길에 찾아서 주차를 해야하는 불편함이 있음. 여튼 맛있으니 또오게 될듯함
화봉옛날돼지국밥,소호소오,5.0,"국밥에 고기랑 순대 엄~~청 많음.

고기 순대는 맛있었는데 찰순대는 약간 잡내 같은 게 났음.…"
화봉옛날돼지국밥,JK lee,5.0,역대급 돼지국밥집. 국밥 나오기전에 수육 순대가 반찬으로 나오는데 이것만 먹어도 소주 한병은 그냥 마십니다. 그냥 한 번 무조건 먹어봐야하는집
화봉옛날돼지국밥,잡앤킬,3.0,"소소합니다. 이동하지 않고 드시기에는 좋습니다!.
동네 살거나 직장이 여기라면 ~ 괜찮은듯"
화봉옛날돼지국밥,김나니,4.0,"주차가 불편한 길거리에 있어서 주변을 돌다가 주차해서 들어갔습니다. 맛보기수육은 조금 짜지만 부드러웠고, 순대는 겉이 말라있어서 아쉬웠습니다. 돼지국밥 주문했는데 머릿고기가 많이 들어있어서 한그릇만 먹어도 배부르겠더라구요! 양이 엄청난 국밥이었습니다."
화봉옛날돼지국밥,미드매시,4.0,"서비스로 순대와 수육이 나옵니다.
디저트는 비타500이나 요구르트가 랜덤으로 나와요."
화봉옛날돼지국밥,박안기,5.0,"옛날국밥 맛이 계속유지되는 집
점심 시간에 여전히 손님많음
식탁으로 바뀌면서 좌석수가 줄면서
공간은 넓어져서 편하게 식사할수 있음"
화봉옛날돼지국밥,Ball Homerun (홈넌볼),3.0,식사를 시키면 고기와 순대를 주는 것은 좋았으나 돼지국밥 맛 자체는 별로였음. 돼지국밥을 시켰는데 내용물은 섞어국밥 같았음.
화봉옛날돼지국밥,YeongIn Kwon,4.0,자주가는 곳입니다. 식전에 순대와 수육이 서비스로 제공되는 것이 장점입니다. 돼지 냄새가 약간 나지만 맛있습니다. 주차장은 따로 없고 화장실은 공용입니다. 울산페이 가능합니다.
화봉옛날돼지국밥,SANGHO LEE (Shawn),2.0,주차가 어려워요 반찬 가지수가 많지 않고 돼지국밥에서 고기냄새가 심하게 나요 테이블이 깨끗하지 않아요 맛보기 순대와 수육이 나와요 수육은 그닥  딱 맛보기  수준이에요
화봉옛날돼지국밥,최현수,4.0,서비스도 많이  주시고 맛도 굿~
화봉옛날돼지국밥,S.D Jeon,3.0,"약간의 군내가 나야 국밥의 제맛이란 분 아니시면
권하진 못하겠어요. ㅜㅜ
인터넷에서 맛집 검색해서 갔는데 ~~호불호가
극명하게 갈리는듯 하네요."
화봉옛날돼지국밥,서성협,5.0,추가로 주는 수육과 순대 맞납니다.국밥의 고기양도 많네요
화봉옛날돼지국밥,힘을내요슈퍼파월,1.0,"주인이바뀌었는지 예전만못하네요
맛이  확실히 달라요
순대에서 냄새도나고,  반이상 남겼네요…"
화봉옛날돼지국밥,유병모유병모,5.0,예전 맛을 잘 지키고 있어요 또한 서비스로 나오는 순대와 고기도 아주 맛있어요
화봉옛날돼지국밥,K KO,5.0,제가 제일 좋아하는 국밥집이에요
화봉옛날돼지국밥,한용석,5.0,"맛이 깔끔하고 잡내가 없어요
새우젓도 싱싱하고,김치도 맛있고 좋았어요"
화봉옛날돼지국밥,한상철,2.0,"예전보다 가격이 많이 올랐음 그에반해 서비스 수육 양도 줄었음 타 가게는 가격 내리고 있는데~~
예전에는 착한 가격에 수육과 순대 무한리필 이었는데 이제 차별화된건 가격 으른것밖에 없음
날이 갈수록 국밥맛도 서비스도 퇴화되고있음
국밥 미리 간을해놓아서 짜요 새우젓 넣지않아도"
화봉옛날돼지국밥,시루,5.0,"아무리 강조해도 지나치지 않는맛.
코로나 시기인데 저가격에 순대와수육을??
다데기를 넣어 새우젓과 함께 냠냠~"
화봉옛날돼지국밥,이강희,4.0,"가성비가 좋은 곳이며
국밥에 고기가 많습니다
수육도 서비스로 한접시 나옵니다
주차는 도로변을 이용하셔야 합니다"
화봉옛날돼지국밥,남윤성호,5.0,"호불호가 갈리는곳.
순대.수육 맛보기는좋아요ㅎ
섞어국밥 맛있습니다^^…"
화봉옛날돼지국밥,이춘명,5.0,"아이가 잘 먹네요
국밥 나오기전에 수육이랑 순대가 깔끔하니 맛있습니다"
화봉옛날돼지국밥,손영준,5.0,"아무튼 긋긋.
아 그릇이 작아서 밥 말면 가뭄상태가 됨."
화봉옛날돼지국밥,정명상,4.0,"지인의 소개로찿아갔는데 국밥이 아주아주 굿!굿!굿!
서비스로 수육도 주는데 머릿고기가 쫄깃하니 맛있어요^^"
화봉옛날돼지국밥,Inevitable “니가가라하와이” I am,3.0,"어릴때 자주 다니던 가게였는데 타지에서 직장생활하다 나이먹고 와보니 맛도 예전같지않고, 앞 테이블에 주문 잘못나갔던 음식이 나한테 온거같은 찝찝한 상황까지 생겨서 이제 추억속에 묻어두겠습니다"
화봉옛날돼지국밥,항희,4.0,이 집만의 맛이 있네요. 식사전 맛 보기 고기도 좋고.
화봉옛날돼지국밥,pp o,5.0,"가격은 평범함 탐라돼지에비하면 쌈
이 집의 장점은 식혜가 공짜라는점과 소면이 아닌 중면을 셀프바에서 가저다 먹을 수 있다는것임
맛은 그냥 여타 다른 옛날돼지국밥집과 같음"
화봉옛날돼지국밥,seongjin RA,4.0,섞어를 몇번 먹었는데 들어가는 내장류도 잘게 썰어져서 먹기 좋았고 특히 별도로 주는 수육이 너무 맛있었읍니다 국물도 진하지않아 밥을 말아서 김치 얹어서 먹으면 맜있답니다 단지 깍두기가 없는게 약간 서운하지만 ㅎ
화봉옛날돼지국밥,하진석,5.0,"식혜 공짜 (셀프), 껍데기 공짜. 국밥 맛있음^^"
화봉옛날돼지국밥,김명수,5.0,내가 먹던 순대국밥은 순대국밥이 아니었음 진짜 국물진하고 오면 머리고기도 좀 내주시는데 그것도 맛있고 다 좋음 진짜 강추
화봉옛날돼지국밥,장세경,1.0,청소상태가 안 좋음..다 먹을무렴 기름기감가 너무많음  실망...
화봉옛날돼지국밥,넷놈애비,5.0,속풀어주는 해장 최곱니다
화봉옛날돼지국밥,앵두스,1.0,"외국사람이라는 이유로 다른 테이블은 순대가 나오는데 우리한테는 대놓고 없다고 하더라고요 맛 집이면 뭐해요
인성이 안 됐는데 기분이 완전 별로네요"
화봉옛날돼지국밥,J C,2.0,"서비스 수육과 순대는 옛날 맛은 찾을수가 없고 그냥 형식적 구색맞춘듯 하고,
국밥의 국물 역시 갈수록 퇴화하는 듯"
