place_id,user_id,score,comment
황족,Min또기,5.0,"촉촉하고 담백한 족발.
퍽퍽하지 않아서 좋았어요
잡내없이 깔끔해요!…"
황족,동섭,4.0,"유황먹은족발이라그런지 윤기가 좔좔흐르고
맛있네요 티비에 여러번 방송된듯합니다
기본성은 그럭저럭이구요…"
황족,Travel_ cats,5.0,매운족발 먹었는데 맛있더라구요. 함께한 일행 모두 맛있게 먹었고 피크타임이 되니 사람이 바글바글 합니다. 다음엔 유황족발 먹고 공유할께요
황족,Ball Homerun (홈넌볼),4.0,입에서 살살 녹는다는게 이런 맛일까 ~.~
황족,정유진,5.0,사람많아서 정신없는데 족발맛이 끝내줍니다 뚝배기감자탕도 시켰는데 웬만한 감자탕집보다 국물이 더 맛있네요 강추합니다
황족,김동규,4.0,족발 맛집 냉채족발 맛있네요
황족,싸패조,5.0,맛있게 잘 먹었어요~매운거 좋아하는 분들 가세요
황족,주김,4.0,비린맛 없고 맛있네요
황족,Chloe K,5.0,인생 족발 잡내 없고 마늘소스 존맛
황족,Prince Ulsan,4.0,사람많은이유가 있어요 맛잇어요
황족,임수윤,4.0,"맛집추천으로 갔는데 마늘족발이
정말맛있었어요  마늘매운맛도 냄새
도 나지않으면서 단맛가 고소한맛이…"
황족,김종일,3.0,"족발의 맛은 다른집들과 비교해서 크게 못할것이 없는듯 합니다, 바쁜중에도 종업원분들의 친절도 그닥 달라지지 않는 듯합니다.
마늘 소스는 꼭 추가하서 먹어보시는걸 추찬 드립니다, 족발과 잘 어울리는 느낌입니다."
황족,서규익,4.0,"티비에 자주나온 그맛집!음식이 아주 맛있습니다.
매장은 너무 복잡하고 주차시설이 부족한 위치이기 때문에 방문포장을 추천드립니다."
황족,Joa Busai,3.0,"부드럽고 맛은 있는데 짜서 나중에 물좀먹힙니다
3천원 추가보쌈은 하얀거니까 주문시 참고하시길"
황족,이우걸,5.0,음식이 깔끔하고 맛있어요 자리가 부족해서 대기할수도 있으니 미리 예약하고 가는걸 추천합니다
황족,윤준익,2.0,처음엔 좋았음. 장사가 잘되니 양도 작아지고 가격이 자꾸 오름. 그래도 자리가 없어 대기타야 함. 시끄러움. 여름엔 찜통.
황족,박옥경,4.0,"맛났습니다
냉채족발 맛있어요
깔끔  깨운한 맛이네요"
황족,김호정,3.0,매운족발먹었는데 그냥 그랬어요 보통족발 먹어보고싶네여
황족,백미현,4.0,다른 족발집보다 맛있음. 배달은 엄청비쌈. 저녁시간에 주차장없어 주차하기 어려웠음.
황족,최동길,5.0,5만원이상 드시면 쿠폰 주구요.  주인도 좋아모
황족,eugene David,4.0,장충동족발같이 따뜻한 족발은 아니지만 주위의 다른 프랜차이즈 족발 보다는 나은것 같음
황족,이은영,4.0,"맛있어요
족발이 부드럽고 겉절이도 맛있어요"
황족,sunjae park,4.0,보통 족발보가 야들야들하니 맛있었어요~
황족,쁘띠띠아블,3.0,손님이 많아 기대했는데 그냥 평균적인 맛
황족,헐제임스,4.0,족발맛집으로 많이 알려져있으며 가끔 기달려야될때도 있습니다
황족,안희대,4.0,"황족 족발 맛은 정말 쥑여줍니다
부드러운 맛에 쫄깃쫄깃~~"
황족,정수진,4.0,마늘족발 굿.막국수도 괜찮아요.
황족,서동현,5.0,족발이 매우 맛있음. 일찍 안가면 자리도 없음
황족,심은실 (라),5.0,울산에서 먹어본 족발중  최곱니다
황족,Yun Alex,5.0,여기 맛있고 바로앞 복기불닭발도 맛남
황족,o P,1.0,보쌈 먹었는데 김치가 약간 이상함
황족,김정준,2.0,맛은 있는데 사람이 넘 많음
황족,빡친배드,3.0,식기전에는  맛있어요!
황족,모카번두덩이,4.0,고기 질이 좋네요
황족,임민선,4.0,울산 남구에서는 추천할만한 곳
황족,나가울산오빠,5.0,쫀득야들하고 완전짱임 냉족도 굳
황족,KR JANG,3.0,마늘족발.. 술한잔 더마시게 해준다~먹을만하다
황족,junhwan choi,4.0,맛있어요 굿!
황족,dk,3.0,보통 수준은 되는 족발집.
황족,지환욱,5.0,부드럽고 맛있네요
황족,송병목,5.0,고맙습니다땡큐입니다
황족,팬패니,3.0,맛 많이 변했어요..왜?
황족,KangSeok Kim,5.0,"동네맛집, 회식보다는 테이크아웃"
황족,김진혁,1.0,종업원 서비스가 아주 안좋음
황족,ELTORO POWER,5.0,닭발의 지존입니다
황족,윤병락,5.0,맛이 끝네줘요
황족,west side,3.0,황족아니고 옆에집 짜장면먹었거덩
황족,Chul-Ho Jeong,5.0,종업원이 너무나 친절함
황족,이현숙,5.0,좋아요 맛나요
황족,동동이,5.0,가보면 앎 좋음
황족,박순곤,2.0,변화가 없네요!
황족,김주협,5.0,와 유황족발 맛있네
황족,DAVID KANG (나인),4.0,냉채족발 맛나요
황족,namgyun kim,3.0,고마고마! Not so  bad
황족,꾸뭉,4.0,맛있어요~~
황족,껑돌이,1.0,족발이 맛이없어...
황족,신군 (준서아빠),4.0,맛있어요
황족,김대현,3.0,예전만 못 합니다
황족,김만호,4.0,사람이 너무 많아 오래걸림
황족,최정형,3.0,맛은 보통
황족,이순영,5.0,황족 족발 너무 맛나요
황족,유승찬,5.0,맛난 곳입니다.
황족,Kyungsun “오냠냠” Oh,5.0,맛집입니다~
황족,김여진,1.0,비싸고 맛없음
황족,제니퍼,3.0,한방족발이 짭니다
황족,Ah Choo,5.0,존맛탱구리
