place_id,user_id,score,comment
효정밥상,Junga Park,4.0,"게 철이라 싱싱한 게 맛을 볼 수 있었다.
주차장이 있긴 해도 주변에 주정차 차량이 많아 다소 불편하다.
그래도 1인당 1만원 가격대로 간장게장을 맛보는 매력 땜에 들른 곳.…"
효정밥상,김명석,4.0,"정말이지 오랜만에 간장게장을  먹으러 갔습니다.
생선구이 까지 추가하여  주문하였느데요.
나오자마자 맛이 기대가 되었는데요.…"
효정밥상,김민호,5.0,부산여행 갔다가 잠깐 울산에 볼일이 있어서 점심이나 먹을까하고 검색했는데 효정밥상을 선택하길 잘했네요^^ 그동안 다녀본 간장게장집 중에서 가성비 최고입니다. 가격만 저렴하고 맛이 없거나 상차림이 부실하다거나 하지 않습니다. 다른집들과 달리 간장게장에 고추가 많이 썰어져있어서 약간 매운향이 감돌면서 더 맛있습니다. 후식으로 먹는 식혜도 살얼음 동동 떠 있어서 겨울이여도 시원하게 입가심 잘 했습니다^^ ^ 오늘 비가 많이와서…
효정밥상,백진영,5.0,"가격완전저렴
게장도 짜지않고 담백하고
양도 많고 친절.
재방문의사 백프로"
효정밥상,bbui bbui,4.0,가성비 좋은 간장게장 집. 비록 가격이 꾸준히 상승하고있긴 하지만 부담스럽진 않은 수준. 간장게장 시키면 밥 두공기 뚝딱. 후식으로 식혜로 깔끔한 마무리 가능.
효정밥상,yh j,3.0,"가격대비 먹을만한 곳, 즉 가성비 때문에 가는데 점점 메리트를 잃고 있어요. 간장게장은 그럭저럭 먹을만 하고 반찬이 생각보다 괜찮아요. 포장은 현금만 받구요 웬만하면 포장 하지 마시고 가게에서 드세요. 집에 가져가면 엄청 비려집니다."
효정밥상,문명기,4.0,간장게장은 가성비 대비 양호함. 손님이 많으니 종업원이 약간 무뚝뚝하게 응대함
효정밥상,김용술,4.0,"가성비 최고의 게장정식
짜지도 않고 딱"
효정밥상,이영욱,4.0,"짜지않은 간장게장 그래서 그런지 비린맛은 좀 있는편 게가 크고 아름다워서 먹을건 많음. 달고짠 간장게장 좋아하시는분은 불호가 심할듯
어르신 입맛에 맞는편"
효정밥상,ji hea lee,5.0,"여기 간장게장 너무 맛있음.
여수나 순천 통영에 게장맛집이란 맛집은 다 가봤지만 여기 만한 간장게장을 파는 곳은 없다고 생각함.
1인분에 9000원이고 매일 신선한 게를 잡아 만들기 때문에 입맛 없을 때 한 번씩 가면 좋음."
효정밥상,이상호,4.0,간장게장 맛집. 울산에서 간장게장 먹고 싶다면 강추하는 곳. 달지않고 매콤짭짤한 간장게장. 함께나오는 젓갈과 김을 함께 먹으면 이집 최고의 조합. 식사시간에 맞춰가면 웨이팅이 있으므로 조금 일찍가는 것을 추천. 많이 드시는 분들은 둘이서 가면 3인분을 시켜 간장게장도 많이 먹고 공기밥도 한공기 반씩 드시기도 함. 생선구이 정식도 함께 판매하고 있는데 생선구이 정식도 나쁘지않음.
효정밥상,유수낙화,5.0,"간장게장은 싫어하는 성격인데 여기서 먹고나서부터는 여기 간장게장만 먹어요 비리지도않고 맛있어요
간장새우는 처음먹어봤는데 이건 입맛따라 차이날것같아요 저는 다 못먹었지만 옆자리는 새우를 더 맛있게먹더라구요 새우역시 비린맛은 전혀안나지만 제 입에는 역시나 간장게장!…"
효정밥상,김형미,5.0,"간장게장도 생선구이도 가성비 갑 푸짐 칠천원에 밥도 포함.반찬이 가끔 짤때가 있음^^ 숭융,두루치기도 맛있었음 디저트 식혜도 좋아요 소금과자도 맛나요~
2018 이젠 게값이 올랐는지 9천원 한다~ 양념게장도 있으면 더 좋겠다~"
효정밥상,Chevalier 1005,3.0,"3년전에는 간장게장 가성비 최고의 집 이었는데
최근에 다시  갔더니 가격이 많이 올랐네요.
1인분에 9천원이니 참고하세요."
효정밥상,H,3.0,"게장정식 주문!
모든 메뉴가 상당히 저렴해 가성비가 좋다"
효정밥상,지니,5.0,"짜지않고 맛있어요
밥에비벼 김에 싸먹으면 꿀맛입니다"
효정밥상,김한나,5.0,"수원사는데 울산시댁갈때마다 맨날가요~~
진짜 가성비 대박이고 양도많고 맛있어욤^^"
효정밥상,김혜경,4.0,"간장게장하면 생각나는 집
군더더기없는 맛
저렴한 가격에 간장게장을 배불리먹고 옴
다소 오래된 집같아보이지만 그만큰 연륜이 맛에서 느껴짐"
효정밥상,minjung kim,4.0,"맛있어요~~
밥 두 그릇 뚝딱. 나오는 밑반찬도 굳!
다 깨끗하게 클리어 했어요~ 저 반찬 두번 리필한거임"
효정밥상,심성보,4.0,간장게장맛집이라고하지만 개인별호불호가있은수있어나가겍만비싸고 머코나서후회함
효정밥상,김승용,4.0,"7000원할적엔 작은 게를 쓰다가 9000원인 지금은 게 사이즈가 조금 커짐
맛은 그냥저냥 간이 잘 안베어있을때가 많음
된장은 그냥 심심하게 먹어야함…"
효정밥상,이동화 (Matilda),4.0,게장을 못먹는 나로서는 평가가 어렵지만 데리고간 지인들은 기본 밥두공기 뚝딱!
효정밥상,SANGDON LIM,2.0,"가성비만 좋은듯입니다..
맛은 보통이하입니다..
된장찌개 이맛두 저맛두아닌 이상한맛..
댓글이 많은 이유는 가성비탓인듯.."
효정밥상,MG W,5.0,항상 저렴하고 맛있게 먹을수 있어서 가는곳
효정밥상,이영한,5.0,"가격대비 맛있고 양 진짜많아요
먹고나면 비린내가 좀 나니 장갑챙겨가세요 ㅋㅋ"
효정밥상,한예린,4.0,게장은 간장게장만 있는데 게장임에도 불구하고 전혀 짜지 않아요. 그리고 맛도 아주 깔끔합니다. 양도 많은 편이어서 밥 한 공기 뚝딱할 수 있습니다. 게장 먹고나면 식혜도 먹을 수 있어요. 게장 먹고 식혜로 입가심하면 최고입니다. 게장 먹으면 손이 더러워지기 마련인데 식당 출구에 손을 씻을 수 있도록 세면대가 마련되어있어 깔끔한 기분으로 나올 수가 있어요. 굳이 여수까지 멀리 가지 않고도 가까운 곳에서 맛있는 게장을 먹을 수 있어 좋아요
효정밥상,유영민,4.0,"게장정식이 유명하다고해서 몇번 가봤는데 게장이 좋게 말하면 짜지 않고 나쁘게 말하면 싱거워요ㅎ
된장찌개도 나오는데 역시나 싱겁더라고요
밑반찬은 집밥 느낌이에요"
효정밥상,서세실리아,3.0,"저렴한 가격으로 국산 간장게장을 먹을수있는곳
반찬,된장찌게등은 솔직히 맛이없고 간장게장만은
짜지않고 맛있음.…"
효정밥상,kijun baek,4.0,가격이 올랐네요 그래도 잘먹었습니다
효정밥상,youngho song,1.0,"게장에선 비린내가 너무나고 부족한 반찬  시키기도 어렵다. 종업원의 무뚝뚝함. 방 바닥에서 먹어야하는 불편함은 차지하고 생선구이도 너무 부실하다. 언제 구웠는지 말라버린 생선.  한 상에 하나 나오는 된장찌게는 4명이 먹기엔 턱없이 부족하고, 이 코로나 시국에 된장 들어 먹을 그릇도 주지 않는다. 들어 먹을 것 좀 주세요하니 큰 숟가락 두개를 준다....실소가 나온다. 앞 접시를 줘본 적도 없나 보다. 2명 이나 4명이나 같은…"
