place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
가지산,여름햇살,5.0,"계단과 가파른 길이 많아 힘은 들지만 정상에서 바라보는 영남알프스의 풍경 값으로는 치를만한 가치가 있습니다. 단, 석남터널에서 오르는 초입의 계단은 단 사이의 간격이 너무 높아 오를 때는 문제가 없지만, 원점회귀하는 등산객들에게는 무리가 있습니다.",,,,
가지산,Jayen Yang,5.0,"등린이 13번째 산행 다녀왔습니다.
영알! 영남 알프스!  밀양 가지산(100대 명산)을 다녀왔습니다. 코스는 석남터널에서 시작하여 등린이들도 어렵지않게 산행가능합니다.…",,,,
가지산,최정혜,4.0,"상양마을에서 올라가는 코스를 잡았구요.
마을에 주차장(십여대주차가능) 및 경로당화장실 이용이 가능했구.정상이나 올라가는 도중에 이용할만한 화장실은 없습니다.
올라가는도중 예쁜풍경들이 많았는데…",,,,
가지산,이창환,4.0,"가지산(1,240m)은 울산광역시 울주군과 경상남도 밀양시, 경상북도 청도군의 경계에 있는 산이다.
1979년 11월 5일에 도립공원으로 지정되었다. 동쪽 산기슭에는 신라 헌덕왕 16년에 도의국사가 창건했다는 석남사가 자리 잡고 있다,",,,,
가지산,TaeHwa Kwon,3.0,영남날프스 산중에 겨울 눈을 제일 자주 볼수 있는 산..,,,,
가지산,김원선,5.0,"100대명산 1240m
서울에서 당일코스로 들머리 고지700m 석남터널 우쯕으로
날머리석남사주차장…",,,,
가지산,J.K. Cho,4.0,울산 울주군 영남 알프스의 시작이자 태백산맥의 끝자락에 위치해 있는 1241m의 아름다운 산. 짧게는 석남터널쪽에서 오르거나 길게 밀양 얼음골방면 등산로을 이용하면 좋음,,,,
가지산,Terry Kang,5.0,"영남알프스 가지산.
높이는 1,241m이다. BAC명산 100.
석남터널 입구에 주차를 하고 오른다.…",,,,
가지산,taehee won,4.0,"영남알프스..
석남터널에서 가지산 정상 왕복 까지 4시간..
주변의 아름다운 산을 구경할수 있다.",,,,
가지산,이경규,4.0,"영남알프스 대표산. 1,241m로 영남알프스 1천미터이상 8산중 가장 높음. 옆에 상운산도 하산코스에 들러보는곳.",,,,
가지산,GT Cha,5.0,"낮다고 평할 수 없는 1240미터의 높이의 가지산 정상에는 사람들의 모습이 가득하다.  이렇게 정상에 도달한 사람들의 느낌은 무엇일까!
가슴이 탁트이는 웅장한 산세의 아름다움과 이렇게 정상에 섰다는 기쁨 그리고 땀 흘리며 몇번이고 정상이 얼마나 남았을까 되물으면서도 포기하지 않은 자신에 대한 뿌듯함이 아닐까!  왜 가지산일까?  아마도 가지가지의 생각을 더해 사람의 덕목을 키워주는 대장봉의 기쁨을 느낄수 있는 산이기…",,,,
가지산,Hyeoung do Kim,4.0,"영남알프스의 최고봉 해발1,240m.
낙동정맥 중 하나의 멋진 산.
귀바위, 쌀바위도 등산 중 볼거리입니다.",,,,
가지산,박철호,4.0,신불산 재약산과 비교할때 그나마 오르기가 수월한 곳... 수월한 능선길과 칼바람이 기억에 남음...중봉에서 바라보는 산정상,,,,
가지산,구름구름,4.0,"⛰상양복지회관 뒤 주차장(무료)~아랫재~운문산 정상~아랫재~가지산정상~석남터널(밀양방향)
🏃‍♀️약 12.8km
⏰ 6시간38분(휴식+점심 포함)…",,,,
가지산,Namsook Chung,5.0,"정상에서 바라본 우람한 산 봉우리,
맑은 하늘의 구름,
살며시 핀 억새,
옛날 시골집 마당의 빗자루 사리나무,",,,,
가지산,김현수,3.0,"수차례 걸쳐 가까운 산행으로 사랑하는 가지산.
오랜만에 야간 산행을 다녀왔네요. 확실히 정상은 추워요.
단단히 준비해서 산행 필요합니다.…",,,,
가지산,YOUNGKWANG KIM,5.0,"눈 왔다는 소식 듣고 다녀온 가지산..
역시나 설산은 최고입니다.",,,,
가지산,김용술,3.0,"눈이 귀한 울산, 눈 내린 가지산도 멋져요.",,,,
가지산,바람따라서,5.0,100대명산 영남알프스 가지산.그옆에 상운산,,,,
가지산,나마늘 (마늘),4.0,영남알프스에 있는 산.,,,,
가지산,jounghun ha,4.0,"경치가 훌륭했어요 날씨가 너무 좋왔구여
재방문의사 있습니다",,,,
가지산,제이오오엔,5.0,"석남 터널에서 1시간이면 정상까지 가능!
영알에서 가장 높은 봉우리
올라갈수록 발목 돌아가기 좋은 돌들이 좀 있으니 조심하도록!!",,,,
가지산,조봉규,5.0,가지산 중봉 전망좋은  곳,,,,
가지산,Sang Wook Han,5.0,탄성만이...,,,,
가지산,MyungIl Woo,5.0,철쭉이 너무 아름다운 산.,,,,
가지산,Dongman Lee,5.0,"1240m, 울산울주, 청도 영남알프스
6시간 내외의 산행시간",,,,
