place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
구영웰빙온천,Juhyeon Park,4.0,사우나 6천원에 저렴하게 다녀오기 좋은 것 같아요! 안에 물품도 현금을 놓고 가거나 계좌이체 할 수 있도록 해두어서 좋았습니다. 안에서 보이는 밖의 뷰도 멋져서 좋았습니다. 안에 사우나 퀄리티도 나쁘지 않았던 것 같아요~,,,,
구영웰빙온천,하띵,5.0,"자주가는곳. 세신 이모듵 짱. 좋음
시원 시원 ㅎ",,,,
구영웰빙온천,최규종,5.0,"오랜만에 다녀왔네요
물도 좋고 깨끗하네요",,,,
구영웰빙온천,mata hari,5.0,넓고 쾌적하고 깨끗한곳,,,,
구영웰빙온천,KAIN KIM,3.0,"온천수 사용하며 시설 자체는 괜찮습니다.
다만 2019년 3월 1일부터 목욕비가 1인 8천원으로 인상되었습니다.",,,,
구영웰빙온천,맹지연,5.0,사람도 너~무 많지 않고 시설도 괜찮아서 등산 후에 편하게 목욕을 즐길 수 있다. 또 사장님과 아주머니 모두 친절하시다.,,,,
구영웰빙온천,이이,4.0,헬스장 등 시설은 만족합니다. 그런데 오늘은 분뇨냄새 비슷한 냄새가 헬스장에 넓게 퍼져서 풍겨서 불편했어요.,,,,
구영웰빙온천,강현욱,1.0,사우나 8000원이던데 무슨 배짱인지 시설도 오래되서 넓은거 빼면 좋은거 없음,,,,
구영웰빙온천,김홍주,3.0,유용한 동네온천이며 깨끗합니다,,,,
구영웰빙온천,요엘박,5.0,목욕하며 바깥 풍경을 볼 수 있는것이 좋았다.,,,,
구영웰빙온천,정재은,4.0,넓어서 좋아요 오늘 사우나실은 온도가 좀 낮네요,,,,
구영웰빙온천,김세영,4.0,구영에서 가장 시설 좋은 목욕탕임 근데 헬스장은 기구들이 좀 오래된게 느껴짐,,,,
구영웰빙온천,서기식,1.0,트래이너 불친절로 다른 사람에게 절대 권한고 싶지않은 곳임~~,,,,
구영웰빙온천,김성엽,5.0,찡질방은 안하고 사우나는  괜찮아요.,,,,
구영웰빙온천,이동엽,5.0,굿,,,,
구영웰빙온천,밴로이,4.0,최근에 건식사우나 리모델링으로 좋긴한데 사우나만하는데 7000 가격이 좀 비쌈,,,,
구영웰빙온천,김태욱,1.0,"아이들이 목욕탕에 똥,오줌을 많이 싼다",,,,
구영웰빙온천,ryantwo chooii (northwind),3.0,"울주범서구영리소재한도심안의목욕탕
토 일요일은 많은손님으로복잡하고
시끄럽고지저분함 주차도불편",,,,
구영웰빙온천,열두시,5.0,오래되었지만 관리가 아주 잘되고 있음,,,,
구영웰빙온천,장홍길 (홍길동),5.0,철저한 방역 지킴이 있는 곳,,,,
구영웰빙온천,이동주,5.0,가격도 싸고 시설도 괜찮습니다!,,,,
구영웰빙온천,WY jeong,3.0,수질이 괜찮으나 시설은 노후되어 감,,,,
구영웰빙온천,Isaiah Park,3.0,개비싸지고 메리트 없음 단파장 찜질방 생기고 비싸짐,,,,
구영웰빙온천,SKY드론,3.0,시설이 낡았고 관리가 부족합니다,,,,
구영웰빙온천,seunghwi hwang,3.0,가격이 조금만 저렴했으면.,,,,
구영웰빙온천,서재현,5.0,물이좋아요,,,,
구영웰빙온천,박연호,3.0,"깨끗하고, 넓어서 좋음",,,,
구영웰빙온천,J google,4.0,동네 목욕탕임. 좋음,,,,
구영웰빙온천,김세진,2.0,아이코젠으로 다니는데 넘 비싸 ㅠㅠ,,,,
구영웰빙온천,최규종,4.0,깨끗하고 좋아요,,,,
구영웰빙온천,옹디스퀘,5.0,헬스장 목용탕 완전좋음,,,,
구영웰빙온천,변정률,5.0,좋아요 집에서 가까와요,,,,
구영웰빙온천,이홍주,5.0,정말 좋아요,,,,
구영웰빙온천,김윤경,5.0,물 좋아요.,,,,
