place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
만정헌,성낙모,2.0,"작은시골마을에 통나무 한옥을
예쁘게지어 청송민물매운탕
예쁘고 고풍스러운 그릇에 담뿍담아내고
주인의 예쁜 맘씨와 예의가 눈에띄임니ㅡ",,,,
만정헌,Pong K,3.0,지나다가  잠시 휴식차 둘러보며 한옥의 멋진 아름다움을 느낄 수 있었습니다,,,,
만정헌,소슬창희,4.0,잘 보전된 유적지 고택,,,,
만정헌,鄭龍謨,3.0,비워져있지 않고 사람이 살고있답니다.,,,,
만정헌,김김기철,3.0,,,,,
만정헌,철이없는 철이의현대차 퇴직생활,5.0,,,,,
만정헌,미소유,5.0,,,,,
만정헌,이광남,4.0,,,,,
만정헌,이재관 (부산모텔중개 꿈틀이),5.0,,,,,
만정헌,이경순,5.0,,,,,
만정헌,성낙모,2.0,"작은시골마을에 통나무 한옥을
예쁘게지어 청송민물매운탕
예쁘고 고풍스러운 그릇에 담뿍담아내고
주인의 예쁜 맘씨와 예의가 눈에띄임니ㅡ",,,,
만정헌,Pong K,3.0,지나다가  잠시 휴식차 둘러보며 한옥의 멋진 아름다움을 느낄 수 있었습니다,,,,
만정헌,소슬창희,4.0,잘 보전된 유적지 고택,,,,
만정헌,鄭龍謨,3.0,비워져있지 않고 사람이 살고있답니다.,,,,
만정헌,김김기철,3.0,,,,,
만정헌,철이없는 철이의현대차 퇴직생활,5.0,,,,,
만정헌,미소유,5.0,,,,,
만정헌,이광남,4.0,,,,,
만정헌,이재관 (부산모텔중개 꿈틀이),5.0,,,,,
만정헌,이경순,5.0,,,,,
만정헌,김영욱180523폰변경,5.0,15세기 중엽 경주김씨이조 중종때 지어진 문화제울산 4대 지방문화제 중 하나1700년대 중수되어 지금까지 82세 종손 김락기씨가 사랑채인 만정헌에 기거하며 집안을 잘 관리하고 있읍니다.말벗이 필요한듯해요만정헌 바로 앞현종손의 11대 조모 열녀비(정여)가 있다.,0.0,0.0,0.0,0.0
