place_id,user_id,score,comment
매곡천,김은화 (은아),5,"산책 하기 좋은곳 입니다
주변환경이  아름다워요
특히 밤에 더욱아름다워요"
매곡천,두혜진,5,"2022. 7. 22. (금) 18:00
농소1동 주민총회 개최"
매곡천,황동규,5,산책하고 간단한 운동하기 좋음
매곡천,사공승환,5,일주일에 3~4번정도 1시간씩 운동 하러 다니는데 시설이 깨끗하고 좋아요
매곡천,김지영,4,언제든지운동하기좋은곳이고가족애가그립다면얼른가보세요작은꽃도아주정겨움이가는곳이고하늘과자연을맘끽할수있죠아파트보기에는하늘이넓지않잖아요  꼭오세요!!삼잎국화활짝필때는꼭오세요
매곡천,홍경용 (꼬마신랑),4,"저녁시간 운동 하기엔 최고 인듯.
7시부터 9시30분까지 음악과 분수, 조명이 좋다는.."
매곡천,남영란,5,저녁에 산책하기 너무 좋아요~^^
매곡천,임성혁,5,옛날엔 정월대보름에 행사도하고 그랬는데 요새는 그런건 없고 대신에 괜찮은 산책로가 된 것 같습니다.
매곡천,김준태,3,슼책하기 좋아요
매곡천,홍학기,2,개똥양심들 많아서 널린게개똥 .연늠벌초한 잔디위깍긴풀방치 지저분 주치장담배꽁초와쓰레기쌓였음
매곡천,박선진,5,아들들과 같이 산책겸 운동하기 좋아요
매곡천,챠챠밍,3,몇년전 태풍 피해를 입었는데 아직도 보수작업은 안하고 엉뚱한 것만 하고있음
매곡천,윤미니영이맘,4,매곡천 공원인데 인공수로 분수대와 산책로가 더 메인인곳
매곡천,성기석,5,운동 야경 분수 3박자 최고
매곡천,김춘수,5,좋은 장소 입니다.
매곡천,가수오재식tv 울산시내버스18년 무사고승무원,4,조경 야경 아주좋아요 최고입니다 감사합니다
매곡천,태호아빠TV,5,예쁜 조명과 냇물이 공존하는 천
매곡천,쿠킹아트,5,10시  분수가 꺼져서 아쉬웠어요
매곡천,권승준,4,잘 정돈되어있어 걷기좋음
매곡천,사공슈터,4,산책하기 좋아요
매곡천,이병진,3,아침 산책 길
매곡천,김노수,1,운동
매곡천,최경미,5,좋아요
매곡천,yuno yo,5,조아요
매곡천,Sodikun,5,run the best
매곡천,김영준,4,
매곡천,suwandi Nanang,5,Very beautifull
매곡천,임태윤주경,5,
매곡천,임지니어스,4,
매곡천,김민성,5,
매곡천,손권호,5,
매곡천,김성호,4,
매곡천,민연희,1,
매곡천,yeonah choi,5,
매곡천,김도윤,4,
매곡천,꼬리별,5,
매곡천,TERMINATOR 2,3,
매곡천,최영철,4,
매곡천,혀니유니맘,2,
매곡천,KyoungSun Yang,5,
매곡천,정득택,5,
매곡천,swatper,5,
매곡천,김인호 남아에 와,4,
매곡천,mira jung,4,
