place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
문수힐링피크닉장,이창환,4.0,"문수힐링 피크닉장
좋아요
맑은 하늘 아래 펼쳐진 아름다운 풍경 속에서
맛있게 삼겹살 구워 먹고 왔어요",,,,
문수힐링피크닉장,김권성,5.0,"멀리 갈 필요 없는 울산시민의 힐링 바베큐장

불판은 들고가야하며…",,,,
문수힐링피크닉장,최장군,4.0,"주차장이 없다는것과 화로관리가 안되는점 말고는 다 만족입니다.
길거리 불법주차 또는 양궁장 유료(무료시간 알아보세요)주차장 이용,
화로는 숯만 치우는듯 합니다. 끈적끈적해요.",,,,
문수힐링피크닉장,심재훈,5.0,"가격도 싸고
도심에서 캠핑분위기의 감성을 느끼기 좋은 곳입니다.
강추합니다.",,,,
문수힐링피크닉장,IM K,5.0,언제가도 너무 좋은 곳. 바베큐 해먹기 최고의 장소,,,,
문수힐링피크닉장,이강훈,5.0,피크닉하기 좋아요. 지금은 코로나로 가족까지 4명만 가능합니다.,,,,
문수힐링피크닉장,bora kim,4.0,"모든걸 다 준비해서 가면 재밌게 즐길수 있습니다.
다만 쓰레기를 처리하는 곳이 없기때문에 다 되가져가셔야 합니다.",,,,
문수힐링피크닉장,Hyun Soo Park,4.0,가성비 좋게 캠핑 느낌을 낼 수 있는 곳,,,,
문수힐링피크닉장,김지영,5.0,"바베큐도 즐기고 산책길도 있고 도심속에서 바베큐, 캠핑 분위기!",,,,
문수힐링피크닉장,TV모서리,4.0,"관리하시는 분도 너무 친절하시고 주변도 깨끗합니다. 너무 좋아요. 여름철 모기, 벌레는 조심하셔야해요!!",,,,
문수힐링피크닉장,Cooper Again,4.0,간단히 고기 굽어 먹기는 좋아요. 추천합니다.,,,,
문수힐링피크닉장,김푸른바다,4.0,캠핑의 바베큐분위기만 따로 떼어 즐기고싶다면 여기추천,,,,
문수힐링피크닉장,엄청빠른달팽이,5.0,아이들이 놀수있는 공간도있고 산책로도있어 친목을 도모하기 좋은장소임,,,,
문수힐링피크닉장,YOUNG MI SHIN,4.0,문수경기장 근처에 위치하고 있어 접근성도 좋고 날씨 화창한 날  좋은분들과 함께하고 싶을 때 맛있는 것 먹으면서 담소 나누기 너무 좋네요.이가을 캠핑장 바로 주위에 단풍구경 하기에도 딱인듯해요! 바베큐 시설도 나름 잘 관리되고 있고 화장실도 바로 근처에 다 있어요. 조금 아쉬운점은 근처 장볼때가 없어서 장을 미리 봐서 와야하고  먹고 난뒤 쓰레기는 다 회수해 가셔야 한다는 점이 조금 아쉽네요!,,,,
문수힐링피크닉장,우기후기,5.0,"캠핑을 주로 다녔으나, 만원이라는 가격에 4시간을 캠핑의 꽃인 바베큐 파티와 함께 보내고 올수있다면 이만한 곳도 없다.
관리도 깔끔하고 너무 넘치지도 적지도 않은 사이트수. 개수대도 깔끔 화장실도 깔끔.
캠핑대란인 요즘 예약만 가능하다면
짧은 시간 지인/가족과 함께하기 좋은장소",,,,
문수힐링피크닉장,Beomjin Cho,5.0,산책길도 있고 물도  있고 기대이상으로 너무 좋아요,,,,
문수힐링피크닉장,오재화,5.0,가족과 연인끼리 방문하기 좋습니다. 주차불편,,,,
문수힐링피크닉장,신엣지,5.0,시설도 좋고 분위기도 아주 좋음,,,,
문수힐링피크닉장,와우와우,4.0,산쪽 밑이라 공기도 좋고 시설도 깔끔하고 가족과 놀러가기 좋아요,,,,
문수힐링피크닉장,Kim Na Hyun,4.0,"세가족 총 9명 여약하고 방문했어요~예약제로 이뤄지니 인터넷으로 미리 예약해야 해요~개수대, 화장실 깨끗하구요~가격도 쌉니다. 하루 두 타임  예약할 수 있는데, 저희는 열시부터~밤까지 쭉 두타임 예약해서 고기 구워먹고 놀다왔어요~뒷편에 산책로,등산로 잘 되어 있어요~~",,,,
문수힐링피크닉장,이경민,5.0,"짱짱 좋음.
가족이든 친구든 연인이든 누구와도 좋은 기억을 남길수 있음.
쓰레기는 100% 회수해야함.
숯과 불판 망 제외",,,,
문수힐링피크닉장,김선영,5.0,"울산에 이런곳이 있다니 참 좋아요
남구시민이면 1인1테이블 예약 @7000 원에
자연과 함께 고기도 생선도 구워 먹고…",,,,
문수힐링피크닉장,심성보,5.0,도심속에서 절재된 충만,,,,
문수힐링피크닉장,김정환,4.0,"간편하게 즐길수 있는 피크닉장.
그늘이 있는곳과 없는곳을 미리 알아보고 가면 좋아요
가지고 온 쓰레기 외 음식쓰래기도 가져가야해서 남는 쓰레기를 챙길 수 있는 봉투나 음식쓰레기통이 꼭 필요합니다",,,,
문수힐링피크닉장,박상훈,4.0,간단히 고기나 야외 시설이 있어 나들이 가기에 유리  다만 주차 시설과 쓰레기는 각자 치워야하며 국물류 라면을 들고 가지 않는게 포인트 가격은 만원 남구민은 30프로할인. 7천원,,,,
문수힐링피크닉장,배영란,4.0,도시속 이런 장소가있다 는게  참좋았어요~,,,,
문수힐링피크닉장,김김진혁,5.0,아이들과 주말나들이로 좋은 장소인 것 같애요.,,,,
문수힐링피크닉장,seokjin jeong,5.0,야 자연에 고기는 진리지,,,,
