place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
박상진의사 생가,김형석,3.0,"깨끗한 주변 환경과 생가와 잘어울려 좋음
주차장이 주변 주민들이 주차하여 방문객은 주차불가 합니다.
주변도로가 주차금지 지역이라 구청에서 조치가 필요합니다.",,,,
박상진의사 생가,Saeyun Kim,4.0,깔끔하게 정리되어 둘러보기 편했는데 좀 인위적이랄까 어색함이랄까 그런게 느껴져서 쪼끔 아쉽네요. 해설사분들이 계시던데 한번 들어보고도 싶네요.,,,,
박상진의사 생가,Donggeun LEE,5.0,"고헌박상진 의사 생가를 다녀 왔습니다.
제가 사는곳에 바로 옆에 있지만 근처에만
지나다니다가 처음으로 고헌박상진 의사 생가안까지…",,,,
박상진의사 생가,byungsung lim,4.0,대한광복회 총사령역임 독립운동으로 많은 업적을 남겼고 38세에 형무소에서 사형으로 순국함. 우리의 자랑스런  민족정기의 얼을 되세겨 봅니다.,,,,
박상진의사 생가,이현정,5.0,예쁜 공원처럼 구성해놓았네요~~ 역사적 의미가 깊은곳이라 아이들과 산책하기 좋아요.,,,,
박상진의사 생가,메기,4.0,생가 안에 각종 자재를 방치해놓은 것 빼고는 좋아요,,,,
박상진의사 생가,김선환,5.0,"한적하고 조용하네요
아는 분들만 오는것 같아 아쉽네요",,,,
박상진의사 생가,변상복,5.0,누구든 한번은 생가를 방문하여 박상진 의사의 삶을 느껴보았으면 합니다.,,,,
박상진의사 생가,돌팔이,5.0,독립의사의 태생을 기리는 곳으로 공원같이 잘 가꾸어서 놓아서 후세들과 시민들이 많이 방문하였으면 좋겠네요,,,,
박상진의사 생가,파란만장신짱,5.0,아이들과 한번쯤은 가볼만한곳~,,,,
박상진의사 생가,박윤영,5.0,가까운 곳에 있으면서 못가봤는데 멋지고 조용하더군요. 박상진 의사의 생이 어땠을지...힘드셨기도 힘나기도 했을텐데 가보니 참 멋진 분이셨네요...볼만합니다.,,,,
박상진의사 생가,bogeun cha,5.0,박상진의사의 공헌과 애국심에 큰 감동이 있어요...,,,,
박상진의사 생가,김진혁,4.0,문화공연 자주해주세요^^,,,,
박상진의사 생가,Doyeong Hong,5.0,"1)대한민국인이라면 한번은 꼭 방문해 봐야 할 의사의 생가. 의사를 성장시키고, 의로운 생각을 잉태시킨 마을의 모습은  도시개발로 온데간데 없이 사라지고...집 만이 남아 의사의 생가였음을 확인 시키고 있다. 논과 밭에 비하여 집의 위치가 높아 안정감을 주던 개발전 의사의 생가는 평지로 변하고 주변 고층아파트의 위새에 눌려 외롭게 보인다. 눈이며, 밭이며 마루에 서서 내려다 보게 하였을 완만한 경사는 없어지고..…",,,,
박상진의사 생가,권용덕,1.0,광복회 총사령관 진정한 국가.민족관을 알려준 영웅 입니다,,,,
박상진의사 생가,최규찬,5.0,"박상진의사 본가는 송정동에 있읍니다,가보니 경관이 아주
아름다위고 본가도 정축도하고
참좋아요,",,,,
박상진의사 생가,왕오케이,5.0,주변도 잘 정돈되어 있고 소공원 같은느낌 접근성도좋고 어린이데리고 역사공부하기좋은곳,,,,
박상진의사 생가,대한민국국민,4.0,공사 중입니다 당분간은 패스!!,,,,
박상진의사 생가,백경호,1.0,아직 공사중이라 볼것은 없네요 .,,,,
