place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
발리온천개발,져니_Journey,5.0,"방이 2만원 3만원 4만원 있습니다
주말은 2시간 평일은 2시간30분 시간제한있구요
2만원은 보통욕조 3만원부터는 대형욕조입니다…",,,,
발리온천개발,박한곤,5.0,물이 아주좋아요. 목욕가실때는 발리온천으로 가세요. 강력 추천합니다.,,,,
발리온천개발,김민철,4.0,"알카리성 온천수 좋고ㆍ탕 시설도 쾌적하며 주차장 넓습니다. 온천  후, 휴식할 수있는 연못, 벤치도 있어요
온천이외 수영, 물놀이 공간도 있습니다.",,,,
발리온천개발,허나경,5.0,"물이 따뜻하고 피부에 좋고
넓고 여러 탕을 경험할 수 있어 좋았습니다",,,,
발리온천개발,최정은,5.0,발리 온천에서 씻고 나오면 한 일주일은 몸이 매끌매끌 합니다~목욕탕안이 답답하지도 않고 편하게 씻고 왔어요~사우나 하시는분들이 샤워자리 맞아두고 있어서 앉을곳이 좀 부족해요~,,,,
발리온천개발,조강지부 조팀장,5.0,"새해 일출볼라고 갔음
12만원 가족탕, 새해 마지막날
방은 기대안해서 그닥…",,,,
발리온천개발,이상범,5.0,"라돈온천이라서 조금 걱정했는데 인체에 미세해서 걱정없다네요
물도 좋고 넘 조은 하루였슴다",,,,
발리온천개발,개달리다,5.0,미끌 미끌 물 윽수좋음,,,,
발리온천개발,김경환,4.0,가족탕이용 물이 미끈미끈한게 좋아요,,,,
발리온천개발,Brandon Kor,3.0,물이 좋아요 가격도 저렴한데 빨리 코비드가 사라졌으면... 3만원 방은 월풀 2만원 방은 일반 욕조입니다.,,,,
발리온천개발,최정우,4.0,물이 미끌거리고 좋아요. 시설이 조금 오래된듯 하지만 깨끗하게 질 관리되고 있어요. 물놀이시설은  사진보다는 좀 작아요,,,,
발리온천개발,박정애,3.0,여탕 등밀이  기계만 있고 개인용 타올을 사용하라는데  그 기계용 타올을 가지고 다니라는  목욕탕은  처음 본다.,,,,
발리온천개발,곤이진이,1.0,가족탕 이용하는데 몇번 느낀거지만 저녁에 카운터 아저씨 친절응대는 기대도 안한다! 짜증은 안내야 될거 아님? 사람 민망하게 짜증을 내는데 안타깝드라! 그러니 피하게 되더군... 부디 친절응대는 필요 없으니 최소한 사람 민망하게 짜증내는건 좀 알고 사시길...,,,,
발리온천개발,김희준,4.0,"수질에 비해 시설이 낙후되어 안타깝습니다
전국 어느 유명온천과 비교해도 뒤떨어지지 않을
만큼 양질의 온천입니다",,,,
발리온천개발,최태규,5.0,"천연암반수미네랄이라피로가확풀리고
화학약품을사용하지않아물마셔도인체
해가없고샴푸나비누를사용하지않아도
몸이 미끌그려요.아주 최고예요",,,,
발리온천개발,한보섭,4.0,물은정말좋아요 시설은 조금 아쉬움,,,,
발리온천개발,이승렬,3.0,시설 노후 물은 좋아요,,,,
발리온천개발,김영은,5.0,"꺼끗하고 좋아요~
물도 좋구요~",,,,
발리온천개발,이창환,4.0,"넓은 주차장에 주차를 하고
온천수에 온천욕을 즐길 수 있어서
좋아요…",,,,
발리온천개발,김은경기능장요리학원,4.0,시설은 보통이나 물이 좋음,,,,
발리온천개발,최정우,3.0,울산과 부산이 가까운 온양(남창)에 있는 온천탕..시설은 세월이 묻었지만 수질은 좋은듯하네요,,,,
발리온천개발,김준현,5.0,"물이 매끄럽고 좋아요.
울산 내 온천은 여기가 최고인듯",,,,
발리온천개발,만성피로 (낭만똥띠),5.0,"딸과 둘이서 잘 쉬었다 왔습니다
물이 미끌미끌~~",,,,
발리온천개발,Allen Shin,5.0,가족온천및 아이들 놀기도 좋고 옆에 스컹크웍스라는 커피숍도 3개의 맛중 원두맛을고를수있어 좋다,,,,
발리온천개발,김승숙,5.0,물은 말할꺼없이 좋아요~몇년만에 갔는데 예전이랑 다르네요....개운하게 목욕하고 갑니다~,,,,
발리온천개발,김화숙,5.0,물도 깨끗하고 나라시 이모도 잘 밀어주시고,,,,
발리온천개발,Youn Lee,5.0,물이 좋아요~,,,,
발리온천개발,원빠이,4.0,가족탕에 다녀왔습니다. 최근 리모델링을 했지만 세월의 흔적을 지울수는 없는것 같았습니다. 하지만 물하나는 정말 좋습니다. 알카리수로 씻고나면 온몸이 매끈해지고 피부염에도 좋고 아토피도 한동안은 걱정하지 않아도 될듯합니다.,,,,
발리온천개발,윤명주 (공울림),4.0,"일단 시설은 오래된곳은 맞습니다.
그래도 목간 청소는 잘하는것같네요.
물은 좋은거 같습니다.…",,,,
발리온천개발,박준석,5.0,수질이 정말 좋습니다.,,,,
발리온천개발,김용훈,3.0,"수질이 좋다는건... 바로 느껴지지만... 리모델링이 시급하다는것도 바로 느낍니다.
가까이에 있다면 물 때문에 종종 이용하겠지만, 멀리서 찾아가기엔 글쎄요~~
이곳저곳 부분적으로 공사중이긴 하던데...",,,,
발리온천개발,피터팬,5.0,"온천물이 정말좋습니다.
알카리성 온천수이다 보니깐 물이 미끌미끌
비누칠을 안해도 될정도로 피부가 보들보들한 느낌이 정말 좋습니다.
가족탕도 별도로 운영하고있어서 가족끼리 방문도 정말좋을것같습니다.",,,,
발리온천개발,Mago Mago,3.0,"가족탕으로 말씀드리면
탕과 객실 모두 넓고
리모델링도 잘됐고…",,,,
발리온천개발,최영수,5.0,조금 오래되긴했지만 온천물이좋고 내부가 넓어서 가족끼리 다녀오기좋은곳이예요.아주뜨끈뜨끈하니 쥑입니다~ㅎㅎ,,,,
발리온천개발,barbie,4.0,"목욕탕을 갈 수 없어서
가족탕 갔었는데,
물은 진짜 좋아요~…",,,,
발리온천개발,2윤기내가,5.0,발리온천에 가면 가족탕이 있어요 그곳에서 목욕을 하고오면 항상 피부가 보들보들 매끈매끈 너무 부드러워진답니다 숙박도 가능하구 욕실도 넓어 전혀 불편함도 없어요 주위에 음식점도 많구 전 다녀올때마다 항상 만족하고 오는곳중 한곳이랍니다,,,,
발리온천개발,김준영,4.0,"성인 7천원이고 많은 사람들이 있다.
주차공간은 넓지만 차들이 많기에 운이 없다면 난항을 겪을 수도 있다. 물이 좋다. 단맛이 난다.",,,,
발리온천개발,N하나,5.0,가족탕을 이용했습니다. 다른 사람과 함께 들어가는 것이 아닌 온천물이 나오는 모텔 이라고 생각하면 편합니다. 온천수 영향인지 전체적으로 공기도 따뜻해서 편찮으신 어머니도 다리나 어깨가 덜 아프다고 좋아하시네요. 성인3명 2인기준 6만원 추가 7천원 해서 입장료 37000원. 샴푸나 바디워시 같은 세면도구는 별도구매입니다.(현금구매품목)…,,,,
발리온천개발,이동훈,3.0,알카리물이라 미끈거립니다. 다만 비누수건에 냄새가 납니다,,,,
발리온천개발,Han (A.H.Han),5.0,울산 내외의 목욕탕?(온천)중에선 내부시설은 오래되었지만..물은 최고인듯! 최근 리모델링으로 엘베도 있음... 리모델링된거처럼 다른곳도 모델링하면...정말 멋진온천이 될듯,,,,
발리온천개발,정성진,5.0,"가족끼리 따듯하게 쉬러가기 좋은곳...
탕도 넓고  깨끗하고,
옆에 눈썰매도 있고... 간절곶까지도 가깝고..…",,,,
발리온천개발,이돌석,5.0,"온천물 이 좋아요
목욕탕도 크니다",,,,
발리온천개발,박택견,5.0,애가좋아해서종종갑니다.,,,,
발리온천개발,황성대,3.0,오랜전통을 갖고있는 지하온천수을 이용하는 온천으로써  매끄러운 물이 일품이다.,,,,
발리온천개발,서운자,2.0,물받고 목욕하려면 시간이부족 합니다 옷입으려하면 재촉 전화가 오네요 때닦는 매트도 곰팡이가 까맣게 있고 청결도 신경 쓰셔야할듯 쓰레기통에 전사람 쓴것이 그대로 있고ㅠㅠ...,,,,
발리온천개발,김세열,4.0,시설은 낡았지만 수질은 최고입니다 일요일이나 공휴일은 사람이 넘 많아요 한적한 평일을 이용하세요,,,,
발리온천개발,글범석,1.0,"뭔 눈썰매장이야 부직포 미끄럼틀장이라고 개명해라
남쪽이라 인공눈 만들어 놔도 녹는다고 변명할거면 문 닫아라 그냥..
환불할 생각도 안든다…",,,,
발리온천개발,유승관,5.0,"가족탕이 있는곳.
시설은 노후하지만 온천물이 좋은곳
샤워할태부터 느낌....
사람 많아지면 곤란한데. ...",,,,
발리온천개발,김석주,5.0,시설은 노후됫어나 수질은 아마도 전국에서 손꼽을거임 온천을 즐기시는 분은 꼭한번 방문하길 추천함,,,,
발리온천개발,김연두,5.0,C19로 대중목욕탕들이 휴업중이지만 천연온천수로 시민들을 너그러이 씻어주는 나이많은 온천장ㆍ참. 좋타.,,,,
발리온천개발,김은희,4.0,"물이좋아요
탕이커서 목욕하고 한숨자다나오기좋아요",,,,
