place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
봉대산,의식의흐름,1.0,초등학생때 울산살았었음. 쓰레기,,,,
봉대산,윤성호,3.0,"이곳은 울산동구에 위치해있는곳
봉대산입니다
정상위에오르면 주전방향 전바다가를…",,,,
봉대산,손정호,5.0,봉호사절앞입니다,,,,
봉대산,이지한,4.0,MTB 라이더라면 한번은 가볼만한 곳,,,,
봉대산,Jongsung Park,4.0,바다 전마이 있는 절이라 좋음,,,,
봉대산,김종선,5.0,산책하기 참 좋은 봉대산 함 오세요?,,,,
봉대산,장규석,5.0,전망 정말 최고봉입니다,,,,
봉대산,초록물소리,3.0,산책하기 좋아요.,,,,
봉대산,김진식,4.0,등산,,,,
봉대산,송진홍,5.0,,,,,
봉대산,강경렬,1.0,,,,,
봉대산,bagu sun,5.0,,,,,
봉대산,하나씩,4.0,,,,,
봉대산,진성훈,5.0,,,,,
봉대산,남충우,5.0,,,,,
봉대산,oo K,5.0,,,,,
봉대산,박원복,5.0,,,,,
봉대산,Jong Mok Kang,4.0,,,,,
봉대산,남진우,3.0,,,,,
봉대산,양재언,4.0,,,,,
봉대산,이상훈,4.0,,,,,
봉대산,천은자,1.0,,,,,
봉대산,황동훈,5.0,,,,,
봉대산,스에네스,5.0,,,,,
봉대산,이상민,4.0,,,,,
봉대산,H D,3.0,,,,,
봉대산,의식의흐름,1.0,초등학생때 울산살았었음. 쓰레기,,,,
봉대산,윤성호,3.0,"이곳은 울산동구에 위치해있는곳
봉대산입니다
정상위에오르면 주전방향 전바다가를…",,,,
봉대산,손정호,5.0,봉호사절앞입니다,,,,
봉대산,이지한,4.0,MTB 라이더라면 한번은 가볼만한 곳,,,,
봉대산,Jongsung Park,4.0,바다 전마이 있는 절이라 좋음,,,,
봉대산,김종선,5.0,산책하기 참 좋은 봉대산 함 오세요?,,,,
봉대산,장규석,5.0,전망 정말 최고봉입니다,,,,
봉대산,초록물소리,3.0,산책하기 좋아요.,,,,
봉대산,김진식,4.0,등산,,,,
봉대산,송진홍,5.0,,,,,
봉대산,강경렬,1.0,,,,,
봉대산,bagu sun,5.0,,,,,
봉대산,하나씩,4.0,,,,,
봉대산,진성훈,5.0,,,,,
봉대산,남충우,5.0,,,,,
봉대산,oo K,5.0,,,,,
봉대산,박원복,5.0,,,,,
봉대산,Jong Mok Kang,4.0,,,,,
봉대산,남진우,3.0,,,,,
봉대산,양재언,4.0,,,,,
봉대산,이상훈,4.0,,,,,
봉대산,천은자,1.0,,,,,
봉대산,황동훈,5.0,,,,,
봉대산,스에네스,5.0,,,,,
봉대산,이상민,4.0,,,,,
봉대산,H D,3.0,,,,,
봉대산,의식의흐름,1.0,초등학생때 울산살았었음. 쓰레기,,,,
봉대산,윤성호,3.0,"이곳은 울산동구에 위치해있는곳
봉대산입니다
정상위에오르면 주전방향 전바다가를…",,,,
봉대산,손정호,5.0,봉호사절앞입니다,,,,
봉대산,이지한,4.0,MTB 라이더라면 한번은 가볼만한 곳,,,,
봉대산,Jongsung Park,4.0,바다 전마이 있는 절이라 좋음,,,,
봉대산,김종선,5.0,산책하기 참 좋은 봉대산 함 오세요?,,,,
봉대산,장규석,5.0,전망 정말 최고봉입니다,,,,
봉대산,초록물소리,3.0,산책하기 좋아요.,,,,
봉대산,김진식,4.0,등산,,,,
봉대산,송진홍,5.0,,,,,
봉대산,강경렬,1.0,,,,,
봉대산,bagu sun,5.0,,,,,
봉대산,하나씩,4.0,,,,,
봉대산,진성훈,5.0,,,,,
봉대산,남충우,5.0,,,,,
봉대산,oo K,5.0,,,,,
봉대산,박원복,5.0,,,,,
봉대산,Jong Mok Kang,4.0,,,,,
봉대산,남진우,3.0,,,,,
봉대산,양재언,4.0,,,,,
봉대산,이상훈,4.0,,,,,
봉대산,천은자,1.0,,,,,
봉대산,황동훈,5.0,,,,,
봉대산,스에네스,5.0,,,,,
봉대산,이상민,4.0,,,,,
봉대산,H D,3.0,,,,,
봉대산,정진호,1.0,,0.0,0.0,0.0,0.0
