place_id,user_id,score,comment
봉화산,동승,5,"조용히 한번 올라갔다오기 좋아요.

밑에 있는 절에 고양이랑 강아지도 귀여움"
봉화산,바코네제이크,2,"봉하마을 노무현 전 대통령 생가 뒷편에 있는 낮은 산으로 쉽게 정상까지 올라갈 수 있다. 산 정상에서는 봉하마을의 전경, 낙동강의 일부 등을 볼 수 있으나 산 자체의 뷰가 그리 아름답지는 않다. 단, 봉하마을에 갔을 때 시간이 남을 경우에는 올라갔다 와 볼 만 하다."
봉화산,허수,3,"해발 140m 나즈막한 산이지만 정상에 오르면 호미든관음상이 온화한 표정으로 동서남북을 내려다 보고 있고, 산아래 고 노무현생가가 있는 봉하마을이 소담스럽게 앉아 있다.
봉화산은 해발은 낮지만 경사도가 심할뿐만 아니라 온통 바위산이라 등산하는 사람도 드물었다고 한다. 정상에서 내려오면 좌측은 자암…"
봉화산,SSON (쏜),3,무거운 곳이지만 가볍게 올라갔다 내려올수 있는 코스
봉화산,그건 아니였어,5,이곳은 5월23일날에는 유독 중력이 6배로 강해집니다 그점 참고하고 가세요^^
봉화산,엘랑타는남자,5,우흥
봉화산,Hyunwook Kim,3,봉하마을 봉화산 부엉이바위
봉화산,Love U,5,야~ 기분좋다!
봉화산,박승현,5,그립습니다 무현노..
봉화산,jin kim,5,가슴이 울컥한곳 ㅠ
봉화산,이창호,1,이런 일베 자식들 ㅋㅋㅋㅋ
봉화산,길상당구클럽김호연,5,한번 가 보이소
봉화산,et e,1,
봉화산,쿠키파파,4,
봉화산,뿌뿌,5,
봉화산,Il Fenomeno,5,
봉화산,김알렉시스,5,
봉화산,김상영,4,
