place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
서생포왜성,Jongyoun LIM,5.0,"근처에 갔다가 우연히 들렀는데 정말 좋았습니다. 친절하시고 박식하신 해설사님의 재미있는 이야기를 무료로 들을 수 있습니다! (해설사님께 요청하시면 됩니다. 제가 해설사님 허락을 받고 그 분 사진도 같이 올려두었습니다.) 얼른 보면 돌밖에 없네 할 수 있는데요 서생포왜성의 규모나 역사적 기원, 그리고 전쟁 이후의 이야기 등등 듣고나서 넓은 현장을 직접 돌아보면 정말 재미있고, 이것저것 많은 생각을 해보게 되었습니다. 비록 12월…",,,,
서생포왜성,한덕수,5.0,"한국에 남아있는 왜성중
가장보존상태 좋은곳
안타까운점은. 주변 농경지를
정리하여 보존을 더잘했으면 하는 아쉬움이 남음",,,,
서생포왜성,김지은,5.0,"가을이 머문 동네를 마음껏 감상했습니다
주말에도 불구하고 한적해서 너무 좋았어요
산책하기엔 조금 험하지만 60대 후반인 엄마도 거뜬하게 걸을 수 있는 수준이에요
다음엔 마실 수 있는 음료와 먹거리 좀 들고 가서 풍경보며 먹으면 꿀맛일 것 같아요",,,,
서생포왜성,darkeryue,4.0,가토 기요마사가 축성한 왜성으로 위에 올라가보면 주변이 한 눈에 보이는 곳이고 축성 당시에는 바다로도 바로 나갈 수 있는 곳이라 축성의 이유를 잘 알수 있는 곳. 현재는 조금씩 허물어지고 있는 곳을 수리중인데 보수를 해서 훗날 많은 사람들에게 알려지면 좋은 곳. 구마모토성이나 전쟁 후 유학을 공부했다는 이야기 등 이런 이야기로 울산과의 관계를 잘 알려서 역사를 냉정하고 정확하게 볼 수 있는 곳이 되면 좋겠다.,,,,
서생포왜성,Dongman Lee,5.0,"일본놈들이 임진왜란 때 만들었다는 왜성. 약 130m 산정에 특이한 방식으로 축성한 성이다. 회야강이 옆으로 흐르고, 진하 해변이 바로 앞에, 멀리 울산항이 모구 보이는 곳이다. 전망이 좋다.",,,,
서생포왜성,권영규,5.0,숨은 벚꽃명소 로서 가까운 곳에 진하해수욕장. 간절곶 울산과 일광여행을 당일 할 수 있었서 좋아요,,,,
서생포왜성,백정현,5.0,벗꽃피고 질무렵즈음 완전 환상적인 분위기입니다 올라가는게 아이들한테는 조금 힘들수 있긴하지만 올라가보면 정말 좋아요 나무들이 인공적으로 심어진게아니고 자연스럽게 자라서인지 풍경이 정말 좋습니다,,,,
서생포왜성,지지성,4.0,침략의 역사.. 그리고 시원한 바다.. 다만 내비를 그대로 믿지마세요.. 엉뚱한 곳으로 끌고 갑니다. 그리고 도로로 나올 때 신호가 없어요. 사고나기 딱 좋습니다,,,,
서생포왜성,신현욱,5.0,"벗꽃 보려면 3월 말에서 4월초에 가야합니다
주차장이 새로 생겼는데 기존주차장 길을 알면 거기에 주차하는게 덜 번거롭습니다",,,,
서생포왜성,Shelden LEE,5.0,간단히 산책하기 좋았습니다. 벚꽃이 핀다면 더 예쁠거같아요!!~,,,,
