place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
선바위,허수,4.0,"경상북도 청도 억산에서 발현하
는 태화강 물줄기가 고헌과 신불
산, 언양 물줄기와 합치고 치술령…",,,,
선바위,Smile Godbless,5.0,"주차하고 내리는데
맞은편 도로가에 나무와 노오란 꽃들이 😍…",,,,
선바위,mg kim德昊,4.0,"날씨가 일시 포근하게 풀리면서
움츠려든 가슴을 펴기 위해 찾은
울주 범서 선바위, 잔잔히 흐르는…",,,,
선바위,bbui bbui,4.0,"집 근처라 자주 산책나옵니다.

여름에는 선바위 다리밑에 그늘이 져서 피서 오는 사람들이 많네요.…",,,,
선바위,노성미,5.0,"태화강 생태박물관
반구대 암각화
선바위 등등…",,,,
선바위,seunghwi hwang,3.0,자연경관이 끝내줍니다. 산책하기도 좋구요. 그런데 음료나 간단한 음식 파는 가게가 없어서 아쉬워요,,,,
선바위,HS Lim,3.0,태화강의 침식작용에 의해 하안단애에서 분리되어 만들어진 선돌입니다 바다에 있는 시스택과 비슷한 형태입니다 암석은 중생대 백악기의 대구층이며 층리구조가 잘 나오네요 갈수기라 물이 지저분해서 좋은 인상은 못받았습니다,,,,
선바위,왕오케이,5.0,선바위 자전거여행 정말좋아요 편의점도 있고 벤치도 있고 화장실도 있고 피자사서 돗자리 깔고 먹어보세요,,,,
선바위,Meyoung Lee,5.0,"그늘이 많고
산책하기 넘 좋아요👍…",,,,
선바위,모아모아슈,5.0,"처음가서  텐트를쳤는데
안치게 거라해서 걷었구여
선바위사진 찍는데…",,,,
선바위,kwangho lee,4.0,바위보다는 벗꽃이 유명한곳 아닌가..,,,,
선바위,srp 832,5.0,울산의 명소 선바위---> 시내 언양  자전거 라이딩 코스에 있는 좋은 휴식장소임.,,,,
선바위,YOUNGGWON LEE,5.0,풍경은 좋으나 누군가에겐 아쉬움 그리고 그리움,,,,
선바위,김인혁,5.0,자주가는 산책로 입니다.,,,,
선바위,김진환,5.0,"뷰가 참 멋진곳입니다.
좋은사람과 함께하세요.
돗자리, 테이블 챙겨셔 같이 음식도 드셔보세요.",,,,
선바위,이도무,3.0,울산에서 오래된  자연공원. 오래전에는  시민들이  자주 애용하던곳이었는데.   지금은 지나는길에 한번쯤  들 러서 휴식하는  한적한 공원입니다.,,,,
선바위,하병윤,4.0,잠시 휴식에 조아요,,,,
선바위,오광진,4.0,산책길과 주변환경이 너무 좋아요,,,,
선바위,카라미,3.0,"주차가 힘들어요
대형트럭과 버스들 ㅜ.ㅡ",,,,
선바위,박준혁,5.0,"자전거도로와인도가 있어 산책하기도편하고
자전거타기도편합니다.
그리고 봄,가을되면 연어가 조금식보입니다.",,,,
선바위,둥둥자라흰,5.0,"대나무숲=>선바위 까지 2시간 10~20분 소요
선바위 막상가면 바위 하나만 있어서 실망스러울 사람도 있다고 생각함 근데 난 가보니깐 가슴이 확 트여서 좋았음! 다만 갈거면 추운날은 피하기!",,,,
선바위,임은택,5.0,사색하기 좋은곳 조용해요!,,,,
선바위,이상민,5.0,선바위 가보았는데 공기도좋고 풍경도 좋아서 마음에 들고 좋았습니다.^^,,,,
선바위,최헌규,1.0,여기 쉴곳이 없음. 그늘은 들어가지 마라하니ᆢ 땡볃에 어디서 쉬어야 ?ᆢ,,,,
선바위,미스터리,5.0,"집근처 산책길를 따라 걸어온 선바위앞!
이곳에서 반갑게 사람을 맞이해주는 벚꽃이 더욱 아름다워라",,,,
선바위,조일향,4.0,"운동하기도 좋고
여름에
물손에들어가도시원특히다리밑에그늘이좋음",,,,
선바위,백운학,3.0,강위에 우뚝솟은 기암괴석이 자연의 신비함을 느끼기에 충분합니다,,,,
선바위,최규종,5.0,요즘 날씨가 좋아서 산책하기 좋아요,,,,
선바위,Billy Yu,5.0,가벼운 등산이나 산책코스로도 훌륭한 경관,,,,
선바위,신윤하,5.0,다운동에서 태화강 따라 걸으면 좋아요,,,,
선바위,하띵,4.0,옛날 에 가보고  정말 오랜만에    갔는디   좋네,,,,
선바위,yes ok,4.0,트레킹 코스로 추천합니다,,,,
선바위,민둘 레,1.0,"입암정 은 뭐때문에있는데
들어가지도 못하게해놓고",,,,
선바위,강현중,5.0,울산에서 경치좋은곳입니다,,,,
선바위,tim treasure,5.0,그림같은곳,,,,
선바위,원석최,5.0,생각지도 못한 힐링,,,,
선바위,영남사랑이,5.0,아주 뷰가 멋진곳 짱임다,,,,
선바위,James US,4.0,맑은 물소리를들을수 있는 곳,,,,
선바위,Seong-Oh Kim,5.0,날이 좋아서,,,,
선바위,강호경,3.0,경치가 좋은 장소,,,,
선바위,이병헌,5.0,아주만족함,,,,
선바위,김대수,5.0,좋아요,,,,
선바위,김IL,5.0,선바위 👍…,,,,
선바위,Amit Kumar,5.0,"Very nice place to walk around, have picnic and enjoy the natural surroundings",,,,
선바위,엄주돈,4.0,,,,,
선바위,金賢培,4.0,,,,,
선바위,투재,4.0,,,,,
선바위,이슬,4.0,,,,,
선바위,Clock,4.0,,,,,
선바위,최윤재,4.0,,,,,
선바위,방상호,5.0,,,,,
선바위,강영목,4.0,,,,,
선바위,김미영,4.0,,,,,
선바위,이인섭,5.0,,,,,
선바위,sj sohn,4.0,,,,,
선바위,조성환,5.0,,,,,
선바위,이용현,4.0,,,,,
선바위,임채만,5.0,,,,,
선바위,이상우,5.0,,,,,
선바위,CHOONG SIK PARK,5.0,,,,,
선바위,유창은,5.0,,,,,
선바위,이동중,4.0,,,,,
선바위,eh park,5.0,,,,,
선바위,오동화,5.0,,,,,
선바위,이동걸,3.0,,,,,
선바위,이현수,5.0,,,,,
선바위,미술맛집?미술랭!,2.0,,,,,
선바위,그대어쩌다 마주친,5.0,,,,,
선바위,초이샤프,5.0,,,,,
선바위,이명석,5.0,,,,,
선바위,흑설HeukSeol,5.0,,,,,
선바위,Byeong in Jeong,4.0,,,,,
