place_id,user_id,score,comment
솔개해수욕장,hyun jo park,3,"진하해수욕장에서
걸어갈 수 있으며
200m정도 규모 모래사장의…"
솔개해수욕장,진미경,5,조용한 바닷가가 새벽바다수영을 했습니다. 아담하고 예뻤어요.^^
솔개해수욕장,정민서,5,평상대여도 되고 고기도 구워 먹을수 있어요 진하보단 사람이 없어 아이들과 가기 좋아요
솔개해수욕장,ᄒ제시카,3,"요기는 차타고지나가면서 많이봤지만 방문은 첨이다 겨울이라서 사람들보기 어렵지만 작은바닷가가 이쁘다 모래사장엔 쓰레기도
부스러기도 치우지않고있었서 정비가필요하다
근데 모래는 정말부드러워서 만져보고싶었지만 패스 잘정비되면 한번더 와보고싶은곳
가족들과 겨울바다보니깐 좋았다"
솔개해수욕장,한쏭,5,올해 마지막 물놀이 하고왔는데 넘 즐거웠어요ㅋ
솔개해수욕장,Hye Chan Kim,1,쓰레기천국 깨진 소주병도 모래사장에잇음
솔개해수욕장,ri mo,4,동해 뷰 좋아요
솔개해수욕장,김지현,5,정말좋음
솔개해수욕장,미스터리,5,좋아요
솔개해수욕장,김영한,5,아름다워요
솔개해수욕장,권정원,3,작고 조용한 해수욕장
솔개해수욕장,김개똘,3,해수욕장
솔개해수욕장,Santosh Chavan,5,Peaceful than Jinha Beach. Find variety of marine lives near rock. You can cook food on this beach. Fish catching also permitted.
솔개해수욕장,남자,4,
솔개해수욕장,Kemal Güneş,5,
솔개해수욕장,Sue Park,5,Gooooood👍👍👍👍…
솔개해수욕장,구월,3,
솔개해수욕장,박동범,3,
솔개해수욕장,정인철,4,
솔개해수욕장,강충지,5,
솔개해수욕장,rmwkfl Kong,4,
솔개해수욕장,정은철,3,
솔개해수욕장,김석숭,5,
솔개해수욕장,Taeseon Kim,2,
솔개해수욕장,정명교,5,
솔개해수욕장,여ᄋ,5,
솔개해수욕장,정호준,5,
솔개해수욕장,이민영,5,
솔개해수욕장,차호재,5,
