place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
숲속의작은친구들 울산곤충생태전시관,MASTER Lee,3.0,생각보다 작습니다 만질수있는 체험은 좋아요,,,,
숲속의작은친구들 울산곤충생태전시관,초량댁*,5.0,"눈으로보고 만져도 보고
아이들에게 좋은 체험을
할수있어 좋은듯해요",,,,
숲속의작은친구들 울산곤충생태전시관,최헌규,3.0,"유치원 초등생에게 유익한 공간, 접근성이 좀ᆢ",,,,
숲속의작은친구들 울산곤충생태전시관,이병석,5.0,"아주잘보았습니다
다음 또가겠습니다",,,,
숲속의작은친구들 울산곤충생태전시관,Okyun Kim,5.0,,,,,
숲속의작은친구들 울산곤충생태전시관,조상래,5.0,,,,,
숲속의작은친구들 울산곤충생태전시관,권태윤,5.0,,,,,
숲속의작은친구들 울산곤충생태전시관,MASTER Lee,3.0,생각보다 작습니다 만질수있는 체험은 좋아요,,,,
숲속의작은친구들 울산곤충생태전시관,초량댁*,5.0,"눈으로보고 만져도 보고
아이들에게 좋은 체험을
할수있어 좋은듯해요",,,,
숲속의작은친구들 울산곤충생태전시관,최헌규,3.0,"유치원 초등생에게 유익한 공간, 접근성이 좀ᆢ",,,,
숲속의작은친구들 울산곤충생태전시관,이병석,5.0,"아주잘보았습니다
다음 또가겠습니다",,,,
숲속의작은친구들 울산곤충생태전시관,Okyun Kim,5.0,,,,,
숲속의작은친구들 울산곤충생태전시관,조상래,5.0,,,,,
숲속의작은친구들 울산곤충생태전시관,권태윤,5.0,,,,,
숲속의작은친구들 울산곤충생태전시관,첫만남,5.0,곤충 체험 너무 좋아요,0.0,0.0,0.0,0.0
