place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
슬도,김준우,5.0,울산 바다를 느껴보기 가장 좋은 곳이다. 뒤에 보이는 어촌 마을과 현업에 종사하시는 분들의 모습을 볼 수 있다. 사진 스팟도 많은 곳!,,,,
슬도,Hyeo K,5.0,"슬도 들어가기전 소리 공원빌딩 뒤로 걷기에 좋은 곳이 있어요
빌딩을 뒤로 대왕암 방향으로 걸어가는 곳인데요
정리 하지 않은 잡초..해당화.. 이름은 모르지만 너무 아름다운 보라색꽃…",,,,
슬도,황진욱,4.0,"무료주차 가능한 공영주차장이 있고.
등대까지가는 길에 있는 테트라포트도 아기자기하게 꾸며져있습니다.
바닷물도 완전 깨끗하고 낚시꾼도 많습니다.
여유있게 산책하고 힐링하기 좋은곳입니다.",,,,
슬도,곰지키기,5.0,"방어진박물관에 들렸다가 영상에 슬도가 보이는 영상이 많이 보여 들렀습니다. 등대쪽으로 가는 길에 바라본 바닷물이 진짜 맑고 영롱하네요. 가족들 여럿이 낚시도 하고     고둥인지를 잡고 있는데 참 따뜻하게 보이더라고요. 한적한 것도 좋지만 주차장이 허락하는 한, 피크닉 오신 분들이 많아서 북적북적 대는 것도 좋았습니다.",,,,
슬도,손기원,5.0,#슬도명파라고 지칭되는 곳이다#오늘은 바람이 제법 있어서 파도가 물결을 만들었다#주말을 맞아 산책나오고 낚시하시는 분들이 많았다#하늘이 맑으니 걷기에 최상의 장소였다,,,,
슬도,도지온,4.0,"솔직히 가서 딱히 한건 없어요
하지만 사진을 보세요 너무 예쁘죠ㅠ 저기 남자친구랑 가서 사진찍으세요 완전예쁘게 나오니까여
제사진을 보여드리고 싶지만 비밀입니다…",,,,
슬도,신명호,4.0,슬도는 파도가 치면 거문고 소리가 난다고하여 붙여진 이름이라고 합니다. 조용하고 아늑한 섬입니다.,,,,
슬도,미란다,4.0,"굿굿
대왕암공원에서 걸어서 슬도까지 갔는데
가는길에 카페도 몇개 있더라구여
공원가실때 같이 둘러보시면 좋을거 같아여",,,,
슬도,박지현,5.0,"울진 방어진하고 슬도, 나사리에 갔다왔어요
많이 추웠는데 바다풍경이 어찌나 아름다운지~
특히 햇빛에 반사되는 물결은 마치 금물결 같아요
요즘 금값도 많이 올랐는데~ㅎㅎ",,,,
슬도,Alex Kim,5.0,"힐링 장소다. 바다와 파도소리,시원한 바닷바람까지,게다가 걷는 곳마다 아름다운 경치가 많다",,,,
슬도,Sunny Yang,5.0,등대도 있고 바다 전망 커피숍들도 있어서 산책하기 좋은 곳.,,,,
슬도,이영록 (청은),5.0,일몰이 멋진 곳,,,,
슬도,이동준,5.0,바다 풍경과 낚시하기 좋은 곳,,,,
