place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
왕방요,yongeon kim,5.0,"신정희선생님의 차남이신 용균선생의왕방요를방문했다 늦가을단풍이 짙어가는 산자락에 다소곳이 자리한마당 엔잎이다진 앙상한감나무에 붉은감들이많이달 려있었다 '온후한 인품의선생내외분의차대접과실내에 전시된 작품들을 보며 사라져간 기좌에몬을 처음재현한 아버님의비기를 전수받은
대가의면면을 느낄수있었다 특히 우유빛 고아한 분청의 아름다움은 당대제일이라 생각한다",,,,
왕방요,Mana Yume,5.0,분위기 좋습니다.,,,,
왕방요,삼베치마,5.0,,,,,
왕방요,강수범,5.0,,,,,
왕방요,모시치마mo si chi ma,5.0,,,,,
왕방요,신용균,4.0,,,,,
왕방요,yongeon kim,5.0,"신정희선생님의 차남이신 용균선생의왕방요를방문했다 늦가을단풍이 짙어가는 산자락에 다소곳이 자리한마당 엔잎이다진 앙상한감나무에 붉은감들이많이달 려있었다 '온후한 인품의선생내외분의차대접과실내에 전시된 작품들을 보며 사라져간 기좌에몬을 처음재현한 아버님의비기를 전수받은
대가의면면을 느낄수있었다 특히 우유빛 고아한 분청의 아름다움은 당대제일이라 생각한다",,,,
왕방요,Mana Yume,5.0,분위기 좋습니다.,,,,
왕방요,삼베치마,5.0,,,,,
왕방요,강수범,5.0,,,,,
왕방요,모시치마mo si chi ma,5.0,,,,,
왕방요,신용균,4.0,,,,,
왕방요,썽미,5.0,깨끝하고 멋진 도자기에 커피랑 디저트가 정성스러운.. 직접 가져다 주시는 서비스 만점의 센스있는 카페,0.0,0.0,0.0,0.0
왕방요,정성애,5.0,,1.0,1.0,1.0,1.0
