place_id,user_id,score,comment
외솔최현배선생 생가터,ANNA IRENE,5,"외솔선생이 계셨기에 가로쓰기의 편리함이 생겼고, 한글이 유지될 수 있었습니다. 감사합니다"
외솔최현배선생 생가터,j cho,5,길이 조금 좁아요..아이들한테도 좋은곳입니다
외솔최현배선생 생가터,이성희,5,기념보존의 문화를 아끼는 모습이 보이고 · 문화센터 활용의 공간이  준비되어 있어 지역주민을 위한 프로그램 활용을 할 수  있습니다
외솔최현배선생 생가터,전민규,5,"민족대표 33인의 제자들중 하나의 생가터 입니다.
복원이 되어있습니다."
외솔최현배선생 생가터,창민백 (슈퐁슈퐁),4,병영성산책로쥑임
외솔최현배선생 생가터,YouTube하튜{워너블},5,굿!
외솔최현배선생 생가터,처먹어김치,3,
외솔최현배선생 생가터,Yun Alex,5,
외솔최현배선생 생가터,윤아름,5,
외솔최현배선생 생가터,최영자,5,
외솔최현배선생 생가터,천시윤,5,
외솔최현배선생 생가터,김현,5,
외솔최현배선생 생가터,장문영,5,
외솔최현배선생 생가터,winner Steadyness,5,
외솔최현배선생 생가터,전옥련,5,
외솔최현배선생 생가터,순(우유식빵),5,
외솔최현배선생 생가터,Mészáros Nikoletta,5,
