place_id,user_id,score,comment
용굴,T.B All,4,대왕암공원의 해안 산책로에 있는 명소다. 좁은 해안 절벽이 길게 이어져 바닷물아 들어온다. 마치 그 옛날 용이 출입하던 문과 같다하여 용굴이라고 부른다. 대왕암공원 해안산책길의 전망중 하나다.
용굴,Kyeong Ik Lee,4,"풍경이 좋은곳이지만 대왕암 하나만 보러 온다면 그닥 추천은..공원입구에서 대왕암까지의 거리는 별로 걸리지 않고 대왕암으로 시작되는 해안 산책길도 있음. 낮시간도 좋지만 밤이되면 구름다리에서 조명이 들어와서 색다른 느낌도 듬.
중간중간 바다와 가까운 바위에 길 고양이들이 생각보다 많이 보이고 사람을 무서워 하지 않음. 바람이 생각보다 쌔서 성인도 몸 가누기가 쉽지 않아…"
용굴,참사랑,5,"울산 대왕암공원 정말 좋아요 해녀아주머니 들이 싱싱한 해산물을 직접 잡아다 팔구요 동백꽃 또한 이쁘답니다.
오실때 카메라 꼭 챙겨오세요 폰으로 찍어도 이쁘긴 하지만 찍을수 있는 공간이 협소하여 조금 아쉬움은 있네요"
용굴,Young Ha,5,울산 대왕암 공원. 강릉 사천진리 바위섬이라고 있는데 거기에도 대왕암과 같이 다리로 건너가게 되어 있다. 하지만 규모 면에서 대왕암이 훨씬 크다. 대왕암 공원은 산책하기에도 좋다.
용굴,가우리세상,5,울산출장마무리후 집에 그냥가기뭐해서 들린곳인데 날씨도 좋고 미세먼지도 없어 경치가 더욱 좋네요~ 산책하기 딱 좋은곳입니다. 힐링하고 가네요
용굴,지용호,4,옛날 고래를 잡던 항에서  멸치잡이 배가 출항하는 모습이 인상적이네요 멋지고 환상적인  등대 바위섬에서의 일출 참 좋왔어요
용굴,金娘嬉,5,"주차장부터 먹거리, 산책로, 화장실 등 놀라울 정도로 잘 조성되어 있음. 나무와 바위, 바다가 한꺼번에 있는 공간 중 탑5 안에 들 것 같은 느낌. 울산이라 독특하게 고래뼈까지 볼 수 있음. 아무것도 없는 바위 사이, 또는 대놓고 바위 위 길냥이들까지 만날 수 있는 재밌는 곳. 당연히 다시 가보고 싶음."
용굴,덩규박,4,바람쐬기딱좋은코스 경치도아름답고 공원조성이잘되있음
용굴,sw Cho,5,한번 가볼만한곳 시원하게 탁 트인 바다와 멋진바위가 인상적임
용굴,이오이,4,"바람이 너무 세긴 하지만, 풍경이 너무좋습니다."
용굴,Rang Ahn,4,하늘 바다 너무너무  멋져요. 방문강추
용굴,박철호,5,"가볍게 산책하기 좋은 곳 입니다.
바람이 심한날은 빼고요"
용굴,다귀,5,밤에 가면 더 이쁜 용굴이랍니다. 산책로가 좀 길어서 운동화 추천해요
용굴,Louigi,4,여유로운 산책 끝에는 광활한 바다. 공원 입구의 음식점들도 괜찮음.
용굴,Woo-Yeol CHOI,4,멋진 곳 ㅎ 대왕암에 고양이 4마리가..ㅎ
용굴,홍종원,5,바다 위의 아름다운 바위와 그위의 꽂. 그리고 앉아서 쉬는 새들이 보기 좋았어요.
용굴,준우,5,바람이 잘 불고 좋습니다
용굴,Brown C,5,"A코스  경치  좋고  하이킹하기에도 최고입니다
다만 길이  좋지  않으니  운동화  착용하세요"
용굴,Mi sug Jeon,4,"산책하기 좋은 곳이네요!
아이들과 함께한 나들이로는 제일 좋은듯 합니다."
용굴,이창우,4,"실제가 더보기  좋아요
야간이라  좀.."
용굴,man co,5,밤에가도 가로등 켜져있고 좋음
용굴,임종석,5,동해바다를 보며 자연경관 멋짐 울산에 명소
용굴,김종운,5,날씨는 흐리지만 선선하게 구경잘했음.울산오면 필수코스
용굴,노땅직딩 (Young),4,"인천사람이 울산에서
확트인 바다 기괴한 암석
좋타 좋아"
용굴,Cheolhoon An,4,저녁조명이 좋은가보다.
용굴,그냥햄스터,5,인생샷 찍기 아주좋습니다.
용굴,허병섭,5,바위를 다리로 연결해  놓았습니다. 정말 절경입니다
용굴,Kenneth Yoon,4,가벼운 산책으로 좋아요~
용굴,Hasung Ryu,5,대왕암바위는 최고
용굴,그시절과 양다리,4,울산이 좋은 이유 중 하나가 아닌가 싶네요
용굴,jm s,5,"입구에서 바다끝까지 산책하기 정말좋아요
경치는 말할것도없지만 편의시설도 잘되있고
주차장도 새로크게지어서 편리하답니다 ㅎ"
용굴,Robin M. J. Kang,4,한번쯤 가볼만한곳^^~
용굴,장민준,5,"주라기 공원에 온것 같은 기분입니다.
한여름에 갔는데...봄 가을로 추천합니다.
경주쪽의 회색빛 바위와는 다른 금빛 분위기 너무 좋습니다."
용굴,공창종합사회복지관박성학,4,볼려면 조금 많 걸어야해요ㅡ 운동화 챙기세요
용굴,풀먹는호랑이,4,깨끗하게 정돈된 공원과 시원한 바다 풍경이 가족과 나들이 하기에 다할 나위없이 좋습니다. 명절 뒤라 그런지 나들이 오신 분들이 많아 주차 장소가 조금 협소하네요 ㅎㅎ
용굴,Muyeon Hwang,4,바람이 상당히 불고 습함. 근처 공원에서는 어린이들이 놀만한 공간이 있음 성인들에게는 산책로와 바다가 같이 있다고 생각하시면 됨
용굴,김Jake,4,"겨울에가는 것 보단 봄이나 가을에 가는 것을 추천합니다. 가면 다리를 새로 만들어서 밤에 가면 멋있습니다.
하지만 떨어지면 바로 즉사이기 때문에 위험합니다."
용굴,김근주,5,"황토빛 바위들이 아름다운 곳
바다와 바위의 조화가 참 좋은곳입니다.
누구나 다시 가보고싶은곳 입니다"
용굴,김대성,5,밤에 이 장소를 가 보라. 등대의 불빛이 로맨틱한 분위기를 연출한다. 물론 낮에도 아주 좋다.
용굴,조승훈,5,주차장에서 20분정도 들어가야 합니다. 힘든 만큼 멋진 풍경을 볼 수 있어요
용굴,조예진아씨,5,해녀들이 직접 잡은 소라등등 ᆢ먹을 수있고 입구부터 그리 멀지않은 곳에 멋진 용굴입니다
용굴,박인환,4,바람좋고.소나무가  울창해서좋고.바다가  깨끗해서  더 좋았던것같아요
용굴,김재현,4,"밤에 야경이 참좋습니다.
일기예보 잘보시고 바람이 안불면 최고!!"
용굴,서원준,5,멋진곳이네요
용굴,최선아,5,태풍오기전날이라 바람이심했지만 경치가 넘 좋았어요
용굴,신예준,5,아이들과 해돋이도 보구 가볍게 바위 주변도 산책사면서 좋았어요
용굴,박주환,4,꼭 가봐야할 곳!
용굴,김진방,5,데이트 장소로멋진곳.
용굴,신동규,5,"경치가 끝내주고, 덤으로 해녀들의 싱싱한 해산물을 즉석에서 맛볼수 있어용"
용굴,Jenns Kimmi,5,풍경 산책하기 모두 너무좋은곳입니다
용굴,혀기,4,바람 엄청불어서 귀찢어지는줄... 경치는 좋음! 고양이 구경은 덤!
용굴,seok C,5,"가족 단위, 연인, 친구끼리 가기도 좋은 울산의 명소"
용굴,백영준,4,산보하기 좋은장소로 시간날때 자주가고 싶은곳
용굴,*꧁༺༻꧂*,5,되게 멋져요
용굴,김용한,4,밤바다 산책하기 좋다 조명은 좀 남사시럽다
용굴,Bruce Lee,4,아름다움. 동해 깨끗한 바닷물을 볼 수 있음. 길이 좁음.
용굴,심만종,4,동굴이 보이기는하지만  자세히볼수없어서 아쉽고 조금 위험하기도함
용굴,이명수,5,"운치, 분위기, 짱"
용굴,최헌규,5,동해를 바라보는 좋은 경관  수직석벽에 생성된 선이 굵은 동굴 경관
용굴,성이름,5,울산의 자랑 대왕암! 숲길도 경치도 여기만한데가 없어요.
용굴,이현수,5,경치부터 식당인프라까지잘되어있어요
용굴,김규봉김규봉,5,"시원한 바람, 바다.바위가 한 눈에  장관임"
용굴,장꽁비,5,"속이 뻥 뚫리고 시원한 느낌.
좋아요"
용굴,트레비C TreviC,4,경관도 좋아 산책하기 좋은곳
용굴,이규철,5,민섬도 보이고  매번갈때마다 확트인 바다가 있어 매력적입니다
용굴,소희,5,넘 아름답고 풍경이 넘 좋았어요
용굴,장은순,5,울산의관광명소입구에수국이만개하였습니다
용굴,JAMIN KOO,5,자연에 아름다움을 느꼈어요
용굴,J.U. Shin,4,가족 및 연인과 나들이하기 좋습니다.
용굴,jongchul choi,4,울산 대왕암  분위기 전환에 좋아요
용굴,박수한,5,대왕암공원 경치 넘 멋져요.
용굴,박태준,4,동구에 유일한 포켓몬고 추천장소
용굴,이재원이재원,4,용굴은정면에서잘보이지않음
용굴,김민철,5,해맞이 장소 ㆍ좋아요
용굴,Sahngjun Aliyah Seok,3,"사람이 너무 많은게 단점
산책 돌기는 좋아여"
용굴,박기현,4,시원한 배경에 즐거운 산책
용굴,김재현,4,데이트하기 좋긴한데 바람많이붐 조심^
용굴,오경호,4,멋진 곳입니다~
용굴,김진구 (커믄다리),4,다시한번 가보고싶다
용굴,Ryan Yi,4,나름 괜찮은 장소. 산책하기 좋음
용굴,김채영,4,고양이 많이 볼수 있음
용굴,HYUN CHO (gr85),5,청소좀 하면 완존대박
용굴,김maku,5,갈길이 멉니다 얼른 돌아보세요~ ㅋ
용굴,Dad&Son Studio대댄썬,4,울산에서 가볼만한곳
용굴,II휘앙세,4,해질녘 어스름 푸른바다...판타스틱!!
용굴,이준호,5,산책하기 너무 좋은곳
용굴,니가가라,4,좋은 관광지입니다.
용굴,Bora Hwang,5,뷰 좋고 바람 좋고~
용굴,정래열,5,산책하기 좋아요
용굴,박장호,5,대나무숲이 장관입니다.
용굴,오대포,4,솔마루 길
용굴,강선호,4,경치가 너무 좋아요
용굴,sungtark77,5,대왕암좋네요.
용굴,안순주,5,산책하기 좋은곳
용굴,김형규,5,꼭 한번은 가봐야할곳
용굴,Matthew Sang,4,울산 필수 관광코스
