place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
우가산,여름햇살,5.0,까치전망대에서 내려다 보이는 바다 풍경이 아름답습니다.,,,,
우가산,슈레플로,4.0,"아담하고 조용하고 전망까지 좋네요!
까지전망대!",,,,
우가산,Jongwan Kim,3.0,"축구장에서 시작해서 정자까지 자전거 라이딩하기 좋아요
임도 경사도 심하지 않고 중간에 전망대 두곳  쉬었다 갈수도 있어요",,,,
우가산,이성현,4.0,"넓은 길, 적당한 높이, 시원한 풍경... 좋아요",,,,
우가산,김형욱,3.0,,,,,
우가산,자유여행가류종판,5.0,,,,,
우가산,최종민,3.0,,,,,
우가산,하병윤,3.0,,,,,
우가산,여름햇살,5.0,까치전망대에서 내려다 보이는 바다 풍경이 아름답습니다.,,,,
우가산,슈레플로,4.0,"아담하고 조용하고 전망까지 좋네요!
까지전망대!",,,,
우가산,Jongwan Kim,3.0,"축구장에서 시작해서 정자까지 자전거 라이딩하기 좋아요
임도 경사도 심하지 않고 중간에 전망대 두곳  쉬었다 갈수도 있어요",,,,
우가산,이성현,4.0,"넓은 길, 적당한 높이, 시원한 풍경... 좋아요",,,,
우가산,김형욱,3.0,,,,,
우가산,자유여행가류종판,5.0,,,,,
우가산,최종민,3.0,,,,,
우가산,하병윤,3.0,,,,,
우가산,박운석,1.0,,0.0,0.0,0.0,0.0
