place_id,user_id,score,comment
치술령,Henry Jang,5,"분위기 좋고 무엇보다도 주인 아주머니 음식 솜씨가 상당히 좋은곳. 조미료 없이 천연 재료로만 요리해주는데 먹으면서 건강해 진다는  느낌을 받는다.
특히 정성스럽게 음식을 담아 내어오는것에 감탄 함"
치술령,한규환,5,"음식도 깔끔하게  잘나오고 사장님두  친절하시고, 주변풍경이 끝내줍니다
1박하면서 기억에 남는 시간이 되었네요"
치술령,김현수,3,"지난 1월말 친구들과 다녀온 울주 두동 박제상기념관 뒤에 위치한 치술령
입니다. 산행은 큰 무리없이 가능한 산행코스 입니다. 정상에서 울산 시내
가 한눈에 다 보이는 모습이 아주 좋습니다. 정상 주위에는 울산망부석과
경주망부석이 있네요. 한번 가보세요."
치술령,임상지,5,"음식 맛있고 사장님들 친절하고 좋았습니다.
아이들도 놀기 좋고 공기 좋은 곳이네요"
치술령,tv장캐롤,5,"모임에서 갔었는데
공기도 숲도 음식도 만족했습니다
특히 가랑비 내리는 숲향기와 빗소리~!!♥"
치술령,이명미,5,음식도 정갈하고 분위기도 좋고 경주여행시 꼭 찾는곳입니다
치술령,이승규,5,"아늑하고 조용합니다.
식사는 사장님이 정성껏 준비하시고 몸에좋은 음식을 맛있게 먹을수 있습니다."
치술령,김익재,5,편안한 곳입니다
치술령,김선미,4,공기도좋고 사장님도친절하시고 백숙들도 맛있고 삼겹살.밑반찬도 좋았어요 근데 화장실이 좀 별로였네요 공사하신다고 하시니 가을이면 좋은 장소가 될듯 합니다
치술령,차규하,5,도심속 코로나를 피해 청정지역에서 각각의 이뿐 방갈로에서 오붓하고 정갈한 음식에 주인의 후덕한 맘까지 받고 가니 대접잘 받고 입가에 미소를 가져봅니다.
치술령,Sori Hana,4,들어가면 좋은데 진입로가 별로임
치술령,Tim Na,5,"잠시나마 마음의 휴식이 필요하신분들께 왕추천
봄 여름 가을 겨울 어느때나 방문해도 좋은 곳
참고로 전 서울에서 찾아갑니다.."
치술령,빡서,5,산장 음식들도 너무맛있고 능이오리백숙은 맛이끝내줍니다. 사장님 사모님들도 너무착하시고 난방도 뜨겁습니다 최곱니다
치술령,이연지,5,반찬 하나하나 정성이 가득하고 맛있었고 코로나시대에 방갈로로 되어 있고 경치 또한 좋았습니다.
치술령,김원건,3,"회식장소나 족구게임하기도 좋습니다.
음식은 오리고기 먹을만 합니다."
치술령,박원욱,3,진짜 조용히 힐링하실분 추천합니다..
치술령,장용관,4,오리백숙 맛있어요
치술령,나무,5,자연에서 느끼는편안함과 좋은음식에 감동합니다ㆍ
치술령,김선환,5,1박2일 힐링하고 왔습니다
치술령,김순임,5,"루비랑 노는 모습이 참 재미 있어보이죠?,"
치술령,youngcranee,4,맛잇엇고 개데려가서 좋앗음
치술령,하만동,5,"분위기 좋아여
맛도 좋고요"
치술령,권산,4,능이버섯이 듬뿍 들어간 담백한 오리백숙의맛!
치술령,김복숙,5,분위기 있고  반찬이  정갈하게  나옵니다
치술령,이상화,3,오리구이.삼겹살앗있어용
치술령,유연수,4,사람이없어요~우리주님과 하늘 자연과 계곡물^^~
치술령,시작,5,맛있고 배경이 이쁨
치술령,Ngapak Go International,5,맛있다
치술령,우한상,5,좋음
치술령,최동운,4,가족과함께
치술령,이대훈,4,조용한 곳
치술령,潤,4,음식은 맛있었지만 다른 손님들이 데려온 개들이 목줄도 없이 뛰어다니거나 쫓아와서 무서웠어요.
치술령,전동주,5,Wonderful food n heeling spot
치술령,지혜,5,
치술령,cs kim,3,so so
치술령,규야파파,5,
치술령,LO VE,2,
치술령,김치우동,5,
치술령,정홍식,5,
치술령,김순자,5,
치술령,최임조임조,1,
치술령,김기주,5,
치술령,최영철,2,
치술령,dongjin shin,5,
치술령,정기창,5,
치술령,강미선,3,
치술령,손주영,5,
치술령,소영춘,5,
치술령,이재민,5,
치술령,김태인,5,
치술령,배용기,3,
치술령,정호종,3,
치술령,Jangho Park,5,
치술령,이태현,5,
