,Unnamed: 0,place_id,user_id,score,comment
0,0,태화강국가정원 십리대숲,장기현,4.0,
1,1,태화강국가정원 십리대숲,김종국,5.0,울산에 가신다면 2시간정도 꼭 시간내어 가볼만한 곳!! 관람차 성인 2천원으로 15분 투어도 필히 추천 드린다.
2,2,태화강국가정원 십리대숲,클놈,4.0,
3,3,태화강국가정원 십리대숲,박병국,5.0,
4,4,태화강국가정원 십리대숲,먹고노는게제일좋아,4.0,대나무숲길 좋아요
5,5,태화강국가정원 십리대숲,호랑이,5.0,너무너무 좋았어요
6,6,태화강국가정원 십리대숲,까리한정현,3.0,
7,7,태화강국가정원 십리대숲,최영상,3.0,호기심으로 한번정도는 가볼만 하다
8,8,태화강국가정원 십리대숲,공익,5.0,이뻐요
9,9,태화강국가정원 십리대숲,하선♡반재성,5.0,좋아요
10,10,태화강국가정원 십리대숲,무궁화,5.0,예쁨
11,11,태화강국가정원 십리대숲,신미선,5.0,
12,12,태화강국가정원 십리대숲,투준이,5.0,
13,13,태화강국가정원 십리대숲,권봉애,5.0,
14,14,태화강국가정원 십리대숲,x,5.0,산책하고 가운데 쉼터에서 누워서 쉬면 너무좋아
15,15,태화강국가정원 십리대숲,둥둥,5.0,은하수길 환상적
16,16,태화강국가정원 십리대숲,-B-,5.0,
17,17,태화강국가정원 십리대숲,SH,5.0,넘 멋진 대나무숲길이에요. 고려때부터 자생하고 있었나보네요.
18,18,태화강국가정원 십리대숲,kki,4.0,
19,19,태화강국가정원 십리대숲,Hyosun Lee,5.0,태화강을 옆으로 너무나 멋진 대나무숲입니다.
20,20,태화강국가정원 십리대숲,카오스,1.0,코로나 확산으로 비대면예배를 드려달라고 부탁하는데도 목숨걸고 예배드려야한다고 하는 정신없는 목사가 설교하는 교회입니다.
21,21,태화강국가정원 십리대숲,MJay Ko 고 민정,4.0,Healing
22,22,태화강국가정원 십리대숲,상우👱‍♂️,5.0,도심에 이런게 있다니 아주 좋다
23,23,태화강국가정원 십리대숲,수빈,4.0,
24,24,태화강국가정원 십리대숲,곰곰,4.0,은하수길 찾기 어려운데 계속 걷다보면 언젠간 나와요!
25,25,태화강국가정원 십리대숲,flow,5.0,
26,26,태화강국가정원 십리대숲,레리꼬,5.0,너무 예뻐요 진짜 ㅠㅠ
27,27,태화강국가정원 십리대숲,오전필,5.0,
28,28,태화강국가정원 십리대숲,아까끼,5.0,
29,29,태화강국가정원 십리대숲,전유찬,5.0,
30,30,태화강국가정원 십리대숲,임상돈,3.0,
31,31,태화강국가정원 십리대숲,신아시스템 박헌순,3.0,
32,32,태화강국가정원 십리대숲,석수영,3.0,
