place_id,user_id,score,comment,Unnamed: 0.1,Unnamed: 0
홍류폭포,이창환,4.0,"겨울 홍류폭포
한 여름에 시원한 물줄기를 뿜어내던
홍류폭포,…",,
홍류폭포,lsun0505 ky,4.0,"산책하기도좋구
걸어서홍유폭포까지가는도중
자연의아름다움이…",,
홍류폭포,오준영,5.0,자연이 아주 아름답다. 가는길에 국제클라이밍 센터도 있으니 함께 즐길수 있을 갓 같다. 홍류폭포까지 가는길이 좀 힘들지만 폭포의 장관은 모든것을 보상해주기에 충분하다.,,
홍류폭포,Seungwon Choe,5.0,"신불산 홍류폭포에 다녀왔습니다. 폭포가 시원하게 떨어지는 것을 보니 마음이 다 시원해지더군요.
이 리뷰를 쓰는데 한 가지 목적이 있습니다. 폭포 왼쪽에 보면 계단들이 많이 있습니다. 그리고, 험로니 우회하라는 안내판이 있습니다.
아내와 저도 처음 가본지라. 이쪽으로 정상한 번 올라가 봐야지 했습니다. 초보자들은 절대로 이쪽으로 가지 마세요. 정상까지 가는 곳곳이 아주…",,
홍류폭포,안송자,5.0,신불산 홍류폭포 넘 좋아요 더위가 싹 가십니다,,
홍류폭포,김선상,3.0,신불산 칼바위 가는 등산로 입구에 있슴 비가 온 뒤에는 폭포가 보기 좋아요.,,
홍류폭포,김현수,3.0,"오는 또래와 영남알프스 1000고지 9개 봉우리 완등 참여 두번째
산행지인 신불산, 간월산 산행 기점인 신불산 칼바위 코스 산행중
만난 홍류폭포 입니다.
시원하게 뻗어 내리는 물주기가 멋지네요.",,
홍류폭포,이인보,4.0,오늘은비가와서폭포수는증가했는데얼지는않았음다,,
홍류폭포,강병모,4.0,초겨울날씨 찬바람 쌩. 폭포수량은 적으나 높이가 있음. 여름엔 더 좋을것...,,
홍류폭포,Virache,5.0,정말 최고입니다. 온 산의 정기를 받고 가는 기분이에요.,,
홍류폭포,행복세상,5.0,시윈하고 물도 맑고 아이들이랑 쉬기 좋아요~~,,
홍류폭포,최두진,5.0,신불산 공영주차장에서 시작하는 코스로 홍류폭포를 지나 공룡능선으로 이동전 만나는 폭포,,
홍류폭포,수재TV,5.0,영남알프스 신불산 칼바위 가는길에 높지 않은곳에 위치한 산들바람과 바닥이 흔히 보이는 맑고 깨끗한물 고즈늑하며 신비롭고 영험함이 함께하는 분위기의 멋진 폭포입니다. 강추!,,
홍류폭포,조혜연,5.0,시원하고 좋아요 아침 여덟시쯤 가면 사람도 없고 좋습니다,,
홍류폭포,이민들레,5.0,"공기가 진짜 좋습니다~폭포를 바라보고 있으면 근심이 다 사라시
지는듯..
신불산 정상 못가시는분은 홍류폭포에라도 다녀오시기를~",,
홍류폭포,김현철,5.0,비가 내린뒤라 물이 제법 불어서 폭포가 웅장해졌다.,,
홍류폭포,러프인더,4.0,비왔다그쳤다무지개떴다 구름몰려오다  오늘아주난리블루스구만.,,
홍류폭포,nhy01a친구야 나랑산에가자,4.0,시원하고 맑은물 경치가 정말좋아요,,
홍류폭포,박정은,5.0,아주 신선햇어요 동굴도 좋앗구요,,
홍류폭포,송명호,5.0,♤휠링하기 좋은 곳 입니다♤,,
홍류폭포,김명용,4.0,신불산을 오르는 첫구간에서 만나는 폭포의 시원함은 발길을 가볍게한다,,
홍류폭포,박성효,5.0,등산도하고 시원한폭포수에 몸도식히고,,
홍류폭포,김병곤,5.0,"간월재 등산로 곁에 있는 폭포로서
시원한 물줄기가 더위를 싹~ㅎ
가뭄때는 물이 적어서 바위만 보이더니
이번에 온 비로 수량이 많아서 더 좋앟어요~",,
홍류폭포,남호식,5.0,여기가 험로 시작. 자신 없으면 착한 길로 가요. 이쪽 길이 만만찮음,,
홍류폭포,조성휴,4.0,홍류폭포사이 향냄새가나는곳 ^^,,
홍류폭포,신석범,1.0,여기는 계속 경사진 곳으로 위험이 도사리고 있는 장소 입니다 안전을 보장 할수 없는길 안전하게 반대편으로 산행하세요,,
홍류폭포,빈터의 삶의 여정,2.0,겨울이라 폭포의 웅장함을 볼 수 없었슴,,
홍류폭포,이도무,4.0,등억 온천에서  신불산 오르는 입구에  있는 제법 규모가큰   멋진 폭포입니다.,,
홍류폭포,엄태식,3.0,"신불산해발5-6백미터에
자리잡고있어며
천연기물로지정되어며…",,
홍류폭포,이상호,3.0,비교적 높지않은 위치에 시원한 폭포를 만날 수 있다. 날씨 좋은 날에 다시 한번 찾고싶은 곳.,,
홍류폭포,이진숙,4.0,폭포까지는 적당히 운동도 되고 걷기 좋아요. 비온후 가면 시원하게 떨어지는 폭포도 볼수있어요~^^,,
홍류폭포,신상철,5.0,"신불산...
지금 생각하면 웃음만~^^*
처음부터 끝까지 오르막이였던곳!!!…",,
홍류폭포,김정곤,4.0,"자주오는 곳인데 오늘은 수량이많아
더  멋 져요  ~~~",,
홍류폭포,정정서,4.0,경치도 좋고 시원하고 너무 좋습니다.^^,,
홍류폭포,안광홍,5.0,수량이 적어 폭포의 위용이 반감된 점이 아쉽지만 운치는 최고. 신불산 정상가는 도중에 있어 누구나 감상수 있음.,,
홍류폭포,이용태,5.0,비온뒤 가면 시원합니다..,,
홍류폭포,부산아이가,4.0,좋아요.차 세우고 20분에서 30분사이면 올라갈수 있어서 좋아요.,,
