place_id,user_id,score,comment,Unnamed: 0.1,Unnamed: 0
화산,SNam Park,4.0,"다운동, 캠핑장, 다운목장초지, 태화연 저수지로 이루어진 두시간정도 호젓한 가족 산책로",,
화산,일일,5.0,절경이 좋아요^^,,
화산,해피투게더,5.0,가볍게 걷기 좋은 곳,,
화산,신원창,4.0,"편백과 소나무가 있어 상쾌하게
걸을수있어 좋아요
능선따라 걸어면 힘들지 않아요",,
화산,WY jeong,4.0,도심에 잘가꾸어진 휴식장소,,
화산,신원창,4.0,"간단한 트래킹 하기좋으메
소나무 편백숲이 좋네요",,
화산,이재민,5.0,캠핑하기좋아요,,
화산,이상춘,4.0,길이무난하고좋음,,
화산,SeungKi Shin,4.0,,,
화산,황성대,3.0,,,
화산,김진용,1.0,,,
화산,성기석,5.0,,,
화산,Janghyun,5.0,,,
화산,서동식,4.0,,,
화산,SNam Park,4.0,"다운동, 캠핑장, 다운목장초지, 태화연 저수지로 이루어진 두시간정도 호젓한 가족 산책로",,
화산,일일,5.0,절경이 좋아요^^,,
화산,해피투게더,5.0,가볍게 걷기 좋은 곳,,
화산,신원창,4.0,"편백과 소나무가 있어 상쾌하게
걸을수있어 좋아요
능선따라 걸어면 힘들지 않아요",,
화산,WY jeong,4.0,도심에 잘가꾸어진 휴식장소,,
화산,신원창,4.0,"간단한 트래킹 하기좋으메
소나무 편백숲이 좋네요",,
화산,이재민,5.0,캠핑하기좋아요,,
화산,이상춘,4.0,길이무난하고좋음,,
화산,SeungKi Shin,4.0,,,
화산,황성대,3.0,,,
화산,김진용,1.0,,,
화산,성기석,5.0,,,
화산,Janghyun,5.0,,,
화산,서동식,4.0,,,
화산,박서영,5.0,팡팡파라파라팡팡팡,0.0,0.0
화산,Cheesedog,5.0,펑,1.0,1.0
