,Unnamed: 0,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
0,0,태화강,울산 남구 신정동 1468,4.4,강,"['#나들이', '#유채꽃']",./kakao_reviews/울산 명소/태화강.csv,https://place.map.kakao.com/8621794
1,1,달빛은하수,울산 남구 신정로203번길 69,3.0,게스트하우스,"['#독채펜션', '#물놀이', '#바베큐장', '#복층펜션', '#어메니티제공', '#온천호텔', '#조식서비스']",./kakao_reviews/울산 숙소/달빛은하수.csv,https://place.map.kakao.com/1941348111
4,4,울산게스트하우스 앤마이홈,울산 중구 옥골샘6길 9-1,5.0,게스트하우스,태그 없음,./kakao_reviews/울산 숙소/울산게스트하우스 앤마이홈.csv,https://place.map.kakao.com/1514064403
8,8,철구소 계곡,울산 울주군 상북면 이천리 829,4.6,계곡,"['#나들이', '#물놀이']",./kakao_reviews/울산 명소/철구소 계곡.csv,https://place.map.kakao.com/25086316
13,13,재약산 주암계곡,울산 울주군 상북면 이천리 산 143-2,0.0,계곡,태그 없음,./kakao_reviews/울산 명소/재약산 주암계곡.csv,https://place.map.kakao.com/25449972
15,15,작천정계곡,울산 울주군 삼남읍 교동리,4.0,계곡,"['#나들이', '#물놀이', '#벚꽃명소']",./kakao_reviews/울산 명소/작천정계곡.csv,https://place.map.kakao.com/8071217
19,19,풍암골,울산 중구 성안동,0.0,계곡,태그 없음,./kakao_reviews/울산 명소/풍암골.csv,https://place.map.kakao.com/25388842
22,22,배내고개,울산 울주군 상북면 양등리,0.0,고개,"['#아이와놀자', '#어린이테마파크']",./kakao_reviews/울산 명소/배내고개.csv,https://place.map.kakao.com/19157392
23,23,치술령,울산 울주군 두동면 월평리 산 155,0.0,고개,태그 없음,./kakao_reviews/울산 명소/치술령.csv,https://place.map.kakao.com/1864300516
28,28,방어진 공원골프연습장,울산 동구 봉수로 235,2.0,골프연습장,태그 없음,./kakao_reviews/울산 공원/방어진 공원골프연습장.csv,https://place.map.kakao.com/10146500
31,31,문화공원 지하주차장,울산 남구 돋질로 211,0.0,공영주차장,태그 없음,./kakao_reviews/울산 공원/문화공원 지하주차장.csv,https://place.map.kakao.com/2048513066
33,33,화봉제1공원 공영주차장,울산 북구 화봉동 445-1,0.0,공영주차장,태그 없음,./kakao_reviews/울산 공원/화봉제1공원 공영주차장.csv,https://place.map.kakao.com/591079972
