,p_id,0,1,2,3,4,5,6,7,8,9
0,16,3,3,1,3,0,0,2,8,1,0
0,16,1,2,2,1,1,0,1,8,0,1
0,16,0,0,0,2,0,0,1,15,0,2
0,16,3,1,1,0,0,0,2,3,1,10
0,16,0,0,0,0,0,0,1,4,0,1
0,16,1,2,1,1,0,0,0,1,1,1
0,16,2,1,0,3,0,0,0,8,0,3
0,16,2,1,0,1,0,0,0,4,0,0
0,16,2,0,0,1,0,0,1,7,0,0
0,16,3,0,0,0,1,0,0,10,0,0
0,16,2,2,1,0,0,2,2,15,1,4
0,16,1,0,1,0,2,0,0,9,0,1
0,16,0,1,0,0,1,0,3,5,0,2
0,16,3,1,3,2,0,0,1,5,1,3
0,16,0,1,1,1,0,0,1,6,0,2
0,16,2,0,0,0,0,0,3,5,0,1
0,16,0,0,0,0,0,0,1,2,0,3
0,16,0,0,0,0,0,0,1,3,0,0
0,16,1,0,0,0,0,1,0,4,0,0
0,16,0,0,0,0,0,0,0,3,0,0
0,16,0,0,0,0,0,0,0,3,0,1
0,16,2,1,0,1,0,0,1,2,0,2
0,16,1,0,0,0,1,0,1,1,0,0
0,16,0,0,0,0,0,0,0,0,0,1
0,16,0,0,0,0,1,0,0,1,0,0
0,16,1,0,0,0,1,1,0,4,0,0
0,16,1,0,0,0,0,0,1,3,0,0
0,16,0,1,0,0,0,0,0,3,0,0
0,16,0,0,0,0,0,0,0,1,0,0
0,16,0,0,0,0,0,0,2,2,0,0
0,16,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,1,1,0,2
0,16,0,0,0,0,0,0,0,0,0,1
0,16,2,0,1,0,0,0,0,1,0,1
0,16,0,0,0,0,0,0,1,0,0,0
0,16,0,0,0,0,0,0,0,2,0,0
0,16,0,0,0,0,0,0,0,1,0,1
0,16,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,0,0
0,16,1,0,0,0,0,0,0,0,0,1
0,16,0,0,1,0,0,0,2,4,0,0
0,16,3,0,1,0,2,0,3,5,0,5
0,16,1,0,0,0,0,0,1,1,0,0
0,16,0,0,0,0,1,0,0,2,0,1
0,16,0,0,0,0,0,0,0,2,0,0
0,16,4,0,2,2,0,0,1,4,0,3
0,16,0,0,0,1,0,0,0,4,0,0
0,16,0,0,1,0,0,1,1,2,0,0
0,16,0,1,1,0,1,0,5,5,1,7
0,31,0,1,0,0,0,0,1,4,0,0
0,31,0,1,0,1,0,0,0,2,0,1
0,31,0,2,0,0,0,0,3,5,0,1
0,31,3,1,3,0,0,0,5,16,0,0
0,31,1,1,1,0,0,0,1,9,0,1
0,31,1,0,0,0,0,0,1,1,0,0
0,31,0,0,0,0,0,0,1,1,0,0
0,31,0,0,0,0,0,0,1,2,1,1
0,31,4,1,0,0,0,0,4,12,1,4
0,31,2,1,0,0,1,0,0,5,0,1
0,31,0,0,0,0,1,0,1,4,0,0
0,31,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,2,0,0
0,31,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,1,1,9,0,0
0,31,2,1,2,1,1,0,2,13,3,6
0,31,2,1,0,0,1,0,3,2,0,3
0,31,1,0,0,0,0,0,0,5,0,0
0,31,1,2,0,1,0,0,1,6,0,0
0,31,3,1,0,0,0,0,1,5,0,0
0,31,0,1,0,0,0,0,0,4,0,0
0,31,1,1,0,0,0,0,1,2,0,0
0,31,2,0,0,0,0,0,3,10,1,3
0,31,2,0,0,0,0,0,1,1,1,1
0,31,0,0,0,0,0,0,0,1,0,1
0,31,1,0,0,0,0,0,0,1,0,0
0,31,1,1,0,0,0,0,0,4,0,0
0,31,1,0,0,0,0,0,0,1,0,0
0,31,0,0,0,0,0,0,1,2,0,0
0,31,0,0,0,1,0,0,2,5,0,0
0,31,0,0,0,0,0,0,0,5,0,1
0,31,0,0,0,0,0,0,0,1,0,0
0,31,1,0,0,0,0,0,0,2,0,0
0,31,0,1,0,2,0,0,3,3,0,3
0,31,3,0,0,0,1,0,1,9,0,1
0,31,2,2,0,2,0,0,0,4,0,0
0,31,0,0,0,0,0,0,0,0,0,0
0,31,1,0,0,0,0,0,2,7,0,0
0,31,1,1,0,0,0,0,0,7,0,0
0,31,1,1,0,0,0,0,3,4,0,0
0,31,1,3,1,0,0,0,1,3,1,0
0,31,1,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,1,1,0,1
0,31,2,0,0,0,2,0,1,5,0,0
0,31,2,0,1,0,0,0,0,5,0,0
0,31,0,0,1,0,0,0,0,1,0,1
0,31,1,0,0,0,0,0,1,1,0,0
0,31,0,0,0,0,0,0,0,1,0,0
0,31,1,1,0,0,0,0,0,2,0,0
0,31,0,0,0,0,0,0,0,4,0,1
0,31,0,1,0,0,0,0,0,1,1,1
0,31,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,1,0,0
0,31,1,0,0,0,0,0,0,2,0,0
0,31,0,0,0,0,0,0,1,3,0,0
0,31,0,1,0,0,1,0,0,3,0,0
0,31,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,2,0,1
0,31,0,0,0,0,0,0,0,0,0,0
0,31,1,0,0,0,0,0,1,0,0,1
0,31,0,0,0,0,0,0,0,2,0,0
0,31,0,0,0,0,0,0,1,1,1,1
0,31,0,0,0,0,0,0,1,2,0,0
0,31,1,0,0,0,0,0,1,0,0,0
0,31,1,0,0,0,0,0,0,1,0,0
0,31,0,0,0,0,1,0,0,1,0,0
0,31,1,0,0,0,0,0,1,0,0,0
0,31,0,0,0,0,0,0,0,0,0,0
0,31,2,0,0,0,0,0,0,2,0,1
0,31,0,0,0,0,0,0,1,5,0,0
0,31,1,0,0,0,1,0,0,1,0,0
0,31,1,1,0,0,0,0,0,1,0,1
0,31,0,0,0,0,0,0,0,0,0,0
0,18,1,2,0,0,1,0,1,9,0,0
0,18,0,3,0,0,0,0,0,1,0,3
0,18,1,0,0,0,1,0,3,3,0,0
0,18,1,0,1,1,0,0,0,6,0,0
0,18,0,0,1,0,1,0,1,8,0,0
0,18,1,2,0,0,0,0,0,4,0,0
0,18,2,1,1,0,0,0,4,16,0,0
0,18,1,0,1,0,0,0,1,9,0,2
0,18,0,1,0,0,1,0,1,2,0,0
0,18,4,2,1,3,3,0,2,19,1,5
0,18,0,1,0,0,0,0,2,1,0,1
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,0,1,0,0,0,0,0,0,0,0
0,18,1,0,0,0,0,0,0,4,0,1
0,18,0,0,0,0,0,0,0,2,0,1
0,18,0,1,0,0,0,0,0,1,0,0
0,18,1,0,0,0,0,0,0,3,0,0
0,18,1,1,0,0,0,0,0,0,0,2
0,18,1,0,0,0,0,0,0,2,1,0
0,18,0,0,0,0,0,0,1,2,0,0
0,18,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,0,0,0,0,0,0,0,1,1,0
0,18,0,0,0,0,0,1,0,3,0,1
0,18,0,0,0,1,0,0,0,2,0,1
0,18,1,2,1,0,0,0,4,9,0,1
0,18,0,0,0,0,0,0,1,1,0,0
0,18,1,0,0,0,0,0,0,3,0,0
0,18,1,0,0,0,0,0,0,2,0,1
0,18,1,1,0,0,0,0,1,4,0,0
0,18,3,2,1,0,0,0,1,11,1,2
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,0,1,0,0,0,0,0,4,0,0
0,18,0,0,0,0,0,0,0,0,0,0
0,18,1,0,0,0,0,0,1,3,0,0
0,18,0,0,0,0,1,0,0,3,0,0
0,18,0,0,0,0,0,1,0,1,0,0
0,18,0,0,0,0,0,0,0,1,0,0
0,18,1,0,1,0,1,0,0,2,0,0
0,18,1,0,1,0,0,0,1,3,0,0
0,18,0,0,0,0,0,0,3,10,0,0
0,18,0,3,0,1,0,0,1,2,0,2
0,18,0,0,0,0,0,0,1,1,0,0
0,18,1,0,0,0,1,0,1,6,0,4
0,18,4,1,1,1,1,0,3,9,0,3
0,18,0,0,0,0,0,0,0,2,0,0
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,1,1,0,1,3,0,1
0,18,2,4,1,0,1,0,1,2,0,1
0,18,0,1,0,0,2,0,1,4,0,2
0,18,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,1,1,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,1,0,0,0,0,0,0,4,0,0
0,18,3,3,0,0,2,0,2,10,1,3
0,18,0,1,0,0,0,0,3,5,0,1
0,18,0,0,1,0,0,0,0,2,0,1
0,18,2,1,2,1,2,0,0,8,0,1
0,18,0,1,0,0,0,0,0,5,0,0
0,18,0,0,0,0,0,0,0,3,0,1
0,18,0,0,0,0,0,0,1,2,0,1
0,18,0,4,0,0,0,0,3,11,0,1
0,18,0,0,0,0,0,0,0,0,0,0
0,18,0,1,0,0,0,0,0,2,0,0
0,18,1,1,0,0,0,0,0,2,1,0
0,18,1,1,0,0,2,0,2,5,1,2
0,18,1,0,0,0,0,0,1,1,0,0
0,18,1,2,0,0,0,0,3,18,1,3
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,4,2,1,0,1,0,2,9,0,10
0,18,1,3,0,1,0,0,1,6,1,1
0,18,0,0,0,0,0,0,1,2,1,0
0,18,1,0,0,1,0,0,0,1,0,0
0,18,1,0,0,0,0,1,0,2,0,1
0,18,2,1,1,1,0,0,0,4,0,1
0,18,0,1,0,0,0,0,1,5,0,0
0,18,0,1,0,0,0,0,1,2,0,0
0,18,0,0,0,0,0,0,0,5,0,0
0,18,1,0,0,0,0,0,2,0,0,0
0,18,0,0,0,0,0,0,0,1,1,0
0,18,2,0,0,0,0,0,0,5,0,0
0,18,0,0,0,0,0,0,0,0,0,2
0,18,0,1,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,1,0,1
0,18,1,0,0,0,0,0,0,3,0,0
0,18,0,0,0,0,0,0,1,2,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,1,0,0,0,1,0,0,2,0,2
0,18,1,0,0,0,0,0,0,2,0,0
0,18,1,0,1,0,1,0,1,0,0,3
0,18,0,0,0,1,1,0,0,0,0,2
0,18,0,1,0,0,1,0,0,0,0,0
0,18,0,0,0,0,0,0,0,3,0,3
0,18,0,0,0,0,0,1,0,4,0,1
0,18,0,0,0,0,0,0,0,2,0,0
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,1,3,0,0
0,18,0,1,0,0,0,0,0,1,0,1
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,2,0,0
0,18,0,0,0,1,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,1,0,0
0,18,3,0,0,0,0,0,0,0,0,0
0,18,1,0,0,0,0,0,0,1,0,0
0,18,4,0,0,4,1,0,2,12,2,3
0,18,0,0,0,0,0,0,0,0,0,0
