p_id,title,rate,tags,address,url
0,산주막 삼산점,5.0,"호프,요리주점",울산 남구 남중로80번길 26 1층 (우)44712,https://place.map.kakao.com/712292213
1,상무초밥 울산삼산점,4.0,"초밥,롤",울산 남구 삼산로 270 101호 (우)44719,https://place.map.kakao.com/30184440
2,디오미오,3.8,양식,울산 남구 거마로104번길 25 1층 (우)44651,https://place.map.kakao.com/1467456839
3,카페몽떼,3.9,카페,울산 울주군 온산읍 강양길 148 2층 (우)45008,https://place.map.kakao.com/873316730
4,세비로,2.8,카페,울산 남구 왕생로45번길 17 (우)44718,https://place.map.kakao.com/1317464965
5,언양두울원,4.0,한식,울산 울주군 언양읍 니리미1길 6 (우)44940,https://place.map.kakao.com/15203121
6,숨,4.1,카페,울산 중구 중앙길 152 (우)44530,https://place.map.kakao.com/15741984
7,스타벅스 울산시청사거리DT점,3.8,스타벅스,울산 남구 중앙로 180 (우)44691,https://place.map.kakao.com/1399765274
8,정답해신탕,3.3,한정식,울산 남구 삼산로9번길 19 (우)44677,https://place.map.kakao.com/1208249055
9,원이록이,5.0,중국요리,울산 동구 명덕5길 30 2층 (우)44030,https://place.map.kakao.com/27576872
10,맥도날드 울산삼산로DT점,3.8,맥도날드,울산 남구 삼산로 230 (우)44718,https://place.map.kakao.com/26414783
11,하와이새우트럭 울산언양점,5.0,양식,울산 울주군 삼남읍 동향교3길 33 1층 (우)44950,https://place.map.kakao.com/1261280660
12,게이트42,4.6,카페,울산 울주군 청량읍 상보두현길 42 (우)44960,https://place.map.kakao.com/1401200921
13,알프스염소,4.8,"육류,고기",울산 울주군 언양읍 정거고중길 2-27 (우)44935,https://place.map.kakao.com/24579571
14,금천면관,4.6,중국요리,울산 중구 병영로 44 1층 (우)44488,https://place.map.kakao.com/1431589711
15,푸른아오리,5.0,일식집,울산 남구 대학로147번길 31 (우)44606,https://place.map.kakao.com/328092
16,스매쉬커피,4.5,카페,울산 중구 내황2길 26 (우)44505,https://place.map.kakao.com/767930068
17,부조화숲 2호점,3.7,양식,"울산 남구 남부순환도로627번길 7 1,2층 (우)44668",https://place.map.kakao.com/1869049187
18,베테랑바베큐 삼산점,4.0,"육류,고기",울산 남구 달삼로76번길 11 (우)44720,https://place.map.kakao.com/19497733
19,인더썬,4.2,한식,"울산 동구 해수욕장2길 42 1F 한식당, 2F 카페 (우)44057",https://place.map.kakao.com/2145944353
20,더자스민하우스,5.0,양식,울산 북구 명촌23길 44 (우)44254,https://place.map.kakao.com/21230722
21,로즈모스,3.4,카페,울산 중구 종가6길 32 KL빌딩 10층 (우)44542,https://place.map.kakao.com/846499227
22,하동식당,4.1,국밥,울산 동구 동해안로 30-7 (우)44007,https://place.map.kakao.com/1649911372
23,협정,4.2,카페,울산 중구 성안6길 8 1층 (우)44421,https://place.map.kakao.com/1995505661
24,해우 울산점,2.0,회,울산 북구 우가1길 36 (우)44235,https://place.map.kakao.com/675053494
25,목구멍 울산삼산점,4.2,목구멍,울산 남구 달삼로 49-2 1층 (우)44718,https://place.map.kakao.com/38998753
